f_time;copX;copY
0.010;-1.527056;-0.007896
0.020;-1.600433;0.026469
0.030;-1.675756;0.061960
0.040;-1.754662;0.099362
0.050;-1.837999;0.138864
0.060;-1.925842;0.180166
0.070;-2.017717;0.222763
0.080;-2.112876;0.266241
0.090;-2.210457;0.310418
0.100;-2.309471;0.355278
0.110;-2.408643;0.400759
0.120;-2.506244;0.446553
0.130;-2.600087;0.492011
0.140;-2.687785;0.536222
0.150;-2.767234;0.578193
0.160;-2.837144;0.617053
0.170;-2.897381;0.652202
0.180;-2.948969;0.683380
0.190;-2.993798;0.710661
0.200;-3.034196;0.734389
0.210;-3.072518;0.755046
0.220;-3.110843;0.773102
0.230;-3.150766;0.788903
0.240;-3.193251;0.802626
0.250;-3.238565;0.814314
0.260;-3.286270;0.823919
0.270;-3.335295;0.831331
0.280;-3.384096;0.836347
0.290;-3.430921;0.838635
0.300;-3.474158;0.837721
0.310;-3.512666;0.833046
0.320;-3.545996;0.824078
0.330;-3.574396;0.810437
0.340;-3.598580;0.791994
0.350;-3.619341;0.768943
0.360;-3.637141;0.741830
0.370;-3.651893;0.711523
0.380;-3.663020;0.679127
0.390;-3.669803;0.645848
0.400;-3.671813;0.612854
0.410;-3.669225;0.581201
0.420;-3.662812;0.551826
0.430;-3.653601;0.525576
0.440;-3.642330;0.503193
0.450;-3.628933;0.485217
0.460;-3.612301;0.471844
0.470;-3.590424;0.462830
0.480;-3.560909;0.457497
0.490;-3.521719;0.454884
0.500;-3.471918;0.454010
0.510;-3.412195;0.454179
0.520;-3.344975;0.455223
0.530;-3.274053;0.457600
0.540;-3.203873;0.462280
0.550;-3.138655;0.470426
0.560;-3.081638;0.482982
0.570;-3.034632;0.500305
0.580;-2.997945;0.521979
0.590;-2.970622;0.546887
0.600;-2.950849;0.573478
0.610;-2.936322;0.600138
0.620;-2.924494;0.625533
0.630;-2.912709;0.648829
0.640;-2.898323;0.669753
0.650;-2.878910;0.688502
0.660;-2.852572;0.705532
0.670;-2.818246;0.721314
0.680;-2.775878;0.736135
0.690;-2.726357;0.750002
0.700;-2.671252;0.762667
0.710;-2.612429;0.773746
0.720;-2.551685;0.782886
0.730;-2.490471;0.789948
0.740;-2.429746;0.795122
0.750;-2.369969;0.798909
0.760;-2.311238;0.801947
0.770;-2.253503;0.804719
0.780;-2.196809;0.807272
0.790;-2.141529;0.809046
0.800;-2.088546;0.808944
0.810;-2.039355;0.805598
0.820;-1.996000;0.797757
0.830;-1.960801;0.784623
0.840;-1.935951;0.766012
0.850;-1.923097;0.742297
0.860;-1.923040;0.714197
0.870;-1.935581;0.682584
0.880;-1.959496;0.648420
0.890;-1.992623;0.612805
0.900;-2.032076;0.577047
0.910;-2.074614;0.542607
0.920;-2.117100;0.510890
0.930;-2.156952;0.482939
0.940;-2.192435;0.459173
0.950;-2.222744;0.439262
0.960;-2.247916;0.422167
0.970;-2.268672;0.406334
0.980;-2.286271;0.390004
0.990;-2.302388;0.371610
1.000;-2.318998;0.350193
1.010;-2.338228;0.325738
1.020;-2.362163;0.299278
1.030;-2.392638;0.272679
1.040;-2.431002;0.248119
1.050;-2.477886;0.227429
1.060;-2.532982;0.211514
1.070;-2.594972;0.200054
1.080;-2.661740;0.191587
1.090;-2.730935;0.183949
1.100;-2.800730;0.174900
1.110;-2.870400;0.162723
1.120;-2.940420;0.146591
1.130;-3.011967;0.126616
1.140;-3.086047;0.103618
1.150;-3.162626;0.078724
1.160;-3.240172;0.053002
1.170;-3.315791;0.027256
1.180;-3.385880;0.002018
1.190;-3.447037;-0.022343
1.200;-3.496855;-0.045511
1.210;-3.534332;-0.067193
1.220;-3.559805;-0.087163
1.230;-3.574520;-0.105350
1.240;-3.580095;-0.121920
1.250;-3.578146;-0.137295
1.260;-3.570195;-0.152060
1.270;-3.557793;-0.166760
1.280;-3.542706;-0.181686
1.290;-3.526955;-0.196726
1.300;-3.512650;-0.211383
1.310;-3.501657;-0.224968
1.320;-3.495244;-0.236885
1.330;-3.493845;-0.246907
1.340;-3.497017;-0.255311
1.350;-3.503561;-0.262827
1.360;-3.511783;-0.270432
1.370;-3.519807;-0.279051
1.380;-3.525941;-0.289272
1.390;-3.529029;-0.301163
1.400;-3.528730;-0.314270
1.410;-3.525602;-0.327782
1.420;-3.520928;-0.340805
1.430;-3.516282;-0.352628
1.440;-3.512963;-0.362896
1.450;-3.511484;-0.371665
1.460;-3.511286;-0.379356
1.470;-3.510805;-0.386644
1.480;-3.507857;-0.394327
1.490;-3.500220;-0.403152
1.500;-3.486203;-0.413634
1.510;-3.464994;-0.425911
1.520;-3.436674;-0.439675
1.530;-3.401918;-0.454185
1.540;-3.361553;-0.468384
1.550;-3.316210;-0.481100
1.560;-3.266228;-0.491331
1.570;-3.211835;-0.498547
1.580;-3.153490;-0.502865
1.590;-3.092187;-0.505015
1.600;-3.029526;-0.506049
1.610;-2.967505;-0.506912
1.620;-2.908140;-0.508062
1.630;-2.853086;-0.509327
1.640;-2.803407;-0.510048
1.650;-2.759566;-0.509441
1.660;-2.721633;-0.506996
1.670;-2.689639;-0.502771
1.680;-2.663917;-0.497482
1.690;-2.645267;-0.492373
1.700;-2.634827;-0.488895
1.710;-2.633644;-0.488272
1.720;-2.642108;-0.491062
1.730;-2.659427;-0.496878
1.740;-2.683343;-0.504330
1.750;-2.710205;-0.511258
1.760;-2.735423;-0.515172
