f_time;copX;copY
0.010;-0.238488;0.321708
0.020;-0.236935;0.305117
0.030;-0.236455;0.288892
0.040;-0.237847;0.273212
0.050;-0.241431;0.257877
0.060;-0.247074;0.242406
0.070;-0.254369;0.226269
0.080;-0.262858;0.209120
0.090;-0.272184;0.190888
0.100;-0.282112;0.171700
0.110;-0.292427;0.151713
0.120;-0.302782;0.130947
0.130;-0.312613;0.109217
0.140;-0.321229;0.086165
0.150;-0.328067;0.061430
0.160;-0.332986;0.034869
0.170;-0.336401;0.006729
0.180;-0.339150;-0.022313
0.190;-0.342112;-0.051285
0.200;-0.345757;-0.079139
0.210;-0.349834;-0.104972
0.220;-0.353377;-0.128170
0.230;-0.355042;-0.148434
0.240;-0.353665;-0.165696
0.250;-0.348748;-0.179964
0.260;-0.340665;-0.191220
0.270;-0.330474;-0.199405
0.280;-0.319491;-0.204488
0.290;-0.308851;-0.206549
0.300;-0.299283;-0.205824
0.310;-0.291139;-0.202706
0.320;-0.284576;-0.197701
0.330;-0.279720;-0.191337
0.340;-0.276733;-0.184066
0.350;-0.275759;-0.176225
0.360;-0.276828;-0.168102
0.370;-0.279755;-0.160016
0.380;-0.284078;-0.152311
0.390;-0.289044;-0.145216
0.400;-0.293647;-0.138683
0.410;-0.296741;-0.132367
0.420;-0.297227;-0.125798
0.430;-0.294289;-0.118671
0.440;-0.287624;-0.111046
0.450;-0.277561;-0.103344
0.460;-0.265031;-0.096146
0.470;-0.251418;-0.089947
0.480;-0.238351;-0.085004
0.490;-0.227478;-0.081360
0.500;-0.220211;-0.078938
0.510;-0.217417;-0.077609
0.520;-0.219126;-0.077165
0.530;-0.224359;-0.077253
0.540;-0.231264;-0.077339
0.550;-0.237579;-0.076761
0.560;-0.241342;-0.074880
0.570;-0.241552;-0.071284
0.580;-0.238514;-0.065984
0.590;-0.233713;-0.059476
0.600;-0.229276;-0.052629
0.610;-0.227263;-0.046426
0.620;-0.229040;-0.041671
0.630;-0.234920;-0.038798
0.640;-0.244149;-0.037826
0.650;-0.255217;-0.038412
0.660;-0.266400;-0.039951
0.670;-0.276370;-0.041690
0.680;-0.284655;-0.042885
0.690;-0.291768;-0.042974
0.700;-0.298920;-0.041673
0.710;-0.307439;-0.038953
0.720;-0.318125;-0.034939
0.730;-0.330843;-0.029811
0.740;-0.344542;-0.023755
0.750;-0.357671;-0.016975
0.760;-0.368799;-0.009711
0.770;-0.377166;-0.002231
0.780;-0.382939;0.005222
0.790;-0.387115;0.012521
0.800;-0.391099;0.019739
0.810;-0.396188;0.027180
0.820;-0.403173;0.035307
0.830;-0.412202;0.044586
0.840;-0.422890;0.055304
0.850;-0.434531;0.067439
0.860;-0.446313;0.080659
0.870;-0.457491;0.094467
0.880;-0.467531;0.108408
0.890;-0.476207;0.122218
0.900;-0.483629;0.135822
0.910;-0.490192;0.149229
0.920;-0.496446;0.162422
0.930;-0.502949;0.175339
0.940;-0.510119;0.187920
0.950;-0.518121;0.200172
0.960;-0.526811;0.212185
0.970;-0.535767;0.224079
0.980;-0.544409;0.235899
0.990;-0.552158;0.247523
1.000;-0.558606;0.258655
1.010;-0.563634;0.268918
1.020;-0.567441;0.278004
1.030;-0.570442;0.285793
1.040;-0.573060;0.292392
1.050;-0.575504;0.298078
1.060;-0.577649;0.303157
1.070;-0.579093;0.307812
1.080;-0.579353;0.311977
1.090;-0.578088;0.315290
1.100;-0.575244;0.317174
1.110;-0.571061;0.317008
1.120;-0.565956;0.314329
1.130;-0.560369;0.308983
1.140;-0.554639;0.301202
1.150;-0.548958;0.291593
1.160;-0.543382;0.281039
1.170;-0.537811;0.270526
1.180;-0.531955;0.260908
1.190;-0.525302;0.252671
1.200;-0.517173;0.245796
1.210;-0.506867;0.239772
1.220;-0.493841;0.233759
1.230;-0.477845;0.226816
1.240;-0.458934;0.218090
1.250;-0.437378;0.206959
1.260;-0.413565;0.193152
1.270;-0.387972;0.176890
1.280;-0.361229;0.158954
1.290;-0.334169;0.140576
1.300;-0.307774;0.123144
1.310;-0.282990;0.107849
1.320;-0.260478;0.095414
1.330;-0.240434;0.085998
1.340;-0.222581;0.079235
1.350;-0.206363;0.074363
