f_time;copX;copY
0.010;-2.545205;-0.723097
0.020;-2.557382;-0.721152
0.030;-2.568467;-0.719241
0.040;-2.577563;-0.717345
0.050;-2.584152;-0.715384
0.060;-2.588124;-0.713295
0.070;-2.589700;-0.711116
0.080;-2.589291;-0.709006
0.090;-2.587343;-0.707191
0.100;-2.584195;-0.705863
0.110;-2.580009;-0.705096
0.120;-2.574748;-0.704814
0.130;-2.568227;-0.704798
0.140;-2.560194;-0.704764
0.150;-2.550426;-0.704456
0.160;-2.538831;-0.703735
0.170;-2.525538;-0.702633
0.180;-2.510935;-0.701321
0.190;-2.495623;-0.700041
0.200;-2.480262;-0.699009
0.210;-2.465349;-0.698341
0.220;-2.451032;-0.698033
0.230;-2.437053;-0.697991
0.240;-2.422879;-0.698097
0.250;-2.407963;-0.698271
0.260;-2.392007;-0.698492
0.270;-2.375097;-0.698767
0.280;-2.357670;-0.699073
0.290;-2.340339;-0.699346
0.300;-2.323683;-0.699550
0.310;-2.308054;-0.699774
0.320;-2.293496;-0.700277
0.330;-2.279785;-0.701411
0.340;-2.266578;-0.703473
0.350;-2.253582;-0.706589
0.360;-2.240644;-0.710699
0.370;-2.227696;-0.715644
0.380;-2.214643;-0.721264
0.390;-2.201284;-0.727468
0.400;-2.187364;-0.734236
0.410;-2.172699;-0.741579
0.420;-2.157286;-0.749479
0.430;-2.141305;-0.757878
0.440;-2.125041;-0.766701
0.450;-2.108822;-0.775924
0.460;-2.092986;-0.785622
0.470;-2.077900;-0.795971
0.480;-2.063925;-0.807176
0.490;-2.051356;-0.819340
0.500;-2.040343;-0.832364
0.510;-2.030867;-0.845929
0.520;-2.022773;-0.859552
0.530;-2.015827;-0.872663
0.540;-2.009770;-0.884663
0.550;-2.004368;-0.895011
0.560;-1.999462;-0.903348
0.570;-1.995008;-0.909646
0.580;-1.991077;-0.914271
0.590;-1.987806;-0.917896
0.600;-1.985308;-0.921318
0.610;-1.983608;-0.925262
0.620;-1.982640;-0.930236
0.630;-1.982306;-0.936471
0.640;-1.982549;-0.943918
0.650;-1.983392;-0.952315
0.660;-1.984904;-0.961298
0.670;-1.987136;-0.970520
0.680;-1.990046;-0.979744
0.690;-1.993468;-0.988892
0.700;-1.997139;-0.998045
0.710;-2.000793;-1.007413
0.720;-2.004275;-1.017275
0.730;-2.007630;-1.027880
0.740;-2.011108;-1.039339
0.750;-2.015077;-1.051542
0.760;-2.019905;-1.064144
0.770;-2.025892;-1.076605
0.780;-2.033265;-1.088245
0.790;-2.042228;-1.098323
0.800;-2.052969;-1.106175
0.810;-2.065611;-1.111430
0.820;-2.080097;-1.114231
0.830;-2.096108;-1.115372
0.840;-2.113058;-1.116215
0.850;-2.130212;-1.118358
0.860;-2.146865;-1.123165
0.870;-2.162491;-1.131321
0.880;-2.176811;-1.142601
0.890;-2.189756;-1.155930
0.900;-2.201407;-1.169721
0.910;-2.211936;-1.182346
0.920;-2.221612;-1.192623
0.930;-2.230800;-1.200139
0.940;-2.239948;-1.205306
0.950;-2.249500;-1.209121
0.960;-2.259779;-1.212700
0.970;-2.270907;-1.216790
0.980;-2.282813;-1.221435
0.990;-2.295325;-1.225952
1.000;-2.308239;-1.229179
1.010;-2.321338;-1.229901
1.020;-2.334341;-1.227262
1.030;-2.346869;-1.221060
1.040;-2.358462;-1.211834
1.050;-2.368661;-1.200741
1.060;-2.377117;-1.189247
1.070;-2.383690;-1.178765
1.080;-2.388487;-1.170323
1.090;-2.391833;-1.164350
1.100;-2.394211;-1.160622
1.110;-2.396230;-1.158383
1.120;-2.398608;-1.156608
1.130;-2.402105;-1.154349
1.140;-2.407358;-1.151047
1.150;-2.414655;-1.146701
1.160;-2.423763;-1.141839
1.170;-2.433942;-1.137312
1.180;-2.444152;-1.133980
1.190;-2.453396;-1.132414
1.200;-2.461034;-1.132740
1.210;-2.466957;-1.134712
1.220;-2.471573;-1.137953
1.230;-2.475635;-1.142217
1.240;-2.480002;-1.147539
1.250;-2.485390;-1.154205
1.260;-2.492154;-1.162582
1.270;-2.500146;-1.172897
1.280;-2.508689;-1.185055
1.290;-2.516728;-1.198575
1.300;-2.523121;-1.212687
1.310;-2.526995;-1.226544
1.320;-2.528005;-1.239479
1.330;-2.526409;-1.251191
1.340;-2.522930;-1.261771
1.350;-2.518490;-1.271565
1.360;-2.513951;-1.280951
1.370;-2.509926;-1.290149
1.380;-2.506700;-1.299162
1.390;-2.504218;-1.307827
1.400;-2.502136;-1.315943
1.410;-2.499926;-1.323387
1.420;-2.497043;-1.330204
1.430;-2.493077;-1.336617
1.440;-2.487835;-1.342963
1.450;-2.481313;-1.349569
1.460;-2.473631;-1.356598
1.470;-2.464989;-1.363946
1.480;-2.455646;-1.371260
1.490;-2.445886;-1.378043
1.500;-2.435955;-1.383821
1.510;-2.425985;-1.388274
1.520;-2.415971;-1.391316
1.530;-2.405811;-1.393120
1.540;-2.395408;-1.394098
1.550;-2.384721;-1.394819
1.560;-2.373749;-1.395856
1.570;-2.362444;-1.397587
1.580;-2.350663;-1.400027
1.590;-2.338227;-1.402778
1.600;-2.325078;-1.405147
1.610;-2.311425;-1.406401
1.620;-2.297786;-1.406033
1.630;-2.284882;-1.403926
1.640;-2.273430;-1.400335
1.650;-2.263934;-1.395744
1.660;-2.256537;-1.390661
1.670;-2.250967;-1.385470
1.680;-2.246586;-1.380360
1.690;-2.242539;-1.375354
1.700;-2.237981;-1.370366
1.710;-2.232359;-1.365269
1.720;-2.225618;-1.359929
1.730;-2.218257;-1.354217
1.740;-2.211155;-1.348006
1.750;-2.205262;-1.341176
1.760;-2.201277;-1.333665
1.770;-2.199429;-1.325553
1.780;-2.199430;-1.317132
1.790;-2.200596;-1.308878
1.800;-2.202072;-1.301321
1.810;-2.203083;-1.294849
1.820;-2.203104;-1.289561
1.830;-2.201917;-1.285232
1.840;-2.199554;-1.281443
1.850;-2.196171;-1.277793
1.860;-2.191940;-1.274053
1.870;-2.187017;-1.270162
1.880;-2.181617;-1.266091
1.890;-2.176095;-1.261699
1.900;-2.170910;-1.256718
1.910;-2.166445;-1.250887
1.920;-2.162786;-1.244160
1.930;-2.159651;-1.236876
1.940;-2.156529;-1.229747
1.950;-2.152964;-1.223659
1.960;-2.148797;-1.219371
1.970;-2.144235;-1.217245
