f_time;copX;copY
0.010;-2.767520;0.321374
0.020;-2.766228;0.339066
0.030;-2.765136;0.356899
0.040;-2.764371;0.375031
0.050;-2.764048;0.393652
0.060;-2.764205;0.412949
0.070;-2.764713;0.433059
0.080;-2.765237;0.454033
0.090;-2.765279;0.475826
0.100;-2.764311;0.498315
0.110;-2.761891;0.521323
0.120;-2.757730;0.544647
0.130;-2.751641;0.568125
0.140;-2.743433;0.591725
0.150;-2.732786;0.615616
0.160;-2.719218;0.640155
0.170;-2.702165;0.665772
0.180;-2.681161;0.692825
0.190;-2.656044;0.721478
0.200;-2.627067;0.751644
0.210;-2.594860;0.782971
0.220;-2.560246;0.814835
0.230;-2.523976;0.846378
0.240;-2.486519;0.876582
0.250;-2.447962;0.904415
0.260;-2.408081;0.928989
0.270;-2.366546;0.949709
0.280;-2.323168;0.966368
0.290;-2.278094;0.979153
0.300;-2.231847;0.988568
0.310;-2.185197;0.995258
0.320;-2.138942;0.999798
0.330;-2.093690;1.002559
0.340;-2.049754;1.003695
0.350;-2.007181;1.003274
0.360;-1.965868;1.001470
0.370;-1.925704;0.998695
0.380;-1.886693;0.995609
0.390;-1.849020;0.992980
0.400;-1.813107;0.991454
0.410;-1.779621;0.991349
0.420;-1.749435;0.992576
0.430;-1.723518;0.994701
0.440;-1.702776;0.997142
0.450;-1.687861;0.999369
0.460;-1.679013;1.001046
0.470;-1.675962;1.002056
0.480;-1.677948;1.002450
0.490;-1.683844;1.002379
0.500;-1.692357;1.002034
0.510;-1.702263;1.001597
0.520;-1.712626;1.001195
0.530;-1.722949;1.000855
0.540;-1.733204;1.000469
0.550;-1.743719;0.999795
0.560;-1.754929;0.998490
0.570;-1.767104;0.996205
0.580;-1.780120;0.992697
0.590;-1.793389;0.987904
0.600;-1.805990;0.981949
0.610;-1.816966;0.975081
0.620;-1.825690;0.967597
0.630;-1.832109;0.959768
0.640;-1.836748;0.951798
0.650;-1.840482;0.943799
0.660;-1.844218;0.935789
0.670;-1.848608;0.927707
0.680;-1.853915;0.919460
0.690;-1.860039;0.911006
0.700;-1.866686;0.902431
0.710;-1.873601;0.893999
0.720;-1.880754;0.886132
0.730;-1.888408;0.879316
0.740;-1.897016;0.873988
0.750;-1.907041;0.870433
0.760;-1.918799;0.868765
0.770;-1.932409;0.868974
0.780;-1.947865;0.871004
0.790;-1.965165;0.874807
0.800;-1.984466;0.880346
0.810;-2.006164;0.887543
0.820;-2.030836;0.896228
0.830;-2.059016;0.906121
0.840;-2.090860;0.916848
0.850;-2.125869;0.927957
0.860;-2.162808;0.938912
0.870;-2.199888;0.949095
0.880;-2.235178;0.957875
0.890;-2.267096;0.964752
0.900;-2.294766;0.969508
0.910;-2.318108;0.972309
0.920;-2.337646;0.973679
0.930;-2.354155;0.974366
0.940;-2.368314;0.975146
0.950;-2.380518;0.976633
0.960;-2.390886;0.979162
0.970;-2.399404;0.982786
0.980;-2.406107;0.987348
0.990;-2.411200;0.992590
1.000;-2.415088;0.998246
1.010;-2.418316;1.004093
1.020;-2.421458;1.009985
1.030;-2.425000;1.015867
1.040;-2.429258;1.021758
1.050;-2.434354;1.027713
1.060;-2.440230;1.033770
1.070;-2.446695;1.039925
1.080;-2.453508;1.046125
