f_time;copX;copY
0.010;-1.122445;-1.557202
0.020;-1.096121;-1.544520
0.030;-1.067909;-1.532084
0.040;-1.036761;-1.520151
0.050;-1.002694;-1.508885
0.060;-0.966837;-1.498280
0.070;-0.931086;-1.488096
0.080;-0.897524;-1.477848
0.090;-0.867816;-1.466872
0.100;-0.842829;-1.454433
0.110;-0.822557;-1.439817
0.120;-0.806347;-1.422388
0.130;-0.793265;-1.401614
0.140;-0.782485;-1.377106
0.150;-0.773565;-1.348709
0.160;-0.766556;-1.316659
0.170;-0.761946;-1.281747
0.180;-0.760483;-1.245421
0.190;-0.762969;-1.209690
0.200;-0.770072;-1.176819
0.210;-0.782188;-1.148852
0.220;-0.799349;-1.127147
0.230;-0.821194;-1.112073
0.240;-0.847021;-1.103000
0.250;-0.875925;-1.098567
0.260;-0.907009;-1.097112
0.270;-0.939586;-1.097113
0.280;-0.973310;-1.097482
0.290;-1.008182;-1.097638
0.300;-1.044454;-1.097398
0.310;-1.082491;-1.096755
0.320;-1.122619;-1.095651
0.330;-1.164978;-1.093826
0.340;-1.209379;-1.090818
0.350;-1.255196;-1.086099
0.360;-1.301325;-1.079298
0.370;-1.346222;-1.070368
0.380;-1.388060;-1.059617
0.390;-1.424996;-1.047592
0.400;-1.455518;-1.034888
0.410;-1.478763;-1.021983
0.420;-1.494674;-1.009180
0.430;-1.503884;-0.996616
0.440;-1.507356;-0.984340
0.450;-1.505911;-0.972405
0.460;-1.499828;-0.960916
0.470;-1.488678;-0.949993
0.480;-1.471393;-0.939642
0.490;-1.446540;-0.929589
0.500;-1.412702;-0.919164
0.510;-1.368896;-0.907343
0.520;-1.314900;-0.892927
0.530;-1.251427;-0.874828
0.540;-1.180079;-0.852297
0.550;-1.103127;-0.825055
0.560;-1.023164;-0.793269
0.570;-0.942731;-0.757446
0.580;-0.863997;-0.718271
0.590;-0.788566;-0.676462
0.600;-0.717422;-0.632674
0.610;-0.651023;-0.587491
0.620;-0.589491;-0.541499
0.630;-0.532835;-0.495379
0.640;-0.481132;-0.449953
0.650;-0.434603;-0.406134
0.660;-0.393573;-0.364790
0.670;-0.358362;-0.326553
0.680;-0.329169;-0.291657
0.690;-0.305997;-0.259894
0.700;-0.288653;-0.230719
0.710;-0.276794;-0.203486
0.720;-0.269991;-0.177705
0.730;-0.267782;-0.153194
0.740;-0.269693;-0.130076
0.750;-0.275247;-0.108617
0.760;-0.283973;-0.088992
0.770;-0.295430;-0.071092
0.780;-0.309234;-0.054475
0.790;-0.325069;-0.038485
0.800;-0.342657;-0.022518
0.810;-0.361694;-0.006317
0.820;-0.381791;0.009797
0.830;-0.402459;0.024883
0.840;-0.423150;0.037560
0.850;-0.443339;0.046358
0.860;-0.462633;0.050091
0.870;-0.480887;0.048113
0.880;-0.498266;0.040334
0.890;-0.515224;0.027035
0.900;-0.532333;0.008590
0.910;-0.550036;-0.014753
0.920;-0.568412;-0.042965
0.930;-0.587071;-0.076127
0.940;-0.605223;-0.114196
0.950;-0.621883;-0.156723
0.960;-0.636130;-0.202713
0.970;-0.647331;-0.250712
0.980;-0.655236;-0.299105
0.990;-0.659927;-0.346471
1.000;-0.661653;-0.391839
1.010;-0.660647;-0.434799
1.020;-0.657020;-0.475439
1.030;-0.650777;-0.514148
1.040;-0.641945;-0.551336
1.050;-0.630765;-0.587158
1.060;-0.617824;-0.621346
1.070;-0.604062;-0.653236
1.080;-0.590627;-0.682011
1.090;-0.578661;-0.707089
1.100;-0.569094;-0.728508
1.110;-0.562500;-0.747130
1.120;-0.559053;-0.764561
1.130;-0.558528;-0.782794
1.140;-0.560365;-0.803687
1.150;-0.563778;-0.828429
1.160;-0.567913;-0.857149
1.170;-0.572021;-0.888789
1.180;-0.575581;-0.921329
1.190;-0.578352;-0.952261
1.200;-0.580340;-0.979179
1.210;-0.581734;-1.000264
1.220;-0.582824;-1.014533
1.230;-0.583941;-1.021792
1.240;-0.585417;-1.022391
1.250;-0.587553;-1.016903
1.260;-0.590594;-1.005885
1.270;-0.594704;-0.989796
1.280;-0.599965;-0.969072
1.290;-0.606378;-0.944291
1.300;-0.613891;-0.916309
1.310;-0.622439;-0.886272
1.320;-0.631964;-0.855451
1.330;-0.642422;-0.824944
1.340;-0.653760;-0.795387
1.350;-0.665921;-0.766793
1.360;-0.678894;-0.738622
1.370;-0.692787;-0.710051
