Time[s];COPx[cm];COPy[cm]
0.010;2.667175;0.361228
0.020;2.649019;0.398940
0.030;2.625727;0.437895
0.040;2.593357;0.478847
0.050;2.549951;0.521733
0.060;2.496084;0.565523
0.070;2.434928;0.608340
0.080;2.371658;0.647833
0.090;2.312264;0.681703
0.100;2.262101;0.708218
0.110;2.224732;0.726554
0.120;2.201518;0.736873
0.130;2.192010;0.740181
0.140;2.194822;0.738062
0.150;2.208481;0.732363
0.160;2.231932;0.724899
0.170;2.264559;0.717197
0.180;2.305814;0.710308
0.190;2.354648;0.704743
0.200;2.408979;0.700528
0.210;2.465415;0.697367
0.220;2.519358;0.694827
0.230;2.565516;0.692470
0.240;2.598723;0.689909
0.250;2.614873;0.686835
0.260;2.611726;0.683047
0.270;2.589334;0.678459
0.280;2.549888;0.672980
0.290;2.496924;0.666257
0.300;2.434099;0.657424
0.310;2.363967;0.645136
0.320;2.287287;0.628044
0.330;2.203150;0.605634
0.340;2.109834;0.579094
0.350;2.005929;0.551813
0.360;1.891234;0.529246
0.370;1.767049;0.518043
0.380;1.635821;0.524566
0.390;1.500398;0.553161
0.400;1.363326;0.604709
0.410;1.226619;0.675900
0.420;1.092127;0.759527
0.430;0.962229;0.845759
0.440;0.840335;0.924192
0.450;0.730735;0.986225
0.460;0.637719;1.027069
0.470;0.564384;1.046697
0.480;0.511768;1.049327
0.490;0.478760;1.041702
0.500;0.462738;1.030904
0.510;0.460537;1.022569
0.520;0.469235;1.019943
0.530;0.486494;1.023828
0.540;0.510429;1.033124
0.550;0.539216;1.045624
0.560;0.570710;1.058803
0.570;0.602269;1.070467
0.580;0.630828;1.079280
0.590;0.653161;1.085145
0.600;0.666219;1.089389
0.610;0.667447;1.094609
0.620;0.654963;1.104074
0.630;0.627548;1.120764
0.640;0.584403;1.146296
0.650;0.524754;1.180094
0.660;0.447461;1.219105
0.670;0.350882;1.258227
0.680;0.233234;1.291360
0.690;0.093512;1.312818
0.700;-0.067174;1.318743
0.710;-0.244357;1.308146
0.720;-0.429710;1.283266
0.730;-0.611945;1.249042
0.740;-0.779207;1.211710
0.750;-0.922255;1.176952
0.760;-1.036989;1.148345
0.770;-1.125058;1.126770
0.780;-1.192250;1.110932
0.790;-1.245581;1.098535
0.800;-1.290483;1.087432
0.810;-1.329176;1.076334
0.820;-1.360567;1.064996
0.830;-1.381407;1.054036
0.840;-1.388083;1.044553
0.850;-1.378346;1.037708
0.860;-1.352409;1.034357
0.870;-1.313141;1.034825
0.880;-1.265431;1.038885
0.890;-1.215056;1.045907
0.900;-1.167457;1.055111
0.910;-1.126805;1.065804
0.920;-1.095535;1.077548
0.930;-1.074392;1.090210
0.940;-1.062872;1.103888
0.950;-1.059871;1.118727
0.960;-1.064353;1.134680
0.970;-1.075905;1.151354
0.980;-1.095078;1.168018
0.990;-1.123394;1.183786
1.000;-1.162895;1.197884
1.010;-1.215183;1.209855
1.020;-1.280123;1.219596
1.030;-1.354580;1.227232
1.040;-1.431727;1.232930
1.050;-1.501476;1.236774
1.060;-1.552311;1.238775
1.070;-1.574170;1.239010
1.080;-1.561316;1.237776
1.090;-1.513867;1.235653
1.100;-1.437228;1.233392
1.110;-1.339766;1.231694
1.120;-1.229928;1.231023
1.130;-1.114008;1.231601
1.140;-0.995281;1.233561
1.150;-0.874451;1.237130
1.160;-0.750961;1.242674
1.170;-0.624506;1.250561
1.180;-0.496189;1.260957
1.190;-0.369000;1.273698
1.200;-0.247554;1.288306
1.210;-0.137239;1.304056
1.220;-0.043030;1.319960
1.230;0.031718;1.334608
1.240;0.086196;1.345975
1.250;0.122441;1.351425
1.260;0.144855;1.348097
1.270;0.159017;1.333691
1.280;0.170190;1.307369
1.290;0.182133;1.270353
1.300;0.196645;1.225846
1.310;0.213931;1.178237
1.320;0.233435;1.131933
1.330;0.254638;1.090303
1.340;0.277461;1.055103
1.350;0.302197;1.026513
1.360;0.329143;1.003655
1.370;0.358231;0.985288
1.380;0.388914;0.970357
