Time[s];COPx[cm];COPy[cm]
0.010;-1.888163;-0.575758
0.020;-1.878868;-0.582997
0.030;-1.870850;-0.590718
0.040;-1.864986;-0.599222
0.050;-1.861512;-0.608336
0.060;-1.859913;-0.617308
0.070;-1.859005;-0.624867
0.080;-1.857184;-0.629441
0.090;-1.852817;-0.629478
0.100;-1.844682;-0.623777
0.110;-1.832316;-0.611763
0.120;-1.816158;-0.593652
0.130;-1.797384;-0.570462
0.140;-1.777495;-0.543846
0.150;-1.757774;-0.515757
0.160;-1.738804;-0.488015
0.170;-1.720206;-0.461909
0.180;-1.700693;-0.437963
0.190;-1.678447;-0.415966
0.200;-1.651725;-0.395304
0.210;-1.619510;-0.375458
0.220;-1.581959;-0.356454
0.230;-1.540468;-0.339037
0.240;-1.497274;-0.324466
0.250;-1.454744;-0.314016
0.260;-1.414638;-0.308421
0.270;-1.377640;-0.307544
0.280;-1.343343;-0.310392
0.290;-1.310647;-0.315455
0.300;-1.278368;-0.321162
0.310;-1.245811;-0.326279
0.320;-1.213124;-0.330171
0.330;-1.181335;-0.332911
0.340;-1.152074;-0.335283
0.350;-1.127051;-0.338648
0.360;-1.107458;-0.344686
0.370;-1.093500;-0.355017
0.380;-1.084266;-0.370787
0.390;-1.078026;-0.392351
0.400;-1.072832;-0.419184
0.410;-1.067190;-0.450057
0.420;-1.060494;-0.483406
0.430;-1.053057;-0.517717
0.440;-1.045748;-0.551806
0.450;-1.039462;-0.584936
0.460;-1.034651;-0.616786
0.470;-1.031122;-0.647334
0.480;-1.028120;-0.676709
0.490;-1.024642;-0.705038
0.500;-1.019873;-0.732318
0.510;-1.013566;-0.758312
0.520;-1.006212;-0.782524
0.530;-0.998899;-0.804263
0.540;-0.992901;-0.822836
0.550;-0.989144;-0.837817
0.560;-0.987804;-0.849303
0.570;-0.988215;-0.858047
0.580;-0.989138;-0.865408
0.590;-0.989261;-0.873125
0.600;-0.987693;-0.883009
0.610;-0.984264;-0.896583
0.620;-0.979563;-0.914730
0.630;-0.974755;-0.937385
0.640;-0.971223;-0.963398
0.650;-0.970170;-0.990672
0.660;-0.972297;-1.016583
0.670;-0.977678;-1.038590
0.680;-0.985871;-1.054870
0.690;-0.996203;-1.064751
