f_time;copX;copY
0.010;-1.114156;-0.262500
0.020;-1.113743;-0.273688
0.030;-1.113377;-0.284682
0.040;-1.113060;-0.295275
0.050;-1.112699;-0.305283
0.060;-1.112107;-0.314542
0.070;-1.111042;-0.322904
0.080;-1.109269;-0.330250
0.090;-1.106603;-0.336506
0.100;-1.102928;-0.341652
0.110;-1.098173;-0.345748
0.120;-1.092305;-0.348950
0.130;-1.085325;-0.351535
0.140;-1.077291;-0.353876
0.150;-1.068324;-0.356364
0.160;-1.058614;-0.359271
0.170;-1.048421;-0.362624
0.180;-1.038081;-0.366155
0.190;-1.028013;-0.369384
0.200;-1.018705;-0.371801
0.210;-1.010668;-0.373036
0.220;-1.004353;-0.372940
0.230;-1.000043;-0.371538
0.240;-0.997748;-0.368917
0.250;-0.997150;-0.365119
0.260;-0.997603;-0.360142
0.270;-0.998226;-0.354017
0.280;-0.998078;-0.346928
0.290;-0.996379;-0.339259
0.300;-0.992688;-0.331513
0.310;-0.986980;-0.324152
0.320;-0.979551;-0.317432
0.330;-0.970832;-0.311336
0.340;-0.961181;-0.305627
0.350;-0.950766;-0.299978
0.360;-0.939567;-0.294094
0.370;-0.927484;-0.287808
0.380;-0.914481;-0.281108
0.390;-0.900701;-0.274088
0.400;-0.886503;-0.266862
0.410;-0.872387;-0.259468
0.420;-0.858850;-0.251823
0.430;-0.846221;-0.243728
0.440;-0.834528;-0.234938
0.450;-0.823462;-0.225276
0.460;-0.812473;-0.214764
0.470;-0.800986;-0.203685
0.480;-0.788642;-0.192539
0.490;-0.775454;-0.181893
0.500;-0.761805;-0.172197
0.510;-0.748297;-0.163676
0.520;-0.735539;-0.156321
0.530;-0.723967;-0.149977
0.540;-0.713730;-0.144447
0.550;-0.704690;-0.139570
0.560;-0.696500;-0.135221
0.570;-0.688748;-0.131259
0.580;-0.681109;-0.127471
0.590;-0.673435;-0.123584
0.600;-0.665756;-0.119370
0.610;-0.658189;-0.114787
0.620;-0.650814;-0.110081
0.630;-0.643578;-0.105776
0.640;-0.636289;-0.102538
0.650;-0.628705;-0.100944
0.660;-0.620680;-0.101270
0.670;-0.612296;-0.103390
0.680;-0.603897;-0.106866
0.690;-0.596009;-0.111188
0.700;-0.589180;-0.116034
0.710;-0.583813;-0.121427
0.720;-0.580042;-0.127692
0.730;-0.577686;-0.135277
0.740;-0.576301;-0.144534
0.750;-0.575337;-0.155579
0.760;-0.574345;-0.168252
0.770;-0.573164;-0.182152
0.780;-0.571971;-0.196693
0.790;-0.571192;-0.211170
0.800;-0.571314;-0.224870
0.810;-0.572710;-0.237233
0.820;-0.575571;-0.247999
0.830;-0.579950;-0.257239
0.840;-0.585873;-0.265233
0.850;-0.593399;-0.272254
0.860;-0.602613;-0.278372
0.870;-0.613532;-0.283412
0.880;-0.626022;-0.287072
0.890;-0.639741;-0.289124
0.900;-0.654167;-0.289581
0.910;-0.668678;-0.288760
0.920;-0.682685;-0.287230
0.930;-0.695737;-0.285660
0.940;-0.707581;-0.284627
0.950;-0.718156;-0.284447
0.960;-0.727538;-0.285113
0.970;-0.735890;-0.286378
0.980;-0.743428;-0.287927
0.990;-0.750436;-0.289550
1.000;-0.757318;-0.291224
1.010;-0.764639;-0.293069
1.020;-0.773106;-0.295214
1.030;-0.783439;-0.297671
1.040;-0.796152;-0.300279
1.050;-0.811327;-0.302752
1.060;-0.828476;-0.304807
1.070;-0.846571;-0.306297
1.080;-0.864254;-0.307272
1.090;-0.880172;-0.307928
1.100;-0.893326;-0.308473
1.110;-0.903319;-0.308992
1.120;-0.910432;-0.309407
1.130;-0.915515;-0.309564
1.140;-0.919742;-0.309375
1.150;-0.924286;-0.308902
1.160;-0.930039;-0.308333
1.170;-0.937438;-0.307874
1.180;-0.946457;-0.307652
1.190;-0.956754;-0.307715
1.200;-0.967890;-0.308109
1.210;-0.979547;-0.308942
1.220;-0.991646;-0.310361
1.230;-1.004339;-0.312438
1.240;-1.017889;-0.315042
1.250;-1.032471;-0.317801
1.260;-1.047995;-0.320151
1.270;-1.064021;-0.321460
1.280;-1.079829;-0.321190
1.290;-1.094605;-0.319047
1.300;-1.107688;-0.315088
1.310;-1.118764;-0.309726
1.320;-1.127944;-0.303605
1.330;-1.135697;-0.297366
1.340;-1.142660;-0.291407
1.350;-1.149405;-0.285760
1.360;-1.156249;-0.280126
1.370;-1.163194;-0.274014
1.380;-1.169982;-0.266900
1.390;-1.176228;-0.258329
1.400;-1.181556;-0.247983
1.410;-1.185692;-0.235752
1.420;-1.188499;-0.221820
1.430;-1.189954;-0.206718
1.440;-1.190087;-0.191292
1.450;-1.188913;-0.176534
1.460;-1.186421;-0.163306
1.470;-1.182627;-0.152050
1.480;-1.177670;-0.142611
1.490;-1.171882;-0.134283
1.500;-1.165774;-0.126072
1.510;-1.159925;-0.117065
1.520;-1.154829;-0.106707
1.530;-1.150762;-0.094892
1.540;-1.147716;-0.081881
1.550;-1.145439;-0.068137
1.560;-1.143549;-0.054158
1.570;-1.141671;-0.040370
1.580;-1.139528;-0.027107
1.590;-1.136974;-0.014629
1.600;-1.133973;-0.003145
1.610;-1.130572;0.007210
1.620;-1.126893;0.016427
1.630;-1.123144;0.024661
1.640;-1.119637;0.032212
1.650;-1.116765;0.039423
1.660;-1.114949;0.046556
1.670;-1.114538;0.053698
1.680;-1.115672;0.060731
1.690;-1.118184;0.067377
1.700;-1.121589;0.073302
1.710;-1.125193;0.078243
1.720;-1.128298;0.082154
1.730;-1.130412;0.085307
1.740;-1.131406;0.088326
1.750;-1.131537;0.092075
1.760;-1.131347;0.097421
1.770;-1.131444;0.104921
1.780;-1.132266;0.114589
1.790;-1.133875;0.125842
1.800;-1.135872;0.137688
1.810;-1.137445;0.149061
1.820;-1.137565;0.159166
1.830;-1.135261;0.167697
1.840;-1.129906;0.174872
1.850;-1.121423;0.181271
1.860;-1.110344;0.187556
1.870;-1.097694;0.194191
1.880;-1.084711;0.201274
1.890;-1.072504;0.208550
1.900;-1.061726;0.215560
1.910;-1.052405;0.221857
1.920;-1.044003;0.227187
1.930;-1.035670;0.231566
1.940;-1.026583;0.235236
1.950;-1.016199;0.238505
1.960;-1.004313;0.241542
1.970;-0.990949;0.244205
1.980;-0.976192;0.246008
1.990;-0.960046;0.246280
2.000;-0.942406;0.244456
2.010;-0.923099;0.240384
2.020;-0.901965;0.234464
2.030;-0.878916;0.227552
2.040;-0.853977;0.220668
2.050;-0.827324;0.214662
2.060;-0.799330;0.210001
2.070;-0.770572;0.206705
2.080;-0.741809;0.204430
2.090;-0.713886;0.202605
2.100;-0.687575;0.200573
2.110;-0.663354;0.197691
2.120;-0.641238;0.193418
2.130;-0.620744;0.187416
2.140;-0.601088;0.179687
2.150;-0.581532;0.170664
2.160;-0.561761;0.161173
2.170;-0.542084;0.152243
2.180;-0.523359;0.144798
2.190;-0.506683;0.139392
2.200;-0.492970;0.136071
2.210;-0.482597;0.134424
2.220;-0.475230;0.133781
2.230;-0.469881;0.133464
2.240;-0.465191;0.132966
2.250;-0.459830;0.132034
2.260;-0.452911;0.130631
2.270;-0.444242;0.128847
2.280;-0.434364;0.126783
2.290;-0.424361;0.124435
2.300;-0.415532;0.121611
2.310;-0.409037;0.117940
2.320;-0.405628;0.112993
2.330;-0.405508;0.106486
2.340;-0.408355;0.098451
2.350;-0.413460;0.089275
2.360;-0.419938;0.079603
2.370;-0.426949;0.070147
2.380;-0.433880;0.061477
2.390;-0.440444;0.053878
2.400;-0.446693;0.047312
2.410;-0.452949;0.041509
2.420;-0.459676;0.036122
2.430;-0.467360;0.030886
2.440;-0.476407;0.025705
2.450;-0.487115;0.020637
2.460;-0.499679;0.015786
2.470;-0.514227;0.011196
2.480;-0.530824;0.006800
2.490;-0.549485;0.002424
2.500;-0.570176;-0.002141
2.510;-0.592838;-0.007055
2.520;-0.617427;-0.012316
2.530;-0.643955;-0.017673
2.540;-0.672519;-0.022627
2.550;-0.703301;-0.026565
2.560;-0.736561;-0.028987
2.570;-0.772594;-0.029740
2.580;-0.811628;-0.029107
2.590;-0.853664;-0.027719
2.600;-0.898316;-0.026290
2.610;-0.944731;-0.025298
2.620;-0.991650;-0.024761
2.630;-1.037606;-0.024198
2.640;-1.081188;-0.022809
2.650;-1.121285;-0.019777
2.660;-1.157245;-0.014550
2.670;-1.188948;-0.006993
2.680;-1.216797;0.002650
2.690;-1.241642;0.013915
2.700;-1.264636;0.026296
2.710;-1.286999;0.039372
2.720;-1.309767;0.052853
2.730;-1.333612;0.066583
2.740;-1.358799;0.080541
2.750;-1.385311;0.094871
2.760;-1.413041;0.109890
2.770;-1.441956;0.126065
2.780;-1.472107;0.143885
2.790;-1.503518;0.163640
2.800;-1.535981;0.185210
2.810;-1.568902;0.207966
2.820;-1.601259;0.230878
2.830;-1.631744;0.252815
2.840;-1.659030;0.272903
2.850;-1.682075;0.290788
2.860;-1.700321;0.306674
2.870;-1.713738;0.321157
2.880;-1.722707;0.334947
2.890;-1.727855;0.348611
2.900;-1.729905;0.362402
2.910;-1.729593;0.376202
2.920;-1.727611;0.389570
2.930;-1.724554;0.401872
2.940;-1.720892;0.412463
