Time[s];COPx[cm];COPy[cm]
0.010;-2.542801;0.815262
0.020;-2.523871;0.816622
0.030;-2.504997;0.818938
0.040;-2.486386;0.822970
0.050;-2.468483;0.829068
0.060;-2.451939;0.837090
0.070;-2.437485;0.846476
0.080;-2.425760;0.856445
0.090;-2.417156;0.866279
0.100;-2.411736;0.875552
0.110;-2.409275;0.884176
0.120;-2.409407;0.892219
0.130;-2.411795;0.899611
0.140;-2.416242;0.905926
0.150;-2.422648;0.910431
0.160;-2.430847;0.912392
0.170;-2.440394;0.911471
0.180;-2.450443;0.907971
0.190;-2.459798;0.902785
0.200;-2.467162;0.897071
0.210;-2.471474;0.891853
0.220;-2.472182;0.887728
0.230;-2.469314;0.884783
0.240;-2.463329;0.882655
0.250;-2.454840;0.880691
0.260;-2.444383;0.878146
0.270;-2.432323;0.874434
0.280;-2.418921;0.869394
0.290;-2.404491;0.863471
0.300;-2.389550;0.857692
0.310;-2.374879;0.853375
0.320;-2.361456;0.851654
0.330;-2.350263;0.853018
0.340;-2.342030;0.857115
0.350;-2.337025;0.862952
0.360;-2.334964;0.869360
0.370;-2.335092;0.875460
0.380;-2.336406;0.880879
0.390;-2.337944;0.885633
0.400;-2.339054;0.889809
0.410;-2.339558;0.893264
0.420;-2.339772;0.895519
0.430;-2.340367;0.895938
0.440;-2.342113;0.894086
0.450;-2.345547;0.890046
0.460;-2.350683;0.884485
0.470;-2.356862;0.878386
0.480;-2.362836;0.872606
0.490;-2.367083;0.867513
0.500;-2.368251;0.862922
0.510;-2.365600;0.858360
0.520;-2.359229;0.853472
0.530;-2.350038;0.848274
0.540;-2.339427;0.843090
0.550;-2.328901;0.838242
0.560;-2.319732;0.833724
0.570;-2.312762;0.829085
0.580;-2.308368;0.823577
0.590;-2.306541;0.816441
0.600;-2.307045;0.807122
0.610;-2.309605;0.795351
0.620;-2.314077;0.781110
0.630;-2.320533;0.764569
0.640;-2.329203;0.746081
0.650;-2.340302;0.726194
0.660;-2.353805;0.705650
0.670;-2.369303;0.685287
0.680;-2.386024;0.665846
0.690;-2.403001;0.647713
0.700;-2.419295;0.630715
0.710;-2.434157;0.614111
0.720;-2.447102;0.596849
0.730;-2.457880;0.578011
0.740;-2.466421;0.557225
0.750;-2.472783;0.534873
0.760;-2.477121;0.511953
0.770;-2.479672;0.489715
0.780;-2.480742;0.469207
0.790;-2.480684;0.450919
0.800;-2.479892;0.434622
0.810;-2.478782;0.419448
0.820;-2.477770;0.404174
0.830;-2.477199;0.387632
0.840;-2.477241;0.369093
0.850;-2.477779;0.348500
0.860;-2.478329;0.326489
0.870;-2.478071;0.304231
0.880;-2.476015;0.283158
0.890;-2.471285;0.264637
0.900;-2.463411;0.249656
0.910;-2.452510;0.238629
0.920;-2.439274;0.231361
0.930;-2.424740;0.227213
0.940;-2.409964;0.225379
0.950;-2.395709;0.225170
0.960;-2.382289;0.226182
0.970;-2.369620;0.228331
0.980;-2.357424;0.231742
0.990;-2.345458;0.236567
1.000;-2.333655;0.242807
1.010;-2.322085;0.250236
1.020;-2.310801;0.258466
1.030;-2.299655;0.267135
1.040;-2.288205;0.276117
1.050;-2.275749;0.285615
1.060;-2.261471;0.296068
1.070;-2.244637;0.307904
1.080;-2.224802;0.321296
1.090;-2.201984;0.336103
1.100;-2.176760;0.352016
1.110;-2.150223;0.368801
1.120;-2.123761;0.386422
1.130;-2.098717;0.404949
1.140;-2.076012;0.424318
1.150;-2.055901;0.444106
1.160;-2.037944;0.463479
1.170;-2.021223;0.481344
1.180;-2.004764;0.496664
1.190;-1.987965;0.508793
1.200;-1.970880;0.517687
1.210;-1.954182;0.523890
1.220;-1.938824;0.528325
1.230;-1.925554;0.531955
1.240;-1.914547;0.535492
1.250;-1.905329;0.539259
1.260;-1.897033;0.543246
1.270;-1.888800;0.547310
1.280;-1.880117;0.551384
1.290;-1.870912;0.555618
