f_time;copX;copY
0.010;-5.135249;-1.245131
0.020;-5.097218;-1.218408
0.030;-5.060124;-1.191305
0.040;-5.024820;-1.163684
0.050;-4.991800;-1.135744
0.060;-4.961028;-1.107920
0.070;-4.931782;-1.080684
0.080;-4.902623;-1.054371
0.090;-4.871567;-1.029099
0.100;-4.836496;-1.004813
0.110;-4.795711;-0.981423
0.120;-4.748469;-0.958959
0.130;-4.695310;-0.937674
0.140;-4.638065;-0.918033
0.150;-4.579505;-0.900560
0.160;-4.522765;-0.885621
0.170;-4.470696;-0.873237
0.180;-4.425372;-0.863049
0.190;-4.387874;-0.854435
0.200;-4.358367;-0.846727
0.210;-4.336349;-0.839399
0.220;-4.320909;-0.832142
0.230;-4.310840;-0.824811
0.240;-4.304635;-0.817304
0.250;-4.300480;-0.809464
0.260;-4.296358;-0.801051
0.270;-4.290353;-0.791782
0.280;-4.281053;-0.781437
0.290;-4.267935;-0.769983
0.300;-4.251552;-0.757660
0.310;-4.233452;-0.744979
0.320;-4.215844;-0.732609
0.330;-4.201113;-0.721182
0.340;-4.191315;-0.711121
0.350;-4.187766;-0.702586
0.360;-4.190788;-0.695544
0.370;-4.199643;-0.689922
0.380;-4.212642;-0.685725
0.390;-4.227420;-0.683070
0.400;-4.241331;-0.682121
0.410;-4.251902;-0.682971
0.420;-4.257263;-0.685529
0.430;-4.256479;-0.689488
0.440;-4.249716;-0.694387
0.450;-4.238195;-0.699755
0.460;-4.223942;-0.705249
0.470;-4.209396;-0.710749
0.480;-4.196976;-0.716345
0.490;-4.188672;-0.722241
0.500;-4.185759;-0.728613
0.510;-4.188651;-0.735505
0.520;-4.196934;-0.742792
0.530;-4.209536;-0.750209
0.540;-4.224983;-0.757422
0.550;-4.241696;-0.764075
0.560;-4.258244;-0.769831
0.570;-4.273538;-0.774369
0.580;-4.286948;-0.777387
0.590;-4.298343;-0.778597
0.600;-4.308045;-0.777760
0.610;-4.316675;-0.774725
0.620;-4.324895;-0.769503
0.630;-4.333107;-0.762314
0.640;-4.341240;-0.753584
0.650;-4.348722;-0.743857
0.660;-4.354681;-0.733634
0.670;-4.358280;-0.723232
