Time[s];COPx[cm];COPy[cm]
0.010;1.736217;-1.708993
0.020;1.735065;-1.696849
0.030;1.736927;-1.685143
0.040;1.744135;-1.674029
0.050;1.758037;-1.663340
0.060;1.778994;-1.652696
0.070;1.806675;-1.641738
0.080;1.840431;-1.630294
0.090;1.879594;-1.618382
0.100;1.923603;-1.606027
0.110;1.971967;-1.593043
0.120;2.024157;-1.578951
0.130;2.079496;-1.563109
0.140;2.137120;-1.544989
0.150;2.196010;-1.524416
0.160;2.255114;-1.501636
0.170;2.313517;-1.477190
0.180;2.370614;-1.451693
0.190;2.426205;-1.425635
0.200;2.480472;-1.399297
0.210;2.533828;-1.372784
0.220;2.586726;-1.346145
0.230;2.639475;-1.319492
0.240;2.692140;-1.293085
0.250;2.744528;-1.267353
0.260;2.796259;-1.242844
0.270;2.846879;-1.220129
0.280;2.895990;-1.199690
0.290;2.943358;-1.181858
0.300;2.988985;-1.166820
0.310;3.033084;-1.154709
0.320;3.075959;-1.145711
0.330;3.117794;-1.140112
0.340;3.158462;-1.138236
0.350;3.197453;-1.140269
0.360;3.233945;-1.146073
0.370;3.266986;-1.155091
0.380;3.295693;-1.166434
0.390;3.319397;-1.179122
0.400;3.337699;-1.192343
0.410;3.350440;-1.205617
0.420;3.357630;-1.218783
0.430;3.359378;-1.231842
0.440;3.355851;-1.244781
0.450;3.347233;-1.257463
0.460;3.333698;-1.269626
0.470;3.315400;-1.280958
0.480;3.292546;-1.291205
0.490;3.265514;-1.300291
0.500;3.234968;-1.308414
0.510;3.201895;-1.316064
0.520;3.167538;-1.323962
0.530;3.133248;-1.332941
0.540;3.100298;-1.343785
0.550;3.069698;-1.357036
0.560;3.042044;-1.372814
0.570;3.017460;-1.390695
0.580;2.995652;-1.409736
0.590;2.976098;-1.428658
0.600;2.958342;-1.446184
0.610;2.942298;-1.461432
0.620;2.928445;-1.474256
0.630;2.917823;-1.485330
0.640;2.911779;-1.495923
0.650;2.911548;-1.507422
0.660;2.917825;-1.520810
0.670;2.930483;-1.536309
0.680;2.948547;-1.553353
0.690;2.970408;-1.570884
0.700;2.994198;-1.587842
0.710;3.018205;-1.603603
0.720;3.041183;-1.618163
0.730;3.062476;-1.632052
0.740;3.081926;-1.646073
0.750;3.099641;-1.661008
0.760;3.115709;-1.677420
0.770;3.129997;-1.695579
0.780;3.142101;-1.715507
0.790;3.151461;-1.737029
0.800;3.157577;-1.759794
0.810;3.160207;-1.783276
0.820;3.159472;-1.806852
0.830;3.155854;-1.829970
0.840;3.150143;-1.852387
0.850;3.143330;-1.874321
0.860;3.136466;-1.896449
0.870;3.130494;-1.919718
0.880;3.126128;-1.945074
0.890;3.123832;-1.973210
0.900;3.123926;-2.004408
0.910;3.126765;-2.038533
0.920;3.132884;-2.075157
0.930;3.143018;-2.113735
0.940;3.157957;-2.153755
0.950;3.178322;-2.194799
0.960;3.204349;-2.236497
0.970;3.235775;-2.278402
0.980;3.271835;-2.319843
0.990;3.311378;-2.359860
1.000;3.353026;-2.397322
1.010;3.395332;-2.431182
1.020;3.436874;-2.460735
1.030;3.476301;-2.485732
1.040;3.512361;-2.506331
1.050;3.543958;-2.522993
1.060;3.570230;-2.536410
1.070;3.590607;-2.547474
1.080;3.604823;-2.557233
1.090;3.612871;-2.566785
1.100;3.614930;-2.577079
1.110;3.611305;-2.588654
1.120;3.602417;-2.601433
1.130;3.588812;-2.614707
1.140;3.571132;-2.627368
1.150;3.550070;-2.638308
1.160;3.526314;-2.646832
1.170;3.500538;-2.652900
1.180;3.473422;-2.657128
1.190;3.445665;-2.660558
1.200;3.417949;-2.664291
1.210;3.390876;-2.669110
1.220;3.364908;-2.675217
1.230;3.340339;-2.682162
1.240;3.317305;-2.689000
1.250;3.295806;-2.694638
1.260;3.275712;-2.698234
1.270;3.256761;-2.699496
1.280;3.238573;-2.698749
1.290;3.220686;-2.696743
1.300;3.202602;-2.694316
1.310;3.183834;-2.692053
1.320;3.163935;-2.690131
1.330;3.142507;-2.688381
1.340;3.119217;-2.686504
1.350;3.093822;-2.684306
1.360;3.066233;-2.681841
1.370;3.036529;-2.679429
1.380;3.004885;-2.677571
1.390;2.971395;-2.676820
1.400;2.935926;-2.677664
1.410;2.898112;-2.680427
1.420;2.857507;-2.685219
1.430;2.813855;-2.691927
1.440;2.767360;-2.700256
1.450;2.718812;-2.709769
1.460;2.669495;-2.719908
1.470;2.620891;-2.730022
1.480;2.574307;-2.739467
1.490;2.530604;-2.747801
1.500;2.490131;-2.754997
1.510;2.452890;-2.761543
1.520;2.418764;-2.768310
1.530;2.387670;-2.776254
1.540;2.359535;-2.786084
1.550;2.334170;-2.798071
1.560;2.311152;-2.812053
1.570;2.289804;-2.827577
1.580;2.269232;-2.844070
1.590;2.248393;-2.860960
1.600;2.226143;-2.877682
1.610;2.201295;-2.893615
1.620;2.172681;-2.908035
1.630;2.139208;-2.920193
1.640;2.099893;-2.929531
1.650;2.053871;-2.935917
1.660;2.000394;-2.939786
1.670;1.938861;-2.942066
1.680;1.868907;-2.943926
1.690;1.790523;-2.946401
1.700;1.704154;-2.949997
1.710;1.610750;-2.954374
1.720;1.511738;-2.958249
1.730;1.408929;-2.959577
1.740;1.304399;-2.956029
1.750;1.200344;-2.945639
1.760;1.098923;-2.927468
1.770;1.002067;-2.902053
1.780;0.911259;-2.871491
1.790;0.827340;-2.839057
1.800;0.750403;-2.808455
1.810;0.679870;-2.782916
1.820;0.614742;-2.764430
1.830;0.553978;-2.753332
1.840;0.496855;-2.748342
1.850;0.443176;-2.747001
1.860;0.393210;-2.746354
1.870;0.347380;-2.743684
1.880;0.305832;-2.737150
1.890;0.268075;-2.726156
1.900;0.232882;-2.711373
1.910;0.198541;-2.694381
1.920;0.163347;-2.677031
1.930;0.126140;-2.660765
1.940;0.086646;-2.646142
1.950;0.045474;-2.632752
1.960;0.003831;-2.619486
1.970;-0.036905;-2.605007
1.980;-0.075533;-2.588202
1.990;-0.111193;-2.568484
2.000;-0.143349;-2.545895
2.010;-0.171671;-2.521011
2.020;-0.195890;-2.494714
2.030;-0.215700;-2.467928
2.040;-0.230713;-2.441427
2.050;-0.240458;-2.415749
2.060;-0.244399;-2.391185
2.070;-0.241937;-2.367788
2.080;-0.232462;-2.345403
2.090;-0.215476;-2.323726
2.100;-0.190833;-2.302403
2.110;-0.158977;-2.281150
2.120;-0.121062;-2.259852
2.130;-0.078816;-2.238601
2.140;-0.034208;-2.217679
2.150;0.010949;-2.197520
2.160;0.055257;-2.178678
2.170;0.097790;-2.161771
2.180;0.137946;-2.147384
2.190;0.175232;-2.135921
2.200;0.209078;-2.127452
2.210;0.238797;-2.121641
2.220;0.263661;-2.117820
2.230;0.283020;-2.115224
2.240;0.296349;-2.113278
2.250;0.303209;-2.111814
2.260;0.303180;-2.111102
2.270;0.295836;-2.111675
2.280;0.280839;-2.114034
2.290;0.258154;-2.118358
2.300;0.228281;-2.124346
2.310;0.192399;-2.131290
2.320;0.152318;-2.138329
2.330;0.110232;-2.144738
2.340;0.068368;-2.150091
2.350;0.028660;-2.154203
2.360;-0.007441;-2.156952
2.370;-0.039002;-2.158143
2.380;-0.065532;-2.157504
2.390;-0.086863;-2.154804
2.400;-0.103026;-2.149975
2.410;-0.114130;-2.143199
2.420;-0.120270;-2.134886
2.430;-0.121471;-2.125587
2.440;-0.117701;-2.115835
2.450;-0.108948;-2.105974
2.460;-0.095298;-2.096021
2.470;-0.076960;-2.085624
2.480;-0.054187;-2.074169
2.490;-0.027154;-2.060999
2.500;0.004160;-2.045667
2.510;0.039972;-2.028119
2.520;0.080578;-2.008732
2.530;0.126132;-1.988185
2.540;0.176461;-1.967227
2.550;0.231000;-1.946419
2.560;0.288936;-1.925947
2.570;0.349487;-1.905546
2.580;0.412176;-1.884584
2.590;0.476963;-1.862268
2.600;0.544171;-1.837921
2.610;0.614218;-1.811214
2.620;0.687290;-1.782258
2.630;0.763069;-1.751526
2.640;0.840628;-1.719672
2.650;0.918536;-1.687319
2.660;0.995089;-1.654922
2.670;1.068590;-1.622710
2.680;1.137591;-1.590719
2.690;1.201113;-1.558881
2.700;1.258787;-1.527145
2.710;1.310877;-1.495609
2.720;1.358112;-1.464625
2.730;1.401372;-1.434781
2.740;1.441369;-1.406719
2.750;1.478487;-1.380812
2.760;1.512815;-1.356857
2.770;1.544310;-1.333957
2.780;1.572965;-1.310690
2.790;1.598878;-1.285537
2.800;1.622220;-1.257347
2.810;1.643130;-1.225642
2.820;1.661641;-1.190613
2.830;1.677684;-1.152893
2.840;1.691189;-1.113218
2.850;1.702176;-1.072168
2.860;1.710790;-1.030072
2.870;1.717276;-0.987098
2.880;1.721950;-0.943425
2.890;1.725191;-0.899387
2.900;1.727446;-0.855512
2.910;1.729219;-0.812466
