Time[s];COPx[cm];COPy[cm]
0.010;-3.422354;0.096491
0.020;-3.420775;0.085480
0.030;-3.418089;0.075766
0.040;-3.413463;0.068201
0.050;-3.406613;0.062907
0.060;-3.397915;0.059316
0.070;-3.388308;0.056457
0.080;-3.379009;0.053319
0.090;-3.371129;0.049152
0.100;-3.365365;0.043589
0.110;-3.361839;0.036593
0.120;-3.360148;0.028314
0.130;-3.359565;0.018990
0.140;-3.359328;0.008940
0.150;-3.358874;-0.001414
0.160;-3.357960;-0.011579
0.170;-3.356654;-0.021119
0.180;-3.355248;-0.029824
0.190;-3.354167;-0.037847
0.200;-3.353882;-0.045727
0.210;-3.354828;-0.054296
0.220;-3.357313;-0.064435
0.230;-3.361427;-0.076759
0.240;-3.366977;-0.091344
0.250;-3.373458;-0.107631
0.260;-3.380097;-0.124546
0.270;-3.385946;-0.140807
0.280;-3.390053;-0.155315
0.290;-3.391654;-0.167510
0.300;-3.390344;-0.177572
0.310;-3.386173;-0.186362
0.320;-3.379642;-0.195101
0.330;-3.371601;-0.204895
0.340;-3.363068;-0.216293
0.350;-3.355024;-0.229085
0.360;-3.348237;-0.242428
0.370;-3.343149;-0.255229
0.380;-3.339829;-0.266612
0.390;-3.338000;-0.276223
0.400;-3.337152;-0.284287
0.410;-3.336710;-0.291442
0.420;-3.336197;-0.298440
0.430;-3.335319;-0.305829
0.440;-3.333921;-0.313707
0.450;-3.331884;-0.321682
0.460;-3.329043;-0.329046
0.470;-3.325212;-0.335114
0.480;-3.320318;-0.339533
0.490;-3.314554;-0.342411
0.500;-3.308435;-0.344205
0.510;-3.302688;-0.345463
0.520;-3.298031;-0.346575
0.530;-3.294912;-0.347648
0.540;-3.293342;-0.348519
0.550;-3.292853;-0.348879
0.560;-3.292610;-0.348415
0.570;-3.291624;-0.346958
0.580;-3.289029;-0.344559
0.590;-3.284350;-0.341494
0.600;-3.277660;-0.338163
0.610;-3.269546;-0.334925
0.620;-3.260888;-0.331960
0.630;-3.252539;-0.329208
0.640;-3.245036;-0.326424
0.650;-3.238446;-0.323301
0.660;-3.232358;-0.319599
0.670;-3.226016;-0.315200
0.680;-3.218545;-0.310064
0.690;-3.209225;-0.304133
0.700;-3.197737;-0.297287
0.710;-3.184287;-0.289391
0.720;-3.169554;-0.280413
0.730;-3.154486;-0.270520
0.740;-3.140051;-0.260092
0.750;-3.127041;-0.249645
0.760;-3.115973;-0.239702
0.770;-3.107068;-0.230669
0.780;-3.100305;-0.222735
0.790;-3.095505;-0.215863
0.800;-3.092419;-0.209871
0.810;-3.090764;-0.204576
0.820;-3.090217;-0.199876
0.830;-3.090410;-0.195709
0.840;-3.090969;-0.191949
0.850;-3.091593;-0.188327
0.860;-3.092158;-0.184515
0.870;-3.092766;-0.180315
0.880;-3.093727;-0.175861
0.890;-3.095449;-0.171688
0.900;-3.098268;-0.168596
0.910;-3.102267;-0.167323
0.920;-3.107167;-0.168184
0.930;-3.112361;-0.170841
0.940;-3.117071;-0.174373
0.950;-3.120561;-0.177627
0.960;-3.122341;-0.179672
0.970;-3.122293;-0.180110
0.980;-3.120716;-0.179137
0.990;-3.118258;-0.177373
1.000;-3.115761;-0.175602
1.010;-3.114072;-0.174534
1.020;-3.113871;-0.174667
1.030;-3.115581;-0.176250
1.040;-3.119330;-0.179319
1.050;-3.124947;-0.183748
1.060;-3.131957;-0.189277
1.070;-3.139631;-0.195500
1.080;-3.147094;-0.201865
1.090;-3.153508;-0.207702
1.100;-3.158260;-0.212330
1.110;-3.161049;-0.215236
1.120;-3.161859;-0.216260
1.130;-3.160834;-0.215735
1.140;-3.158183;-0.214464
1.150;-3.154160;-0.213522
1.160;-3.149137;-0.213923
1.170;-3.143694;-0.216286
1.180;-3.138633;-0.220647
1.190;-3.134840;-0.226488
1.200;-3.133017;-0.232943
1.210;-3.133395;-0.239073
1.220;-3.135579;-0.244090
1.230;-3.138638;-0.247507
1.240;-3.141423;-0.249173
1.250;-3.142986;-0.249236
1.260;-3.142908;-0.248046
1.270;-3.141388;-0.246049
1.280;-3.139085;-0.243712
1.290;-3.136815;-0.241499
1.300;-3.135263;-0.239874
1.310;-3.134848;-0.239283
1.320;-3.135747;-0.240099
1.330;-3.138034;-0.242521
1.340;-3.141793;-0.246513
1.350;-3.147136;-0.251782
1.360;-3.154109;-0.257835
1.370;-3.162588;-0.264091
1.380;-3.172237;-0.270009
1.390;-3.182589;-0.275213
1.400;-3.193211;-0.279570
1.410;-3.203857;-0.283176
1.420;-3.214547;-0.286277
1.430;-3.225534;-0.289131
1.440;-3.237206;-0.291921
1.450;-3.249985;-0.294739
1.460;-3.264204;-0.297631
1.470;-3.279994;-0.300651
1.480;-3.297153;-0.303845
1.490;-3.315074;-0.307195
1.500;-3.332754;-0.310567
1.510;-3.348939;-0.313716
1.520;-3.362391;-0.316381
1.530;-3.372216;-0.318419
1.540;-3.378135;-0.319872
1.550;-3.380572;-0.320914
1.560;-3.380502;-0.321693
1.570;-3.379137;-0.322190
1.580;-3.377587;-0.322220
1.590;-3.376644;-0.321559
1.600;-3.376724;-0.320122
1.610;-3.377921;-0.318022
1.620;-3.380097;-0.315503
1.630;-3.382954;-0.312767
1.640;-3.386100;-0.309846
1.650;-3.389136;-0.306581
1.660;-3.391747;-0.302736
1.670;-3.393791;-0.298150
1.680;-3.395327;-0.292835
1.690;-3.396587;-0.286952
1.700;-3.397890;-0.280695
1.710;-3.399537;-0.274171
1.720;-3.401703;-0.267359
1.730;-3.404401;-0.260153
1.740;-3.407521;-0.252477
1.750;-3.410945;-0.244414
1.760;-3.414657;-0.236267
1.770;-3.418757;-0.228493
1.780;-3.423374;-0.221507
1.790;-3.428506;-0.215449
1.800;-3.433884;-0.210054
1.810;-3.438955;-0.204709
1.820;-3.443031;-0.198668
1.830;-3.445532;-0.191355
1.840;-3.446204;-0.182623
1.850;-3.445199;-0.172841
1.860;-3.442973;-0.162773
1.870;-3.440072;-0.153291
1.880;-3.436893;-0.145040
1.890;-3.433512;-0.138203
1.900;-3.429643;-0.132435
1.910;-3.424733;-0.127018
1.920;-3.418168;-0.121145
1.930;-3.409492;-0.114202
1.940;-3.398556;-0.105926
1.950;-3.385558;-0.096388
1.960;-3.370973;-0.085881
1.970;-3.355423;-0.074789
1.980;-3.339529;-0.063499
1.990;-3.323808;-0.052357
2.000;-3.308585;-0.041631
2.010;-3.293947;-0.031485
2.020;-3.279704;-0.021972
2.030;-3.265417;-0.013064
2.040;-3.250483;-0.004704
2.050;-3.234275;0.003159
