Time[s];COPx[cm];COPy[cm]
0.010;-0.741632;1.332399
0.020;-0.753167;1.332101
0.030;-0.766012;1.332410
0.040;-0.781274;1.333602
0.050;-0.799620;1.335368
0.060;-0.821120;1.336887
0.070;-0.845157;1.337110
0.080;-0.870441;1.335156
0.090;-0.895164;1.330647
0.100;-0.917318;1.323888
0.110;-0.935102;1.315833
0.120;-0.947308;1.307841
0.130;-0.953570;1.301310
0.140;-0.954408;1.297322
0.150;-0.951049;1.296426
0.160;-0.945098;1.298602
0.170;-0.938131;1.303385
0.180;-0.931342;1.310035
0.190;-0.925320;1.317715
0.200;-0.920025;1.325684
0.210;-0.914942;1.333460
0.220;-0.909365;1.340933
0.230;-0.902682;1.348346
0.240;-0.894565;1.356142
0.250;-0.885001;1.364727
0.260;-0.874197;1.374246
0.270;-0.862432;1.384485
0.280;-0.849960;1.394919
0.290;-0.836971;1.404880
0.300;-0.823638;1.413757
0.310;-0.810198;1.421164
0.320;-0.797062;1.427021
0.330;-0.784875;1.431529
0.340;-0.774463;1.435061
0.350;-0.766659;1.438009
0.360;-0.762056;1.440670
0.370;-0.760821;1.443175
0.380;-0.762630;1.445490
0.390;-0.766745;1.447470
0.400;-0.772236;1.448954
0.410;-0.778299;1.449872
0.420;-0.784612;1.450289
0.430;-0.791624;1.450329
0.440;-0.800666;1.450028
0.450;-0.813790;1.449203
0.460;-0.833316;1.447486
0.470;-0.861162;1.444537
0.480;-0.898145;1.440338
0.490;-0.943485;1.435370
0.500;-0.994730;1.430550
0.510;-1.048198;1.426930
0.520;-1.099860;1.425314
0.530;-1.146410;1.425980
0.540;-1.186158;1.428643
0.550;-1.219380;1.432633
0.560;-1.248023;1.437164
0.570;-1.274894;1.441509
0.580;-1.302692;1.444997
0.590;-1.333192;1.446891
0.600;-1.366781;1.446320
0.610;-1.402373;1.442388
0.620;-1.437639;1.434456
0.630;-1.469501;1.422429
0.640;-1.494813;1.406884
0.650;-1.511113;1.388914
0.660;-1.517254;1.369776
0.670;-1.513690;1.350486
0.680;-1.502292;1.331549
0.690;-1.485759;1.312859
0.700;-1.466908;1.293799
0.710;-1.448084;1.273452
0.720;-1.430873;1.250884
0.730;-1.416100;1.225422
0.740;-1.404038;1.196860
0.750;-1.394669;1.165514
0.760;-1.387886;1.132090
0.770;-1.383565;1.097393
0.780;-1.381517;1.062020
0.790;-1.381424;1.026173
0.800;-1.382811;0.989707
0.810;-1.385091;0.952354
0.820;-1.387659;0.914011
0.830;-1.390001;0.874940
0.840;-1.391778;0.835827
0.850;-1.392868;0.797701
0.860;-1.393358;0.761778
0.870;-1.393493;0.729264
0.880;-1.393612;0.701152
0.890;-1.394074;0.678040
0.900;-1.395228;0.659986
0.910;-1.397394;0.646458
0.920;-1.400873;0.636420
0.930;-1.405918;0.628533
0.940;-1.412662;0.621432
0.950;-1.421026;0.613994
0.960;-1.430688;0.605547
0.970;-1.441177;0.595963
0.980;-1.452072;0.585581
0.990;-1.463214;0.574964
1.000;-1.474844;0.564546
1.010;-1.487629;0.554319
1.020;-1.502588;0.543695
1.030;-1.520919;0.531608
1.040;-1.543752;0.516799
1.050;-1.571875;0.498150
1.060;-1.605529;0.474965
1.070;-1.644354;0.447092
1.080;-1.687488;0.414879
1.090;-1.733779;0.379037
1.100;-1.782014;0.340493
1.110;-1.831097;0.300314
1.120;-1.880123;0.259679
1.130;-1.928383;0.219819
1.140;-1.975322;0.181881
1.150;-2.020491;0.146730
1.160;-2.063512;0.114806
1.170;-2.104073;0.086131
1.180;-2.141967;0.060494
1.190;-2.177154;0.037763
1.200;-2.209784;0.018186
1.210;-2.240147;0.002509
1.220;-2.268547;-0.008235
1.230;-2.295141;-0.013181
1.240;-2.319812;-0.012118
1.250;-2.342126;-0.005727
1.260;-2.361443;0.004528
1.270;-2.377136;0.016795
1.280;-2.388848;0.029319
1.290;-2.396660;0.040839
1.300;-2.401096;0.050761
1.310;-2.402936;0.059062
1.320;-2.402898;0.066018
1.330;-2.401331;0.071923
1.340;-2.398054;0.076966
1.350;-2.392432;0.081312
1.360;-2.383690;0.085315
1.370;-2.371310;0.089718
1.380;-2.355346;0.095698
1.390;-2.336519;0.104672
1.400;-2.316053;0.117912
1.410;-2.295324;0.136130
1.420;-2.275464;0.159241
1.430;-2.257075;0.186439
1.440;-2.240157;0.216551
1.450;-2.224252;0.248512
1.460;-2.208694;0.281783
1.470;-2.192869;0.316517
1.480;-2.176369;0.353454
1.490;-2.159030;0.393589
1.500;-2.140855;0.437792
1.510;-2.121929;0.486482
1.520;-2.102360;0.539478
1.530;-2.082288;0.596005
1.540;-2.061900;0.654893
1.550;-2.041403;0.714880
1.560;-2.020936;0.774902
1.570;-2.000497;0.834208
1.580;-1.979887;0.892247
1.590;-1.958728;0.948441
1.600;-1.936513;1.002006
1.610;-1.912705;1.051931
1.620;-1.886895;1.097103
1.630;-1.858986;1.136482
1.640;-1.829317;1.169208
1.650;-1.798661;1.194612
1.660;-1.768069;1.212204
1.670;-1.738647;1.221689
1.680;-1.711338;1.223021
1.690;-1.686781;1.216438
1.700;-1.665286;1.202449
1.710;-1.646903;1.181768
1.720;-1.631563;1.155243
1.730;-1.619223;1.123793
1.740;-1.609900;1.088323
1.750;-1.603568;1.049619
1.760;-1.599981;1.008266
1.770;-1.598548;0.964655
1.780;-1.598376;0.919158
1.790;-1.598488;0.872427
1.800;-1.598104;0.825687
1.810;-1.596846;0.780851
1.820;-1.594796;0.740305
1.830;-1.592373;0.706426
1.840;-1.590134;0.680981
1.850;-1.588558;0.664631
1.860;-1.587909;0.656696
1.870;-1.588181;0.655280
1.880;-1.589116;0.657716
1.890;-1.590296;0.661226
1.900;-1.591285;0.663597
1.910;-1.591771;0.663665
1.920;-1.591674;0.661473
1.930;-1.591183;0.658050
1.940;-1.590727;0.654932
1.950;-1.590879;0.653591
1.960;-1.592229;0.654982
1.970;-1.595248;0.659333
1.980;-1.600201;0.666226
1.990;-1.607105;0.674867
2.000;-1.615749;0.684383
2.010;-1.625744;0.694004
2.020;-1.636612;0.703083
2.030;-1.647905;0.711045
2.040;-1.659344;0.717370
2.050;-1.670913;0.721690
2.060;-1.682867;0.723962
2.070;-1.695622;0.724612
2.080;-1.709545;0.724527
2.090;-1.724746;0.724870
2.100;-1.740947;0.726781
2.110;-1.757510;0.731105
2.120;-1.773592;0.738270
2.130;-1.788371;0.748334
2.140;-1.801240;0.761159
2.150;-1.811908;0.776650
2.160;-1.820371;0.794955
2.170;-1.826789;0.816557
2.180;-1.831323;0.842226
2.190;-1.834061;0.872849
2.200;-1.835036;0.909256
2.210;-1.834343;0.952081
2.220;-1.832256;1.001660
2.230;-1.829290;1.057925
2.240;-1.826177;1.120298
2.250;-1.823778;1.187625
2.260;-1.822938;1.258226
2.270;-1.824327;1.330068
2.280;-1.828296;1.401037
2.290;-1.834801;1.469233
2.300;-1.843426;1.533194
2.310;-1.853530;1.591958
2.320;-1.864442;1.644956
2.330;-1.875628;1.691782
2.340;-1.886755;1.731969
2.350;-1.897661;1.764895
2.360;-1.908276;1.789866
2.370;-1.918552;1.806335
2.380;-1.928402;1.814149
2.390;-1.937672;1.813711
2.400;-1.946118;1.805973
2.410;-1.953418;1.792305
2.420;-1.959225;1.774322
2.430;-1.963269;1.753744
2.440;-1.965471;1.732287
2.450;-1.966002;1.711553
2.460;-1.965243;1.692897
2.470;-1.963645;1.677321
2.480;-1.961552;1.665438
2.490;-1.959106;1.657507
2.500;-1.956258;1.653515
2.510;-1.952872;1.653231
2.520;-1.948850;1.656243
2.530;-1.944226;1.662009
2.540;-1.939220;1.669962
2.550;-1.934246;1.679663
2.560;-1.929867;1.690914
2.570;-1.926673;1.703769
2.580;-1.925141;1.718434
2.590;-1.925510;1.735081
2.600;-1.927756;1.753646
2.610;-1.931645;1.773635
2.620;-1.936834;1.794032
2.630;-1.942983;1.813379
2.640;-1.949867;1.830102
2.650;-1.957455;1.842960
2.660;-1.965907;1.851446
2.670;-1.975490;1.855900
2.680;-1.986472;1.857285
2.690;-1.999045;1.856728
2.700;-2.013315;1.855047
2.710;-2.029311;1.852468
2.720;-2.046993;1.848593
2.730;-2.066232;1.842620
2.740;-2.086791;1.833672
2.750;-2.108348;1.821118
2.760;-2.130568;1.804766
2.770;-2.153169;1.784910
2.780;-2.175929;1.762250
2.790;-2.198609;1.737801
2.800;-2.220817;1.712817
