Time[s];COPx[cm];COPy[cm]
0.010;-0.534639;0.739978
0.020;-0.519068;0.756644
0.030;-0.503541;0.773118
0.040;-0.488046;0.789217
0.050;-0.472398;0.804715
0.060;-0.456233;0.819395
0.070;-0.439064;0.833151
0.080;-0.420428;0.846071
0.090;-0.400090;0.858455
0.100;-0.378227;0.870712
0.110;-0.355486;0.883161
0.120;-0.332858;0.895823
0.130;-0.311402;0.908316
0.140;-0.291911;0.919938
0.150;-0.274693;0.929943
0.160;-0.259532;0.937851
0.170;-0.245818;0.943653
0.180;-0.232770;0.947821
0.190;-0.219643;0.951134
0.200;-0.205860;0.954438
0.210;-0.191089;0.958415
0.220;-0.175253;0.963442
0.230;-0.158508;0.969541
0.240;-0.141202;0.976446
0.250;-0.123818;0.983751
0.260;-0.106929;0.991117
0.270;-0.091147;0.998413
0.280;-0.077055;1.005723
0.290;-0.065118;1.013184
0.300;-0.055590;1.020787
0.310;-0.048436;1.028294
0.320;-0.043335;1.035358
0.330;-0.039748;1.041759
0.340;-0.037045;1.047570
0.350;-0.034653;1.053146
0.360;-0.032183;1.058938
0.370;-0.029495;1.065262
0.380;-0.026644;1.072183
0.390;-0.023732;1.079591
0.400;-0.020753;1.087379
0.410;-0.017510;1.095583
0.420;-0.013681;1.104384
0.430;-0.009009;1.114005
0.440;-0.003523;1.124584
0.450;0.002328;1.136098
0.460;0.007743;1.148371
0.470;0.011820;1.161143
0.480;0.013884;1.174183
0.490;0.013692;1.187382
0.500;0.011442;1.200781
0.510;0.007618;1.214515
0.520;0.002821;1.228676
0.530;-0.002330;1.243167
0.540;-0.007194;1.257627
0.550;-0.011079;1.271467
0.560;-0.013258;1.284020
0.570;-0.013073;1.294742
0.580;-0.010112;1.303364
0.590;-0.004356;1.309947
0.600;0.003747;1.314817
0.610;0.013373;1.318428
0.620;0.023534;1.321208
0.630;0.033334;1.323478
0.640;0.042186;1.325450
0.650;0.049917;1.327304
0.660;0.056770;1.329254
0.670;0.063318;1.331545
0.680;0.070289;1.334381
0.690;0.078363;1.337824
0.700;0.087997;1.341743
0.710;0.099311;1.345865
0.720;0.112096;1.349903
0.730;0.125904;1.353703
0.740;0.140202;1.357299
0.750;0.154519;1.360860
0.760;0.168539;1.364556
0.770;0.182106;1.368444
0.780;0.195153;1.372442
0.790;0.207578;1.376399
0.800;0.219112;1.380195
0.810;0.229262;1.383823
0.820;0.237354;1.387397
0.830;0.242698;1.391085
0.840;0.244777;1.394996
0.850;0.243391;1.399074
0.860;0.238704;1.403071
0.870;0.231226;1.406597
0.880;0.221743;1.409264
0.890;0.211229;1.410840
0.900;0.200724;1.411336
0.910;0.191205;1.411005
0.920;0.183485;1.410235
0.930;0.178159;1.409409
0.940;0.175607;1.408749
0.950;0.176044;1.408218
0.960;0.179570;1.407509
