Time[s];COPx[cm];COPy[cm]
0.010;1.509843;0.987584
0.020;1.595236;0.986431
0.030;1.678438;0.985316
0.040;1.757185;0.984188
0.050;1.829924;0.982812
0.060;1.895827;0.980731
0.070;1.954618;0.977278
0.080;2.006336;0.971640
0.090;2.051102;0.963004
0.100;2.088941;0.950759
0.110;2.119688;0.934689
0.120;2.142981;0.915073
0.130;2.158365;0.892660
0.140;2.165479;0.868552
0.150;2.164259;0.844033
0.160;2.155070;0.820379
0.170;2.138700;0.798698
0.180;2.116196;0.779809
0.190;2.088654;0.764197
0.200;2.057058;0.752009
0.210;2.022244;0.743081
0.220;1.984979;0.736979
0.230;1.946036;0.733093
0.240;1.906199;0.730773
0.250;1.866183;0.729474
0.260;1.826562;0.728860
0.270;1.787778;0.728834
0.280;1.750284;0.729516
0.290;1.714744;0.731178
0.300;1.682204;0.734153
0.310;1.654085;0.738744
0.320;1.631973;0.745155
0.330;1.617242;0.753497
0.340;1.610661;0.763843
0.350;1.612167;0.776309
0.360;1.620901;0.791083
0.370;1.635471;0.808397
0.380;1.654313;0.828426
0.390;1.675982;0.851144
0.400;1.699297;0.876201
0.410;1.723300;0.902865
0.420;1.747131;0.930095
0.430;1.769899;0.956707
0.440;1.790657;0.981578
0.450;1.808501;1.003804
0.460;1.822714;1.022808
0.470;1.832898;1.038392
0.480;1.838989;1.050754
0.490;1.841158;1.060425
0.500;1.839650;1.068124
0.510;1.834622;1.074580
0.520;1.826077;1.080395
0.530;1.813908;1.086009
0.540;1.798023;1.091760
0.550;1.778491;1.097966
0.560;1.755627;1.104960
0.570;1.729968;1.113040
0.580;1.702181;1.122344
0.590;1.672965;1.132719
0.600;1.642992;1.143654
0.610;1.612890;1.154351
0.620;1.583218;1.163919
0.630;1.554404;1.171601
0.640;1.526678;1.176938
0.650;1.500070;1.179759
0.660;1.474487;1.180071
0.670;1.449844;1.177957
0.680;1.426157;1.173566
0.690;1.403574;1.167199
0.700;1.382329;1.159424
0.710;1.362678;1.151124
0.720;1.344866;1.143444
0.730;1.329157;1.137657
0.740;1.315936;1.135000
0.750;1.305790;1.136525
0.760;1.299520;1.142994
0.770;1.298020;1.154788
0.780;1.302066;1.171823
0.790;1.312063;1.193507
0.800;1.327842;1.218788
0.810;1.348600;1.246327
0.820;1.373008;1.274755
0.830;1.399487;1.302927
0.840;1.426565;1.330083
0.850;1.453234;1.355858
0.860;1.479155;1.380181
0.870;1.504643;1.403111
0.880;1.530398;1.424726
0.890;1.557106;1.445109
0.900;1.585112;1.464446
0.910;1.614317;1.483145
0.920;1.644316;1.501885
0.930;1.674626;1.521524
0.940;1.704865;1.542898
0.950;1.734790;1.566582
0.960;1.764241;1.592704
0.970;1.793060;1.620844
0.980;1.821059;1.650073
0.990;1.848046;1.679113
1.000;1.873909;1.706621
1.010;1.898694;1.731479
1.020;1.922627;1.753042
1.030;1.946034;1.771223
1.040;1.969213;1.786441
1.050;1.992297;1.799441
1.060;2.015192;1.811060
1.070;2.037585;1.822017
1.080;2.059038;1.832780
1.090;2.079132;1.843544
1.100;2.097649;1.854322
1.110;2.114703;1.865059
1.120;2.130754;1.875720
1.130;2.146468;1.886298
1.140;2.162486;1.896773
1.150;2.179170;1.907071
1.160;2.196433;1.917096
1.170;2.213715;1.926785
1.180;2.230121;1.936138
1.190;2.244679;1.945159
1.200;2.256599;1.953742
1.210;2.265437;1.961567
1.220;2.271129;1.968107
1.230;2.273930;1.972764
1.240;2.274297;1.975065
1.250;2.272747;1.974838
1.260;2.269750;1.972295
1.270;2.265676;1.967972
1.280;2.260799;1.962559
1.290;2.255332;1.956656
1.300;2.249426;1.950554
1.310;2.243139;1.944106
1.320;2.236390;1.936743
1.330;2.228952;1.927604
1.340;2.220513;1.915737
1.350;2.210791;1.900341
1.360;2.199649;1.881005
1.370;2.187172;1.857869
1.380;2.173632;1.831648
1.390;2.159347;1.803448
1.400;2.144477;1.774429
1.410;2.128876;1.745447
1.420;2.112078;1.716813
1.430;2.093442;1.688275
1.440;2.072368;1.659210
1.450;2.048481;1.628959
1.460;2.021695;1.597180
1.470;1.992162;1.564095
1.480;1.960157;1.530520
1.490;1.925972;1.497654
1.500;1.889851;1.466699
1.510;1.851993;1.438496
1.520;1.812600;1.413340
1.530;1.771951;1.391027
1.540;1.730442;1.371039
1.550;1.688560;1.352775
1.560;1.646806;1.335706
1.570;1.605610;1.319443
1.580;1.565274;1.303715
1.590;1.525983;1.288310
1.600;1.487825;1.273056
1.610;1.450819;1.257865
1.620;1.414912;1.242832
1.630;1.379999;1.228316
1.640;1.345949;1.214927
1.650;1.312650;1.203395
1.660;1.280003;1.194370
1.670;1.247860;1.188257
1.680;1.215947;1.185144
1.690;1.183818;1.184822
1.700;1.150893;1.186870
1.710;1.116559;1.190759
1.720;1.080291;1.195939
1.730;1.041742;1.201854
1.740;1.000782;1.207894
1.750;0.957510;1.213352
1.760;0.912257;1.217476
1.770;0.865573;1.219600
1.780;0.818215;1.219321
1.790;0.771098;1.216603
1.800;0.725236;1.211804
1.810;0.681653;1.205607
1.820;0.641271;1.198908
1.830;0.604784;1.192665
1.840;0.572556;1.187717
1.850;0.544595;1.184570
1.860;0.520618;1.183229
1.870;0.500210;1.183149
1.880;0.482995;1.183369
1.890;0.468763;1.182833
1.900;0.457493;1.180780
1.910;0.449269;1.177000
1.920;0.444125;1.171829
1.930;0.441896;1.165855
1.940;0.442135;1.159544
