f_time;copX;copY
0.010;-0.898493;-0.969936
0.020;-0.863446;-0.964617
0.030;-0.828892;-0.960168
0.040;-0.795365;-0.957198
0.050;-0.763416;-0.955936
0.060;-0.733566;-0.956208
0.070;-0.706218;-0.957554
0.080;-0.681551;-0.959424
0.090;-0.659433;-0.961394
0.100;-0.639425;-0.963295
0.110;-0.620881;-0.965234
0.120;-0.603153;-0.967519
0.130;-0.585831;-0.970510
0.140;-0.568913;-0.974474
0.150;-0.552855;-0.979496
0.160;-0.538430;-0.985466
0.170;-0.526475;-0.992153
0.180;-0.517586;-0.999317
0.190;-0.511896;-1.006806
0.200;-0.509013;-1.014604
0.210;-0.508136;-1.022805
0.220;-0.508303;-1.031561
0.230;-0.508650;-1.041045
0.240;-0.508587;-1.051461
0.250;-0.507836;-1.063085
0.260;-0.506369;-1.076272
0.270;-0.504323;-1.091370
0.280;-0.501956;-1.108572
0.290;-0.499657;-1.127794
0.300;-0.497968;-1.148693
0.310;-0.497569;-1.170809
0.320;-0.499201;-1.193723
0.330;-0.503491;-1.217133
0.340;-0.510730;-1.240812
0.350;-0.520681;-1.264517
0.360;-0.532514;-1.287936
0.370;-0.544917;-1.310732
0.380;-0.556394;-1.332622
0.390;-0.565637;-1.353460
0.400;-0.571832;-1.373260
0.410;-0.574794;-1.392146
0.420;-0.574896;-1.410249
0.430;-0.572843;-1.427600
0.440;-0.569409;-1.444064
0.450;-0.565219;-1.459349
0.460;-0.560622;-1.473081
0.470;-0.555653;-1.484933
0.480;-0.550075;-1.494738
0.490;-0.543506;-1.502544
0.500;-0.535592;-1.508580
0.510;-0.526197;-1.513152
0.520;-0.515511;-1.516521
0.530;-0.504023;-1.518811
0.540;-0.492370;-1.520003
0.550;-0.481127;-1.519995
0.560;-0.470635;-1.518693
0.570;-0.460948;-1.516099
0.580;-0.451885;-1.512384
0.590;-0.443181;-1.507927
0.600;-0.434632;-1.503303
0.610;-0.426174;-1.499175
0.620;-0.417836;-1.496129
0.630;-0.409613;-1.494499
0.640;-0.401320;-1.494274
0.650;-0.392530;-1.495108
0.660;-0.382661;-1.496434
0.670;-0.371176;-1.497637
0.680;-0.357786;-1.498253
0.690;-0.342567;-1.498107
0.700;-0.325938;-1.497341
0.710;-0.308561;-1.496322
0.720;-0.291205;-1.495465
0.730;-0.274626;-1.495037
0.740;-0.259457;-1.495009
0.750;-0.246133;-1.495040
0.760;-0.234849;-1.494619
0.770;-0.225570;-1.493291
0.780;-0.218090;-1.490882
0.790;-0.212140;-1.487588
0.800;-0.207491;-1.483937
0.810;-0.204015;-1.480622
0.820;-0.201680;-1.478256
0.830;-0.200500;-1.477152
0.840;-0.200479;-1.477187
0.850;-0.201597;-1.477851
0.860;-0.203850;-1.478454
0.870;-0.207308;-1.478393
0.880;-0.212120;-1.477368
0.890;-0.218431;-1.475438
0.900;-0.226261;-1.472925
0.910;-0.235435;-1.470231
0.920;-0.245650;-1.467658
0.930;-0.256651;-1.465326
0.940;-0.268420;-1.463197
0.950;-0.281242;-1.461170
0.960;-0.295606;-1.459142
0.970;-0.311993;-1.457028
0.980;-0.330693;-1.454747
0.990;-0.351770;-1.452191
1.000;-0.375173;-1.449231
1.010;-0.400901;-1.445731
1.020;-0.429043;-1.441594
1.030;-0.459644;-1.436776
1.040;-0.492455;-1.431324
1.050;-0.526725;-1.425397
1.060;-0.561202;-1.419317
1.070;-0.594386;-1.413575
1.080;-0.624915;-1.408785
1.090;-0.651936;-1.405578
1.100;-0.675291;-1.404445
1.110;-0.695424;-1.405581
1.120;-0.713073;-1.408776
1.130;-0.728896;-1.413432
1.140;-0.743196;-1.418736
1.150;-0.755872;-1.423905
1.160;-0.766567;-1.428412
1.170;-0.774922;-1.432089
1.180;-0.780821;-1.435101
1.190;-0.784481;-1.437835
1.200;-0.786365;-1.440730
1.210;-0.786982;-1.444131
1.220;-0.786692;-1.448196
1.230;-0.785639;-1.452898
1.240;-0.783825;-1.458120
1.250;-0.781254;-1.463756
1.260;-0.778055;-1.469772
1.270;-0.774522;-1.476191
1.280;-0.771061;-1.483052
1.290;-0.768078;-1.490366
1.300;-0.765878;-1.498086
1.310;-0.764596;-1.506140
1.320;-0.764189;-1.514504
1.330;-0.764498;-1.523286
1.340;-0.765348;-1.532751
1.350;-0.766669;-1.543256
1.360;-0.768551;-1.555122
1.370;-0.771219;-1.568515
1.380;-0.774910;-1.583364
1.390;-0.779739;-1.599359
1.400;-0.785604;-1.615988
1.410;-0.792222;-1.632627
1.420;-0.799248;-1.648648
1.430;-0.806418;-1.663500
1.440;-0.813636;-1.676781
1.450;-0.820972;-1.688262
1.460;-0.828584;-1.697895
1.470;-0.836621;-1.705780
1.480;-0.845145;-1.712100
1.490;-0.854091;-1.717028
1.500;-0.863292;-1.720647
1.510;-0.872562;-1.722908
1.520;-0.881784;-1.723666
1.530;-0.890991;-1.722782
1.540;-0.900371;-1.720238
1.550;-0.910199;-1.716212
1.560;-0.920687;-1.711077
1.570;-0.931839;-1.705348
1.580;-0.943393;-1.699591
1.590;-0.954873;-1.694327
1.600;-0.965762;-1.689927
1.610;-0.975693;-1.686517
1.620;-0.984599;-1.683938
1.630;-0.992749;-1.681802
1.640;-1.000688;-1.679634
1.650;-1.009087;-1.677048
1.660;-1.018574;-1.673856
1.670;-1.029589;-1.670085
1.680;-1.042313;-1.665901
1.690;-1.056662;-1.661483
1.700;-1.072340;-1.656905
1.710;-1.088924;-1.652062
1.720;-1.105959;-1.646687
1.730;-1.123038;-1.640454
1.740;-1.139845;-1.633135
1.750;-1.156143;-1.624722
1.760;-1.171722;-1.615455
1.770;-1.186344;-1.605721
1.780;-1.199743;-1.595905
1.790;-1.211684;-1.586250
1.800;-1.222077;-1.576780
1.810;-1.231068;-1.567322
1.820;-1.239042;-1.557609
1.830;-1.246504;-1.547437
1.840;-1.253856;-1.536809
1.850;-1.261162;-1.525992
1.860;-1.268032;-1.515462
1.870;-1.273700;-1.505734
1.880;-1.277256;-1.497147
1.890;-1.277940;-1.489714
1.900;-1.275358;-1.483118
1.910;-1.269556;-1.476856
1.920;-1.260967;-1.470469
1.930;-1.250255;-1.463753
1.940;-1.238125;-1.456833
1.950;-1.225151;-1.450072
1.960;-1.211700;-1.443839
1.970;-1.197928;-1.438265
1.980;-1.183843;-1.433085
1.990;-1.169343;-1.427665
2.000;-1.154255;-1.421187
2.010;-1.138359;-1.412922
2.020;-1.121451;-1.402484
2.030;-1.103444;-1.389958
2.040;-1.084484;-1.375862
2.050;-1.065000;-1.360964
2.060;-1.045623;-1.346023
2.070;-1.026987;-1.331564
2.080;-1.009513;-1.317733
2.090;-0.993288;-1.304274
2.100;-0.978071;-1.290637
2.110;-0.963421;-1.276168
