Time[s];COPx[cm];COPy[cm]
0.010;-0.334664;0.900114
0.020;-0.309894;0.901035
0.030;-0.285534;0.902301
0.040;-0.262147;0.904109
0.050;-0.240449;0.906448
0.060;-0.221236;0.909146
0.070;-0.205249;0.911993
0.080;-0.192998;0.914875
0.090;-0.184617;0.917829
0.100;-0.179800;0.921001
0.110;-0.177857;0.924544
0.120;-0.177860;0.928533
0.130;-0.178864;0.932951
0.140;-0.180132;0.937749
0.150;-0.181306;0.942887
0.160;-0.182481;0.948349
0.170;-0.184154;0.954118
0.180;-0.187052;0.960161
0.190;-0.191882;0.966441
0.200;-0.199076;0.972950
0.210;-0.208602;0.979750
0.220;-0.219912;0.986981
0.230;-0.232044;0.994781
0.240;-0.243830;1.003150
0.250;-0.254135;1.011842
0.260;-0.262050;1.020357
0.270;-0.266988;1.028076
0.280;-0.268666;1.034448
0.290;-0.267006;1.039176
0.300;-0.262060;1.042310
0.310;-0.254015;1.044239
0.320;-0.243297;1.045574
0.330;-0.230704;1.046977
0.340;-0.217454;1.048995
0.350;-0.205062;1.051981
0.360;-0.195016;1.056101
0.370;-0.188382;1.061411
0.380;-0.185470;1.067907
0.390;-0.185742;1.075516
0.400;-0.188000;1.084034
0.410;-0.190793;1.093106
0.420;-0.192857;1.102277
0.430;-0.193425;1.111106
0.440;-0.192298;1.119267
0.450;-0.189709;1.126584
0.460;-0.186092;1.132994
0.470;-0.181843;1.138484
0.480;-0.177168;1.143052
0.490;-0.172019;1.146716
0.500;-0.166135;1.149531
0.510;-0.159158;1.151586
0.520;-0.150774;1.152975
0.530;-0.140817;1.153779
0.540;-0.129300;1.154057
0.550;-0.116350;1.153860
0.560;-0.102104;1.153258
0.570;-0.086601;1.152364
0.580;-0.069741;1.151347
0.590;-0.051320;1.150408
0.600;-0.031152;1.149725
0.610;-0.009257;1.149392
0.620;0.013959;1.149381
0.630;0.037648;1.149536
0.640;0.060633;1.149595
0.650;0.081672;1.149235
0.660;0.099783;1.148118
0.670;0.114503;1.145950
0.680;0.126028;1.142513
0.690;0.135155;1.137703
0.700;0.143060;1.131568
0.710;0.150951;1.124340
0.720;0.159711;1.116431
0.730;0.169668;1.108351
0.740;0.180569;1.100583
0.750;0.191759;1.093469
0.760;0.202486;1.087177
0.770;0.212178;1.081745
0.780;0.220584;1.077140
0.790;0.227748;1.073257
0.800;0.233869;1.069879
0.810;0.239119;1.066674
0.820;0.243498;1.063271
0.830;0.246740;1.059374
0.840;0.248310;1.054821
0.850;0.247522;1.049564
0.860;0.243757;1.043613
0.870;0.236736;1.036996
0.880;0.226744;1.029799
0.890;0.214716;1.022227
0.900;0.202122;1.014639
0.910;0.190702;1.007489
0.920;0.182124;1.001192
0.930;0.177683;0.996007
0.940;0.178103;0.991984
0.950;0.183470;0.988975
0.960;0.193244;0.986675
0.970;0.206335;0.984664
0.980;0.221269;0.982454
0.990;0.236410;0.979572
1.000;0.250223;0.975654
1.010;0.261474;0.970523
1.020;0.269356;0.964252
1.030;0.273518;0.957186
1.040;0.274047;0.949917
1.050;0.271411;0.943176
1.060;0.266385;0.937639
1.070;0.259962;0.933694
1.080;0.253224;0.931284
1.090;0.247199;0.929911
1.100;0.242689;0.928815
1.110;0.240142;0.927268
1.120;0.239601;0.924821
1.130;0.240740;0.921399
1.140;0.242964;0.917222
1.150;0.245548;0.912637
1.160;0.247789;0.907972
1.170;0.249162;0.903442
1.180;0.249445;0.899092
1.190;0.248786;0.894768
1.200;0.247682;0.890135
1.210;0.246874;0.884801
1.220;0.247157;0.878509
1.230;0.249144;0.871294
1.240;0.253074;0.863523
1.250;0.258730;0.855796
1.260;0.265523;0.848777
1.270;0.272691;0.843046
1.280;0.279519;0.838980
1.290;0.285493;0.836688
1.300;0.290349;0.835981
1.310;0.294023;0.836384
1.320;0.296573;0.837212
1.330;0.298086;0.837712
1.340;0.298604;0.837233
1.350;0.298063;0.835411
1.360;0.296238;0.832267
1.370;0.292711;0.828196
1.380;0.286886;0.823819
1.390;0.278092;0.819781
1.400;0.265774;0.816527
1.410;0.249716;0.814156
1.420;0.230189;0.812376
1.430;0.207932;0.810603
1.440;0.183954;0.808170
1.450;0.159257;0.804557
1.460;0.134613;0.799547
1.470;0.110444;0.793234
1.480;0.086842;0.785910
1.490;0.063671;0.777928
1.500;0.040733;0.769601
1.510;0.017914;0.761149
1.520;-0.004732;0.752703
1.530;-0.027015;0.744353
1.540;-0.048724;0.736220
1.550;-0.069747;0.728508
1.560;-0.090124;0.721479
1.570;-0.110006;0.715359
1.580;-0.129540;0.710236
1.590;-0.148769;0.706015
1.600;-0.167573;0.702479
1.610;-0.185712;0.699397
1.620;-0.202927;0.696625
1.630;-0.219042;0.694139
1.640;-0.234020;0.691996
1.650;-0.247917;0.690251
1.660;-0.260803;0.688894
1.670;-0.272713;0.687853
1.680;-0.283667;0.687072
1.690;-0.293725;0.686620
1.700;-0.303031;0.686767
1.710;-0.311804;0.687939
1.720;-0.320307;0.690575
1.730;-0.328801;0.694939
1.740;-0.337487;0.701014
1.750;-0.346434;0.708495
1.760;-0.355503;0.716876
1.770;-0.364314;0.725573
1.780;-0.372305;0.734052
1.790;-0.378859;0.741940
1.800;-0.383459;0.749057
1.810;-0.385810;0.755384
1.820;-0.385862;0.760973
1.830;-0.383777;0.765888
1.840;-0.379853;0.770196
1.850;-0.374462;0.773993
1.860;-0.368007;0.777437
1.870;-0.360901;0.780750
1.880;-0.353557;0.784203
1.890;-0.346397;0.788100
1.900;-0.339846;0.792770
1.910;-0.334313;0.798558
1.920;-0.330142;0.805753
1.930;-0.327573;0.814468
1.940;-0.326726;0.824512
1.950;-0.327639;0.835350
1.960;-0.330296;0.846196
1.970;-0.334596;0.856251
1.980;-0.340258;0.865001
1.990;-0.346702;0.872455
2.000;-0.353007;0.879184
2.010;-0.358003;0.886125
2.020;-0.360530;0.894200
2.030;-0.359756;0.903909
2.040;-0.355443;0.915062
2.050;-0.348062;0.926795
2.060;-0.338710;0.937878
2.070;-0.328877;0.947179
2.080;-0.320137;0.954098
2.090;-0.313854;0.958771
2.100;-0.310969;0.961971
2.110;-0.311895;0.964773
2.120;-0.316524;0.968134
2.130;-0.324320;0.972581
2.140;-0.334451;0.978125
2.150;-0.345929;0.984400
2.160;-0.357731;0.990950
2.170;-0.368903;0.997507
2.180;-0.378658;1.004146
2.190;-0.386461;1.011253
2.200;-0.392126;1.019336
2.210;-0.395863;1.028758
2.220;-0.398245;1.039527
2.230;-0.400058;1.051224
2.240;-0.402041;1.063116
2.250;-0.404623;1.074381
2.260;-0.407727;1.084348
2.270;-0.410772;1.092658
2.280;-0.412851;1.099310
2.290;-0.413042;1.104592
2.300;-0.410712;1.108934
2.310;-0.405702;1.112724
2.320;-0.398356;1.116160
2.330;-0.389409;1.119218
2.340;-0.379784;1.121734
2.350;-0.370352;1.123554
2.360;-0.361725;1.124668
2.370;-0.354153;1.125286
2.380;-0.347566;1.125805
2.390;-0.341733;1.126688
2.400;-0.336447;1.128298
2.410;-0.331663;1.130762
2.420;-0.327506;1.133939
2.430;-0.324181;1.137485
2.440;-0.321807;1.140969
2.450;-0.320278;1.143983
2.460;-0.319212;1.146218
2.470;-0.318022;1.147497
2.480;-0.316069;1.147795
2.490;-0.312853;1.147256
2.500;-0.308141;1.146184
2.510;-0.301996;1.144979
2.520;-0.294701;1.144010
2.530;-0.286628;1.143506
2.540;-0.278141;1.143493
2.550;-0.269572;1.143794
2.560;-0.261258;1.144054
2.570;-0.253581;1.143812
2.580;-0.246973;1.142613
2.590;-0.241841;1.140164
2.600;-0.238461;1.136457
2.610;-0.236888;1.131797
2.620;-0.236950;1.126709
2.630;-0.238353;1.121794
2.640;-0.240820;1.117598
2.650;-0.244216;1.114522
2.660;-0.248575;1.112760
2.670;-0.254045;1.112253
2.680;-0.260797;1.112677
2.690;-0.268956;1.113507
2.700;-0.278590;1.114134
2.710;-0.289732;1.114019
2.720;-0.302402;1.112828
2.730;-0.316596;1.110541
2.740;-0.332271;1.107479
2.750;-0.349346;1.104248
2.760;-0.367721;1.101565
2.770;-0.387303;1.100007
2.780;-0.408016;1.099774
2.790;-0.429790;1.100588
2.800;-0.452533;1.101793
2.810;-0.476105;1.102598
2.820;-0.500303;1.102343
2.830;-0.524858;1.100675
2.840;-0.549427;1.097585
2.850;-0.573612;1.093337
2.860;-0.597010;1.088334
2.870;-0.619308;1.082965
2.880;-0.640358;1.077450
2.890;-0.660190;1.071785
2.900;-0.678951;1.065786
2.910;-0.696811;1.059246
2.920;-0.713897;1.052074
2.930;-0.730277;1.044346
2.940;-0.745971;1.036236
2.950;-0.760963;1.027929
2.960;-0.775172;1.019568
2.970;-0.788389;1.011321
2.980;-0.800229;1.003502
2.990;-0.810135;0.996632
3.000;-0.817442;0.991356
3.010;-0.821488;0.988202
3.020;-0.821725;0.987315
3.030;-0.817818;0.988308
3.040;-0.809741;0.990324
3.050;-0.797818;0.992288
3.060;-0.782714;0.993243
3.070;-0.765336;0.992643
3.080;-0.746691;0.990475
3.090;-0.727751;0.987189
3.100;-0.709340;0.983450
3.110;-0.692098;0.979854
3.120;-0.676480;0.976717
3.130;-0.662804;0.974055
3.140;-0.651286;0.971725
3.150;-0.642065;0.969630
3.160;-0.635191;0.967864
3.170;-0.630566;0.966708
3.180;-0.627852;0.966494
3.190;-0.626393;0.967427
3.200;-0.625221;0.969456
3.210;-0.623187;0.972290
3.220;-0.619211;0.975526
3.230;-0.612572;0.978835
3.240;-0.603143;0.982095
3.250;-0.591464;0.985405
3.260;-0.578628;0.988944
3.270;-0.566026;0.992776
3.280;-0.555061;0.996700
3.290;-0.546898;1.000244
3.300;-0.542313;1.002842
3.310;-0.541642;1.004076
3.320;-0.544815;1.003866
3.330;-0.551430;1.002496
3.340;-0.560806;1.000526
3.350;-0.572025;0.998657
3.360;-0.583998;0.997601
3.370;-0.595625;0.997954
3.380;-0.606032;1.000070
3.390;-0.614780;1.003990
3.400;-0.621970;1.009461
3.410;-0.628175;1.016034
3.420;-0.634232;1.023199
3.430;-0.640993;1.030500
3.440;-0.649106;1.037582
3.450;-0.658875;1.044200
3.460;-0.670232;1.050192
3.470;-0.682777;1.055472
3.480;-0.695932;1.060019
3.490;-0.709145;1.063871
3.500;-0.722119;1.067107
3.510;-0.734948;1.069821
3.520;-0.748109;1.072091
3.530;-0.762283;1.073971
3.540;-0.778059;1.075539
3.550;-0.795621;1.077005
3.560;-0.814537;1.078801
3.570;-0.833728;1.081564
3.580;-0.851665;1.085985
3.590;-0.866735;1.092556
3.600;-0.877656;1.101359
3.610;-0.883820;1.111985
3.620;-0.885418;1.123606
3.630;-0.883326;1.135156
3.640;-0.878783;1.145580
3.650;-0.873008;1.154058
3.660;-0.866907;1.160163
3.670;-0.860955;1.163910
3.680;-0.855261;1.165676
3.690;-0.849687;1.166059
3.700;-0.843941;1.165708
3.710;-0.837592;1.165199
3.720;-0.830058;1.164931
3.730;-0.820634;1.165062
3.740;-0.808594;1.165482
3.750;-0.793344;1.165863
3.760;-0.774566;1.165823
3.770;-0.752341;1.165127
3.780;-0.727222;1.163827
3.790;-0.700233;1.162268
3.800;-0.672765;1.160935
3.810;-0.646381;1.160227
3.820;-0.622575;1.160267
3.830;-0.602544;1.160825
3.840;-0.587012;1.161409
3.850;-0.576124;1.161434
3.860;-0.569421;1.160390
3.870;-0.565945;1.157938
3.880;-0.564457;1.153942
3.890;-0.563717;1.148481
3.900;-0.562755;1.141850
3.910;-0.561054;1.134521
3.920;-0.558620;1.127065
3.930;-0.555933;1.120002
3.940;-0.553805;1.113668
3.950;-0.553190;1.108143
3.960;-0.554965;1.103293
3.970;-0.559770;1.098905
3.980;-0.567915;1.094838
