Time[s];COPx[cm];COPy[cm]
0.010;3.178666;-0.545391
0.020;3.125407;-0.545222
0.030;3.071157;-0.544572
0.040;3.014832;-0.542692
0.050;2.955090;-0.538441
0.060;2.890338;-0.530446
0.070;2.818928;-0.517473
0.080;2.739574;-0.498880
0.090;2.651966;-0.474990
0.100;2.557396;-0.447272
0.110;2.459083;-0.418198
0.120;2.361936;-0.390725
0.130;2.271687;-0.367546
0.140;2.193659;-0.350357
0.150;2.131645;-0.339462
0.160;2.087339;-0.333855
0.170;2.060469;-0.331686
0.180;2.049436;-0.330856
0.190;2.052088;-0.329542
0.200;2.066306;-0.326514
0.210;2.090224;-0.321247
0.220;2.122128;-0.313835
0.230;2.160195;-0.304787
0.240;2.202280;-0.294745
0.250;2.245911;-0.284235
0.260;2.288475;-0.273500
0.270;2.327485;-0.262499
0.280;2.360746;-0.251019
0.290;2.386346;-0.238852
0.300;2.402509;-0.225947
0.310;2.407453;-0.212495
0.320;2.399387;-0.198915
0.330;2.376695;-0.185693
0.340;2.338241;-0.173057
0.350;2.283606;-0.160549
0.360;2.213122;-0.146681
0.370;2.127592;-0.128883
0.380;2.027744;-0.103873
0.390;1.913638;-0.068394
0.400;1.784345;-0.020146
0.410;1.638144;0.041357
0.420;1.473287;0.114245
0.430;1.289123;0.194263
0.440;1.087177;0.275335
0.450;0.871746;0.350695
0.460;0.649630;0.414330
0.470;0.428960;0.462339
0.480;0.217452;0.493757
0.490;0.020829;0.510509
0.500;-0.157880;0.516556
0.510;-0.317903;0.516596
0.520;-0.459495;0.514858
0.530;-0.582648;0.514328
0.540;-0.686399;0.516499
0.550;-0.768997;0.521538
0.560;-0.828717;0.528693
0.570;-0.864839;0.536830
0.580;-0.878329;0.544952
0.590;-0.871955;0.552567
0.600;-0.849895;0.559787
0.610;-0.817055;0.567138
0.620;-0.778375;0.575194
0.630;-0.738304;0.584227
0.640;-0.700535;0.594013
0.650;-0.667970;0.603873
0.660;-0.642831;0.612905
0.670;-0.626788;0.620286
0.680;-0.621014;0.625515
0.690;-0.626105;0.628492
0.700;-0.641912;0.629430
0.710;-0.667395;0.628638
0.720;-0.700650;0.626264
0.730;-0.739216;0.622107
0.740;-0.780606;0.615572
0.750;-0.822930;0.605843
0.760;-0.865340;0.592229
0.770;-0.908124;0.574572
0.780;-0.952366;0.553543
0.790;-0.999255;0.530697
0.800;-1.049271;0.508285
0.810;-1.101555;0.488866
0.820;-1.153746;0.474827
0.830;-1.202425;0.467892
0.840;-1.244016;0.468769
0.850;-1.275774;0.477048
0.860;-1.296401;0.491442
0.870;-1.305990;0.510302
0.880;-1.305348;0.532200
0.890;-1.295075;0.556317
0.900;-1.274936;0.582513
0.910;-1.243871;0.611088
0.920;-1.200689;0.642450
0.930;-1.145097;0.676846
0.940;-1.078511;0.714287
0.950;-1.004183;0.754586
0.960;-0.926536;0.797459
0.970;-0.849966;0.842616
0.980;-0.777647;0.889839
0.990;-0.710788;0.939039
1.000;-0.648592;0.990229
1.010;-0.588880;1.043376
1.020;-0.529098;1.098163
1.030;-0.467365;1.153813
1.040;-0.403205;1.209086
1.050;-0.337779;1.262483
1.060;-0.273606;1.312581
1.070;-0.213915;1.358325
1.080;-0.161861;1.399141
1.090;-0.119803;1.434818
1.100;-0.088753;1.465249
1.110;-0.068096;1.490181
1.120;-0.055601;1.509125
1.130;-0.047774;1.521488
1.140;-0.040508;1.526905
1.150;-0.029936;1.525604
1.160;-0.013273;1.518607
1.170;0.010627;1.507651
1.180;0.041165;1.494864
1.190;0.076378;1.482338
1.200;0.113649;1.471768
1.210;0.150507;1.464240
1.220;0.185282;1.460219
1.230;0.217469;1.459683
1.240;0.247764;1.462311
1.250;0.277765;1.467671
1.260;0.309409;1.475345
1.270;0.344286;1.484986
1.280;0.383023;1.496318
