f_time;copX;copY
0.010;-3.952327;0.426094
0.020;-3.959698;0.425691
0.030;-3.966684;0.424861
0.040;-3.973118;0.423254
0.050;-3.979251;0.420652
0.060;-3.985708;0.417007
0.070;-3.993274;0.412461
0.080;-4.002597;0.407339
0.090;-4.013965;0.402111
0.100;-4.027261;0.397320
0.110;-4.042108;0.393479
0.120;-4.058100;0.390943
0.130;-4.074985;0.389789
0.140;-4.092737;0.389745
0.150;-4.111488;0.390222
0.160;-4.131354;0.390424
0.170;-4.152241;0.389557
0.180;-4.173741;0.387070
0.190;-4.195157;0.382907
0.200;-4.215664;0.377659
0.210;-4.234533;0.372498
0.220;-4.251335;0.368828
0.230;-4.266029;0.367773
0.240;-4.278892;0.369745
0.250;-4.290331;0.374314
0.260;-4.300681;0.380439
0.270;-4.310064;0.386925
0.280;-4.318327;0.392860
0.290;-4.325056;0.397848
0.300;-4.329664;0.401989
0.310;-4.331534;0.405685
0.320;-4.330180;0.409410
0.330;-4.325385;0.413515
0.340;-4.317279;0.418136
0.350;-4.306362;0.423181
0.360;-4.293439;0.428407
0.370;-4.279501;0.433508
0.380;-4.265579;0.438197
0.390;-4.252585;0.442240
0.400;-4.241188;0.445474
0.410;-4.231705;0.447808
0.420;-4.224078;0.449201
0.430;-4.217975;0.449639
0.440;-4.212987;0.449144
0.450;-4.208847;0.447830
0.460;-4.205534;0.445979
0.470;-4.203210;0.444049
0.480;-4.202042;0.442599
0.490;-4.202007;0.442154
0.500;-4.202807;0.443065
0.510;-4.203929;0.445389
0.520;-4.204852;0.448874
0.530;-4.205289;0.453092
0.540;-4.205355;0.457675
0.550;-4.205553;0.462530
0.560;-4.206584;0.467932
0.570;-4.209045;0.474435
0.580;-4.213168;0.482648
0.590;-4.218706;0.492977
0.600;-4.225029;0.505439
0.610;-4.231361;0.519617
0.620;-4.237055;0.534736
0.630;-4.241788;0.549832
0.640;-4.245603;0.563959
0.650;-4.248814;0.576400
0.660;-4.251860;0.586836
0.670;-4.255171;0.595410
0.680;-4.259108;0.602673
0.690;-4.263953;0.609441
0.700;-4.269923;0.616566
0.710;-4.277190;0.624676
0.720;-4.285889;0.633944
0.730;-4.296090;0.643991
0.740;-4.307734;0.653995
