Time[s];COPx[cm];COPy[cm]
0.010;-1.152835;0.338862
0.020;-1.187575;0.370041
0.030;-1.224036;0.401374
0.040;-1.263100;0.432525
0.050;-1.304402;0.462373
0.060;-1.346304;0.489113
0.070;-1.386329;0.510730
0.080;-1.421848;0.525631
0.090;-1.450807;0.533184
0.100;-1.472234;0.533895
0.110;-1.486387;0.529210
0.120;-1.494498;0.521064
0.130;-1.498236;0.511419
0.140;-1.499119;0.501929
0.150;-1.498101;0.493813
0.160;-1.495460;0.487859
0.170;-1.490956;0.484475
0.180;-1.484143;0.483711
0.190;-1.474692;0.485249
0.200;-1.462631;0.488419
0.210;-1.448436;0.492284
0.220;-1.432998;0.495815
0.230;-1.417491;0.498105
0.240;-1.403213;0.498592
0.250;-1.391450;0.497209
0.260;-1.383386;0.494404
0.270;-1.380036;0.491013
0.280;-1.382172;0.488037
0.290;-1.390231;0.486409
0.300;-1.404256;0.486852
0.310;-1.423934;0.489822
0.320;-1.448772;0.495525
0.330;-1.478350;0.503933
0.340;-1.512525;0.514793
0.350;-1.551475;0.527653
0.360;-1.595560;0.541953
0.370;-1.645046;0.557180
0.380;-1.699816;0.572996
0.390;-1.759153;0.589230
0.400;-1.821682;0.605721
0.410;-1.885489;0.622077
0.420;-1.948427;0.637520
0.430;-2.008519;0.650900
0.440;-2.064362;0.660911
0.450;-2.115406;0.666397
0.460;-2.162007;0.666655
0.470;-2.205230;0.661646
0.480;-2.246407;0.652035
0.490;-2.286583;0.639084
0.500;-2.326019;0.624381
0.510;-2.363936;0.609485
0.520;-2.398616;0.595573
0.530;-2.427850;0.583203
0.540;-2.449595;0.572289
0.550;-2.462642;0.562290
0.560;-2.467053;0.552502
0.570;-2.464189;0.542279
0.580;-2.456292;0.531091
0.590;-2.445755;0.518450
0.600;-2.434322;0.503807
0.610;-2.422557;0.486578
0.620;-2.409761;0.466332
0.630;-2.394384;0.443103
0.640;-2.374740;0.417622
0.650;-2.349719;0.391298
0.660;-2.319226;0.365849
0.670;-2.284214;0.342699
0.680;-2.246376;0.322407
0.690;-2.207662;0.304381
0.700;-2.169795;0.287038
0.710;-2.133913;0.268301
0.720;-2.100410;0.246233
0.730;-2.068984;0.219525
0.740;-2.038831;0.187704
0.750;-2.008909;0.151032
0.760;-1.978155;0.110244
0.770;-1.945619;0.066277
0.780;-1.910543;0.020083
0.790;-1.872444;-0.027497
0.800;-1.831214;-0.075836
0.810;-1.787196;-0.124580
0.820;-1.741136;-0.173623
0.830;-1.693982;-0.222985
0.840;-1.646574;-0.272632
0.850;-1.599310;-0.322331
0.860;-1.551944;-0.371569
0.870;-1.503632;-0.419569
0.880;-1.453209;-0.465350
0.890;-1.399609;-0.507802
0.900;-1.342237;-0.545737
0.910;-1.281155;-0.577968
0.920;-1.217060;-0.603448
0.930;-1.151099;-0.621482
0.940;-1.084624;-0.631962
0.950;-1.018977;-0.635541
0.960;-0.955314;-0.633648
0.970;-0.894488;-0.628303
0.980;-0.836973;-0.621766
0.990;-0.782856;-0.616120
1.000;-0.731891;-0.612942
1.010;-0.683586;-0.613134
1.020;-0.637303;-0.616923
1.030;-0.592333;-0.623964
1.040;-0.547953;-0.633481
1.050;-0.503455;-0.644419
1.060;-0.458157;-0.655629
1.070;-0.411416;-0.666070
1.080;-0.362668;-0.674976
1.090;-0.311496;-0.681934
1.100;-0.257712;-0.686849
1.110;-0.201392;-0.689821
1.120;-0.142865;-0.690995
1.130;-0.082633;-0.690437
1.140;-0.021277;-0.688102
1.150;0.040627;-0.683911
1.160;0.102521;-0.677946
1.170;0.163823;-0.670682
1.180;0.223875;-0.663157
