Time[s];COPx[cm];COPy[cm]
0.010;-0.174837;0.815338
0.020;-0.136456;0.785432
0.030;-0.096549;0.756681
0.040;-0.054031;0.729858
0.050;-0.008555;0.705314
0.060;0.039457;0.683059
0.070;0.089018;0.662967
0.080;0.138882;0.644973
0.090;0.187845;0.629133
0.100;0.234957;0.615521
0.110;0.279623;0.604044
0.120;0.321601;0.594329
0.130;0.360930;0.585770
0.140;0.397795;0.577745
0.150;0.432366;0.569870
0.160;0.464661;0.562147
0.170;0.494515;0.554952
0.180;0.521688;0.548847
0.190;0.546052;0.544350
0.200;0.567725;0.541726
0.210;0.587050;0.540903
0.220;0.604431;0.541519
0.230;0.620148;0.543082
0.240;0.634262;0.545159
0.250;0.646664;0.547497
0.260;0.657205;0.550042
0.270;0.665825;0.552878
0.280;0.672613;0.556154
0.290;0.677800;0.560029
0.300;0.681714;0.564671
0.310;0.684698;0.570249
0.320;0.687058;0.576904
0.330;0.689023;0.584670
0.340;0.690743;0.593377
0.350;0.692280;0.602576
0.360;0.693608;0.611559
0.370;0.694627;0.619494
0.380;0.695229;0.625646
0.390;0.695414;0.629589
0.400;0.695382;0.631292
0.410;0.695534;0.631051
0.420;0.696338;0.629308
0.430;0.698117;0.626456
0.440;0.700843;0.622710
0.450;0.704073;0.618052
0.460;0.707039;0.612262
0.470;0.708896;0.604980
0.480;0.708989;0.595783
0.490;0.707044;0.584270
0.500;0.703229;0.570131
0.510;0.698049;0.553214
0.520;0.692159;0.533553
0.530;0.686136;0.511382
0.540;0.680292;0.487138
0.550;0.674572;0.461421
0.560;0.668561;0.434905
0.570;0.661601;0.408188
0.580;0.653004;0.381652
0.590;0.642282;0.355386
0.600;0.629303;0.329237
0.610;0.614334;0.302957
0.620;0.597975;0.276422
0.630;0.581037;0.249802
0.640;0.564389;0.223578
0.650;0.548829;0.198374
0.660;0.534985;0.174675
0.670;0.523290;0.152613
0.680;0.513997;0.131930
0.690;0.507231;0.112125
0.700;0.503053;0.092675
0.710;0.501527;0.073167
0.720;0.502787;0.053304
0.730;0.507065;0.032815
0.740;0.514653;0.011415
0.750;0.525816;-0.011136
0.760;0.540696;-0.034890
0.770;0.559236;-0.059604
0.780;0.581160;-0.084752
0.790;0.605990;-0.109663
0.800;0.633111;-0.133745
0.810;0.661879;-0.156683
0.820;0.691755;-0.178534
0.830;0.722393;-0.199648
0.840;0.753648;-0.220469
0.850;0.785474;-0.241292
0.860;0.817757;-0.262091
0.870;0.850164;-0.282482
0.880;0.882080;-0.301819
0.890;0.912679;-0.319390
0.900;0.941105;-0.334599
0.910;0.966717;-0.347077
0.920;0.989302;-0.356713
0.930;1.009148;-0.363625
0.940;1.026935;-0.368111
0.950;1.043479;-0.370572
0.960;1.059424;-0.371399
0.970;1.075040;-0.370876
0.980;1.090189;-0.369110
0.990;1.104460;-0.366017
1.000;1.117384;-0.361349
1.010;1.128620;-0.354753
1.020;1.138047;-0.345868
1.030;1.145753;-0.334434
1.040;1.151988;-0.320384
1.050;1.157133;-0.303883
1.060;1.161667;-0.285287
1.070;1.166109;-0.265069
1.080;1.170915;-0.243749
1.090;1.176347;-0.221869
1.100;1.182366;-0.199996
1.110;1.188607;-0.178713
1.120;1.194451;-0.158578
1.130;1.199148;-0.140025
1.140;1.201978;-0.123281
1.150;1.202387;-0.108333
1.160;1.200109;-0.094998
1.170;1.195242;-0.083038
1.180;1.188248;-0.072261
1.190;1.179850;-0.062583
1.200;1.170809;-0.054028
1.210;1.161673;-0.046689
1.220;1.152602;-0.040662
1.230;1.143364;-0.035949
1.240;1.133484;-0.032391
1.250;1.122469;-0.029669
1.260;1.110010;-0.027383
1.270;1.096084;-0.025150
1.280;1.080935;-0.022687
1.290;1.064973;-0.019828
1.300;1.048651;-0.016516
1.310;1.032372;-0.012753
1.320;1.016462;-0.008558
1.330;1.001188;-0.003935
1.340;0.986788;0.001159
1.350;0.973463;0.006816
1.360;0.961323;0.013182
1.370;0.950317;0.020432
1.380;0.940217;0.028736
1.390;0.930669;0.038218
1.400;0.921306;0.048921
1.410;0.911832;0.060813
1.420;0.902047;0.073825
1.430;0.891768;0.087927
1.440;0.880710;0.103159
1.450;0.868379;0.119601
1.460;0.854073;0.137301
1.470;0.837016;0.156190
1.480;0.816598;0.176047
1.490;0.792589;0.196521
1.500;0.765231;0.217216
1.510;0.735160;0.237808
1.520;0.703218;0.258142
1.530;0.670254;0.278236
1.540;0.636978;0.298165
1.550;0.603910;0.317869
1.560;0.571391;0.337009
1.570;0.539623;0.354988
1.580;0.508716;0.371150
1.590;0.478731;0.385054
1.600;0.449731;0.396656
1.610;0.421828;0.406308
1.620;0.395220;0.414575
1.630;0.370185;0.422006
1.640;0.347049;0.428947
1.650;0.326118;0.435495
1.660;0.307634;0.441567
1.670;0.291761;0.447036
1.680;0.278601;0.451867
1.690;0.268200;0.456176
1.700;0.260539;0.460241
1.710;0.255509;0.464466
1.720;0.252883;0.469364
1.730;0.252305;0.475531
1.740;0.253278;0.483571
1.750;0.255196;0.493937
1.760;0.257388;0.506717
1.770;0.259224;0.521490
1.780;0.260260;0.537344
1.790;0.260367;0.553101
1.800;0.259782;0.567677
1.810;0.259015;0.580415
1.820;0.258650;0.591232
1.830;0.259161;0.600549
1.840;0.260851;0.609054
1.850;0.263900;0.617431
1.860;0.268476;0.626176
