f_time;copX;copY
0.010;2.618705;-5.177820
0.020;2.609099;-5.171990
0.030;2.596383;-5.164311
0.040;2.578265;-5.153331
0.050;2.553883;-5.138255
0.060;2.523941;-5.119045
0.070;2.490426;-5.096316
0.080;2.456048;-5.071070
0.090;2.423595;-5.044364
0.100;2.395381;-5.017023
0.110;2.372895;-4.989493
0.120;2.356692;-4.961868
0.130;2.346488;-4.934054
0.140;2.341397;-4.905983
0.150;2.340221;-4.877784
0.160;2.341688;-4.849806
0.170;2.344604;-4.822516
0.180;2.347924;-4.796320
0.190;2.350776;-4.771450
0.200;2.352482;-4.747947
0.210;2.352590;-4.725706
0.220;2.350917;-4.704499
0.230;2.347529;-4.683952
0.240;2.342643;-4.663529
0.250;2.336466;-4.642557
0.260;2.329030;-4.620311
0.270;2.320079;-4.596085
0.280;2.309037;-4.569236
0.290;2.295075;-4.539194
0.300;2.277266;-4.505468
0.310;2.254757;-4.467673
0.320;2.226906;-4.425556
0.330;2.193332;-4.379033
0.340;2.153927;-4.328255
0.350;2.108868;-4.273711
0.360;2.058670;-4.216288
0.370;2.004254;-4.157228
0.380;1.946966;-4.097938
0.390;1.888442;-4.039727
0.400;1.830325;-3.983542
0.410;1.773905;-3.929815
0.420;1.719815;-3.878442
0.430;1.667903;-3.828873
0.440;1.617311;-3.780294
0.450;1.566750;-3.731826
0.460;1.514905;-3.682712
0.470;1.460841;-3.632440
0.480;1.404300;-3.580803
0.490;1.345784;-3.527961
0.500;1.286397;-3.474512
0.510;1.227515;-3.421546
0.520;1.170434;-3.370630
0.530;1.116152;-3.323671
0.540;1.065348;-3.282676
0.550;1.018492;-3.249446
0.560;0.975949;-3.225275
0.570;0.937945;-3.210699
0.580;0.904393;-3.205371
0.590;0.874664;-3.208091
0.600;0.847497;-3.217022
0.610;0.821143;-3.230016
0.620;0.793793;-3.244980
0.630;0.764152;-3.260202
0.640;0.731976;-3.274613
0.650;0.698341;-3.287989
0.660;0.665522;-3.301042
0.670;0.636512;-3.315296
0.680;0.614291;-3.332675
0.690;0.601080;-3.354887
