Time[s];COPx[cm];COPy[cm]
0.010;1.868288;0.119175
0.020;1.877727;0.117940
0.030;1.887053;0.116527
0.040;1.896124;0.114815
0.050;1.904796;0.112763
0.060;1.912926;0.110431
0.070;1.920365;0.107998
0.080;1.926968;0.105736
0.090;1.932612;0.103976
0.100;1.937227;0.103039
0.110;1.940832;0.103168
0.120;1.943534;0.104487
0.130;1.945499;0.107010
0.140;1.946882;0.110698
0.150;1.947754;0.115544
0.160;1.948039;0.121629
0.170;1.947482;0.129109
0.180;1.945649;0.138126
0.190;1.941996;0.148699
0.200;1.935985;0.160650
0.210;1.927235;0.173644
0.220;1.915619;0.187269
0.230;1.901308;0.201142
0.240;1.884722;0.214962
0.250;1.866443;0.228563
0.260;1.847090;0.241961
0.270;1.827215;0.255382
0.280;1.807199;0.269196
0.290;1.787213;0.283756
0.300;1.767214;0.299188
0.310;1.747047;0.315261
0.320;1.726579;0.331399
0.330;1.705833;0.346862
0.340;1.685017;0.361006
0.350;1.664441;0.373482
0.360;1.644390;0.384300
0.370;1.625024;0.393710
0.380;1.606365;0.402031
0.390;1.588355;0.409520
0.400;1.570904;0.416368
0.410;1.553904;0.422748
0.420;1.537220;0.428837
0.430;1.520703;0.434755
0.440;1.504257;0.440472
0.450;1.487921;0.445748
0.460;1.471886;0.450178
0.470;1.456429;0.453335
0.480;1.441781;0.454933
0.490;1.428057;0.454942
0.500;1.415280;0.453604
0.510;1.403500;0.451349
0.520;1.392900;0.448689
0.530;1.383813;0.446106
0.540;1.376654;0.443972
0.550;1.371784;0.442496
0.560;1.369409;0.441699
0.570;1.369518;0.441416
0.580;1.371897;0.441343
0.590;1.376164;0.441133
0.600;1.381796;0.440509
0.610;1.388165;0.439368
0.620;1.394584;0.437828
0.630;1.400428;0.436176
0.640;1.405277;0.434712
0.650;1.409044;0.433563
0.660;1.411996;0.432592
0.670;1.414665;0.431459
0.680;1.417688;0.429832
0.690;1.421610;0.427606
0.700;1.426733;0.425025
0.710;1.433055;0.422640
0.720;1.440337;0.421118
0.730;1.448261;0.420997
0.740;1.456591;0.422478
0.750;1.465240;0.425333
0.760;1.474225;0.428974
0.770;1.483573;0.432650
0.780;1.493254;0.435675
0.790;1.503189;0.437628
0.800;1.513291;0.438434
0.810;1.523480;0.438364
0.820;1.533664;0.437941
0.830;1.543698;0.437813
0.840;1.553382;0.438593
0.850;1.562510;0.440717
0.860;1.570949;0.444342
0.870;1.578737;0.449334
0.880;1.586125;0.455355
0.890;1.593564;0.461995
