Time[s];COPx[cm];COPy[cm]
0.010;3.061412;-0.229937
0.020;3.056585;-0.244025
0.030;3.052118;-0.259062
0.040;3.048389;-0.275749
0.050;3.045702;-0.294369
0.060;3.044245;-0.314788
0.070;3.043982;-0.336532
0.080;3.044502;-0.358903
0.090;3.044883;-0.381137
0.100;3.043711;-0.402559
0.110;3.039306;-0.422682
0.120;3.030162;-0.441160
0.130;3.015463;-0.457624
0.140;2.995510;-0.471539
0.150;2.971842;-0.482222
0.160;2.946981;-0.489067
0.170;2.923853;-0.491911
0.180;2.905051;-0.491328
0.190;2.892174;-0.488685
0.200;2.885423;-0.485897
0.210;2.883581;-0.484959
0.220;2.884370;-0.487451
0.230;2.885063;-0.494182
0.240;2.883138;-0.505092
0.250;2.876770;-0.519418
0.260;2.865054;-0.536003
0.270;2.847982;-0.553621
0.280;2.826239;-0.571227
0.290;2.800923;-0.588108
0.300;2.773269;-0.603934
0.310;2.744403;-0.618734
0.320;2.715153;-0.632806
0.330;2.685916;-0.646594
0.340;2.656618;-0.660561
0.350;2.626801;-0.675078
0.360;2.595818;-0.690340
0.370;2.563082;-0.706297
0.380;2.528285;-0.722609
0.390;2.491547;-0.738664
0.400;2.453465;-0.753681
0.410;2.415078;-0.766871
0.420;2.377734;-0.777578
0.430;2.342893;-0.785327
0.440;2.311878;-0.789829
0.450;2.285601;-0.790989
0.460;2.264343;-0.788956
0.470;2.247622;-0.784161
0.480;2.234251;-0.777303
0.490;2.222568;-0.769258
0.500;2.210833;-0.760967
0.510;2.197684;-0.753321
0.520;2.182496;-0.747061
0.530;2.165497;-0.742675
0.540;2.147614;-0.740320
0.550;2.130118;-0.739824
0.560;2.114232;-0.740764
0.570;2.100811;-0.742610
0.580;2.090178;-0.744813
0.590;2.082090;-0.746822
0.600;2.075838;-0.748039
0.610;2.070443;-0.747827
0.620;2.064902;-0.745615
0.630;2.058446;-0.741110
0.640;2.050746;-0.734466
0.650;2.042056;-0.726323
0.660;2.033247;-0.717646
0.670;2.025688;-0.709457
0.680;2.020964;-0.702562
0.690;2.020478;-0.697399
0.700;2.025089;-0.694050
0.710;2.034896;-0.692384
0.720;2.049239;-0.692227
0.730;2.066868;-0.693469
0.740;2.086183;-0.696052
0.750;2.105465;-0.699908
0.760;2.123062;-0.704896
0.770;2.137509;-0.710771
0.780;2.147619;-0.717195
0.790;2.152573;-0.723768
0.800;2.152065;-0.730076
0.810;2.146436;-0.735759
0.820;2.136759;-0.740587
0.830;2.124784;-0.744534
0.840;2.112721;-0.747809
0.850;2.102866;-0.750829
0.860;2.097139;-0.754119
0.870;2.096629;-0.758167
0.880;2.101328;-0.763254
0.890;2.110153;-0.769312
0.900;2.121301;-0.775889
0.910;2.132815;-0.782293
0.920;2.143171;-0.787884
0.930;2.151683;-0.792351
0.940;2.158612;-0.795846
0.950;2.164916;-0.798891
0.960;2.171763;-0.802146
0.970;2.179994;-0.806172
0.980;2.189801;-0.811274
0.990;2.200739;-0.817427
1.000;2.212041;-0.824303
1.010;2.223025;-0.831369
1.020;2.233367;-0.838040
1.030;2.243116;-0.843805
1.040;2.252471;-0.848268
1.050;2.261473;-0.851095
1.060;2.269766;-0.851932
1.070;2.276551;-0.850348
1.080;2.280790;-0.845840
