f_time;copX;copY
0.010;0.147648;1.221178
0.020;0.171059;1.219901
0.030;0.195792;1.218973
0.040;0.222802;1.218562
0.050;0.252409;1.218552
0.060;0.284235;1.218592
0.070;0.317313;1.218271
0.080;0.350312;1.217321
0.090;0.381796;1.215763
0.100;0.410451;1.213923
0.110;0.435238;1.212293
0.120;0.455481;1.211306
0.130;0.470879;1.211131
0.140;0.481478;1.211582
0.150;0.487592;1.212193
0.160;0.489701;1.212400
0.170;0.488327;1.211756
0.180;0.483935;1.210097
0.190;0.476842;1.207610
0.200;0.467190;1.204811
0.210;0.454948;1.202418
0.220;0.439990;1.201128
0.230;0.422202;1.201371
0.240;0.401603;1.203124
0.250;0.378423;1.205892
0.260;0.353096;1.208895
0.270;0.326153;1.211367
0.280;0.298059;1.212832
0.290;0.269035;1.213239
0.300;0.238967;1.212916
0.310;0.207438;1.212389
0.320;0.173885;1.212165
0.330;0.137827;1.212563
0.340;0.099085;1.213650
0.350;0.057883;1.215254
0.360;0.014790;1.217013
0.370;-0.029464;1.218431
0.380;-0.074240;1.218967
0.390;-0.119167;1.218173
0.400;-0.164191;1.215850
0.410;-0.209491;1.212160
0.420;-0.255313;1.207621
0.430;-0.301803;1.202970
0.440;-0.348866;1.198952
0.450;-0.396096;1.196097
0.460;-0.442791;1.194568
0.470;-0.488047;1.194147
0.480;-0.530901;1.194321
0.490;-0.570461;1.194449
0.500;-0.605956;1.193923
0.510;-0.636737;1.192267
0.520;-0.662259;1.189166
0.530;-0.682101;1.184465
0.540;-0.695998;1.178189
0.550;-0.703875;1.170581
0.560;-0.705836;1.162130
0.570;-0.702113;1.153524
0.580;-0.693005;1.145514
0.590;-0.678821;1.138697
0.600;-0.659862;1.133324
0.610;-0.636447;1.129187
0.620;-0.608964;1.125679
0.630;-0.577916;1.122009
0.640;-0.543933;1.117502
0.650;-0.507747;1.111858
0.660;-0.470158;1.105250
0.670;-0.432000;1.098236
0.680;-0.394133;1.091523
0.690;-0.357418;1.085677
0.700;-0.322686;1.080929
0.710;-0.290701;1.077141
