Time[s];COPx[cm];COPy[cm]
0.010;2.667333;1.605253
0.020;2.695871;1.622471
0.030;2.722027;1.641704
0.040;2.744021;1.664321
0.050;2.761169;1.690746
0.060;2.773927;1.720532
0.070;2.783636;1.752701
0.080;2.792208;1.786117
0.090;2.801946;1.819686
0.100;2.815517;1.852366
0.110;2.835968;1.883051
0.120;2.866597;1.910445
0.130;2.910582;1.933021
0.140;2.970412;1.949121
0.150;3.047289;1.957187
0.160;3.140751;1.956103
0.170;3.248686;1.945542
0.180;3.367748;1.926199
0.190;3.493979;1.899805
0.200;3.623419;1.868852
0.210;3.752503;1.836060
0.220;3.878229;1.803758
0.230;3.998163;1.773422
0.240;4.110387;1.745577
0.250;4.213454;1.720126
0.260;4.306339;1.696889
0.270;4.388344;1.676060
0.280;4.458931;1.658310
0.290;4.517553;1.644478
0.300;4.563560;1.635057
0.310;4.596289;1.629793
0.320;4.615298;1.627656
0.330;4.620645;1.627196
0.340;4.613099;1.627105
0.350;4.594212;1.626685
0.360;4.566256;1.625987
0.370;4.532074;1.625540
0.380;4.494888;1.625808
0.390;4.458045;1.626640
0.400;4.424722;1.626994
0.410;4.397626;1.625045
0.420;4.378759;1.618630
0.430;4.369314;1.605806
0.440;4.369689;1.585318
0.450;4.379623;1.556793
0.460;4.398386;1.520649
0.470;4.424982;1.477807
0.480;4.458289;1.429368
0.490;4.497142;1.376390
0.500;4.540336;1.319817
0.510;4.586606;1.260512
0.520;4.634608;1.199336
0.530;4.682922;1.137243
0.540;4.730082;1.075345
0.550;4.774641;1.014890
0.560;4.815265;0.957107
0.570;4.850840;0.902899
0.580;4.880573;0.852481
0.590;4.904063;0.805185
0.600;4.921327;0.759598
0.610;4.932808;0.714048
0.620;4.939423;0.667253
0.630;4.942622;0.618829
0.640;4.944373;0.569432
0.650;4.946972;0.520507
0.660;4.952668;0.473764
0.670;4.963248;0.430617
0.680;4.979729;0.391758
0.690;5.002292;0.356985
0.700;5.030483;0.325295
0.710;5.063548;0.295182
0.720;5.100780;0.265050
0.730;5.141692;0.233616
0.740;5.186009;0.200227
0.750;5.233503;0.165017
0.760;5.283792;0.128870
0.770;5.336199;0.093206
0.780;5.389673;0.059639
0.790;5.442809;0.029604
0.800;5.493930;0.004061
0.810;5.541270;-0.016664
0.820;5.583230;-0.032824
0.830;5.618671;-0.045009
0.840;5.647158;-0.053773
0.850;5.669040;-0.059314
0.860;5.685329;-0.061331
0.870;5.697392;-0.059160
0.880;5.706583;-0.052126
0.890;5.713937;-0.039956
0.900;5.720060;-0.023022
0.910;5.725248;-0.002261
0.920;5.729761;0.021198
0.930;5.734108;0.046484
0.940;5.739162;0.073249
0.950;5.746026;0.101625
0.960;5.755706;0.131906
0.970;5.768742;0.164141
0.980;5.785005;0.197866
0.990;5.803734;0.232104
1.000;5.823774;0.265643
1.010;5.843915;0.297479
1.020;5.863165;0.327221
1.030;5.880882;0.355296
1.040;5.896726;0.382876
1.050;5.910478;0.411490
1.060;5.921829;0.442470
1.070;5.930232;0.476437
1.080;5.934867;0.513060
1.090;5.934708;0.551246
1.100;5.928681;0.589697
1.110;5.915838;0.627584
1.120;5.895534;0.665021
1.130;5.867571;0.703091
1.140;5.832281;0.743403
1.150;5.790522;0.787373
1.160;5.743561;0.835559
1.170;5.692884;0.887342
1.180;5.639980;0.941079
1.190;5.586168;0.994618
1.200;5.532492;1.045900
1.210;5.479709;1.093432
1.220;5.428371;1.136494
1.230;5.378986;1.175085
1.240;5.332154;1.209708
1.250;5.288606;1.241098
1.260;5.249110;1.269995
1.270;5.214323;1.297006
1.280;5.184691;1.322552
1.290;5.160455;1.346897
1.300;5.141755;1.370201
1.310;5.128759;1.392553
1.320;5.121703;1.413974
1.330;5.120760;1.434395
1.340;5.125788;1.453672
1.350;5.136091;1.471665
1.360;5.150349;1.488365
1.370;5.166798;1.504002
1.380;5.183609;1.519085
1.390;5.199291;1.534322
1.400;5.212935;1.550439
1.410;5.224190;1.567946
1.420;5.233029;1.586964
1.430;5.239456;1.607187
1.440;5.243303;1.628022
1.450;5.244190;1.648872
1.460;5.241618;1.669407
1.470;5.235104;1.689712
1.480;5.224298;1.710220
1.490;5.209019;1.731480
1.500;5.189233;1.753834
1.510;5.165020;1.777158
1.520;5.136608;1.800754
1.530;5.104503;1.823465
1.540;5.069629;1.843979
1.550;5.033347;1.861232
1.560;4.997251;1.874755
1.570;4.962752;1.884838
1.580;4.930636;1.892425
1.590;4.900811;1.898800
1.600;4.872405;1.905188
1.610;4.844191;1.912419
1.620;4.815141;1.920775
1.630;4.784856;1.929995
1.640;4.753698;1.939409
1.650;4.722568;1.948111
1.660;4.692426;1.955166
1.670;4.663741;1.959783
1.680;4.636129;1.961458
1.690;4.608355;1.960046
1.700;4.578731;1.955786
1.710;4.545770;1.949303
1.720;4.508816;1.941608
1.730;4.468400;1.934059
1.740;4.426159;1.928207
1.750;4.384324;1.925511
1.760;4.344973;1.926991
1.770;4.309379;1.932991
1.780;4.277713;1.943163
1.790;4.249238;1.956669
1.800;4.222829;1.972471
1.810;4.197560;1.989557
1.820;4.173074;2.007042
1.830;4.149648;2.024141
1.840;4.128007;2.040084
1.850;4.109049;2.054029
1.860;4.093611;2.065043
1.870;4.082306;2.072149
1.880;4.075461;2.074417
1.890;4.073101;2.071045
1.900;4.074948;2.061403
1.910;4.080422;2.045031
1.920;4.088662;2.021648
1.930;4.098586;1.991190
1.940;4.108989;1.953895
1.950;4.118640;1.910376
1.960;4.126367;1.861625
1.970;4.131132;1.808949
1.980;4.132116;1.753857
1.990;4.128798;1.697930
2.000;4.120969;1.642690
2.010;4.108671;1.589473
2.020;4.092059;1.539360
2.030;4.071275;1.493191
2.040;4.046372;1.451667
2.050;4.017327;1.415491
2.060;3.984117;1.385478
2.070;3.946812;1.362546
2.080;3.905645;1.347598
2.090;3.861032;1.341270
2.100;3.813559;1.343642
2.110;3.763975;1.354008
2.120;3.713183;1.370838
2.130;3.662254;1.391979
2.140;3.612432;1.415071
2.150;3.565101;1.438014
2.160;3.521665;1.459309
2.170;3.483384;1.478150
2.180;3.451206;1.494253
2.190;3.425690;1.507587
2.200;3.407003;1.518155
2.210;3.394936;1.525968
2.220;3.388908;1.531137
2.230;3.387968;1.533955
2.240;3.390894;1.534821
2.250;3.396410;1.534022
2.260;3.403460;1.531507
2.270;3.411388;1.526828
2.280;3.419910;1.519331
2.290;3.428891;1.508522
2.300;3.438028;1.494429
2.310;3.446615;1.477789
2.320;3.453518;1.459938
2.330;3.457357;1.442419
2.340;3.456837;1.426473
2.350;3.451068;1.412631
2.360;3.439736;1.400636
2.370;3.423057;1.389740
2.380;3.401573;1.379234
2.390;3.375927;1.368977
2.400;3.346774;1.359692
2.410;3.314867;1.352884
2.420;3.281231;1.350383
2.430;3.247281;1.353666
2.440;3.214777;1.363214
2.450;3.185593;1.378168
2.460;3.161387;1.396428
2.470;3.143292;1.415143
2.480;3.131733;1.431393
2.490;3.126419;1.442777
2.500;3.126522;1.447757
2.510;3.130960;1.445693
2.520;3.138683;1.436660
2.530;3.148856;1.421196
2.540;3.160902;1.400109
2.550;3.174467;1.374389
2.560;3.189381;1.345191
2.570;3.205674;1.313791
2.580;3.223629;1.281482
2.590;3.243807;1.249420
2.600;3.266972;1.218496
2.610;3.293879;1.189282
2.620;3.324996;1.162047
2.630;3.360288;1.136812
2.640;3.399164;1.113415
