Time[s];COPx[cm];COPy[cm]
0.010;0.216018;0.866228
0.020;0.199562;0.851518
0.030;0.182566;0.836542
0.040;0.164242;0.821192
0.050;0.143549;0.805632
0.060;0.119470;0.790461
0.070;0.091402;0.776768
0.080;0.059475;0.765973
0.090;0.024594;0.759431
0.100;-0.011822;0.757953
0.110;-0.048304;0.761456
0.120;-0.083804;0.768943
0.130;-0.117978;0.778800
0.140;-0.151240;0.789279
0.150;-0.184592;0.798972
0.160;-0.219287;0.807096
0.170;-0.256443;0.813527
0.180;-0.296672;0.818614
0.190;-0.339874;0.822875
0.200;-0.385276;0.826718
0.210;-0.431752;0.830255
0.220;-0.478312;0.833235
0.230;-0.524573;0.835099
0.240;-0.571019;0.835112
0.250;-0.618955;0.832570
0.260;-0.670218;0.826983
0.270;-0.726784;0.818199
0.280;-0.790422;0.806417
0.290;-0.862478;0.792125
0.300;-0.943768;0.775963
0.310;-1.034548;0.758555
0.320;-1.134471;0.740362
0.330;-1.242490;0.721615
0.340;-1.356750;0.702381
0.350;-1.474584;0.682728
0.360;-1.592710;0.662922
0.370;-1.707611;0.643534
0.380;-1.815998;0.625370
0.390;-1.915236;0.609249
0.400;-2.003630;0.595726
0.410;-2.080557;0.584884
0.420;-2.146438;0.576313
0.430;-2.202595;0.569261
0.440;-2.251026;0.562896
0.450;-2.294139;0.556544
0.460;-2.334428;0.549831
0.470;-2.374102;0.542710
0.480;-2.414665;0.535425
0.490;-2.456544;0.528447
0.500;-2.498849;0.522423
0.510;-2.539389;0.518138
0.520;-2.575040;0.516460
0.530;-2.602444;0.518253
0.540;-2.618858;0.524246
0.550;-2.622869;0.534859
0.560;-2.614658;0.550056
0.570;-2.595733;0.569244
0.580;-2.568212;0.591292
0.590;-2.533985;0.614702
0.600;-2.494068;0.637943
0.610;-2.448359;0.659890
0.620;-2.395799;0.680182
0.630;-2.334788;0.699313
0.640;-2.263681;0.718380
0.650;-2.181248;0.738594
0.660;-2.087000;0.760778
0.670;-1.981314;0.785059
0.680;-1.865347;0.810840
0.690;-1.740840;0.837020
0.700;-1.609893;0.862327
0.710;-1.474832;0.885641
0.720;-1.338186;0.906197
0.730;-1.202706;0.923640
0.740;-1.071319;0.937980
0.750;-0.946905;0.949514
0.760;-0.831857;0.958726
0.770;-0.727548;0.966165
0.780;-0.633919;0.972269
0.790;-0.549437;0.977206
0.800;-0.471534;0.980825
0.810;-0.397440;0.982766
0.820;-0.325118;0.982695
0.830;-0.253962;0.980526
0.840;-0.185003;0.976522
0.850;-0.120623;0.971241
0.860;-0.063915;0.965360
0.870;-0.017924;0.959452
0.880;0.015035;0.953813
