Time[s];COPx[cm];COPy[cm]
0.010;1.417453;0.274512
0.020;1.419502;0.270539
0.030;1.422612;0.266769
0.040;1.427388;0.263333
0.050;1.433821;0.260258
0.060;1.441404;0.257482
0.070;1.449475;0.254906
0.080;1.457565;0.252450
0.090;1.465579;0.250076
0.100;1.473767;0.247760
0.110;1.482542;0.245436
0.120;1.492287;0.242958
0.130;1.503217;0.240136
0.140;1.515349;0.236801
0.150;1.528537;0.232892
0.160;1.542522;0.228510
0.170;1.556968;0.223930
0.180;1.571494;0.219586
0.190;1.585713;0.216014
0.200;1.599298;0.213754
0.210;1.612030;0.213197
0.220;1.623819;0.214426
0.230;1.634655;0.217129
0.240;1.644524;0.220667
0.250;1.653324;0.224273
0.260;1.660879;0.227282
0.270;1.667032;0.229289
0.280;1.671780;0.230200
0.290;1.675350;0.230176
0.300;1.678171;0.229520
0.310;1.680737;0.228546
0.320;1.683420;0.227486
0.330;1.686340;0.226454
0.340;1.689339;0.225484
0.350;1.692075;0.224613
0.360;1.694162;0.223975
0.370;1.695318;0.223854
0.380;1.695466;0.224639
0.390;1.694773;0.226694
0.400;1.693603;0.230189
0.410;1.692374;0.234981
0.420;1.691337;0.240603
0.430;1.690381;0.246384
0.440;1.688950;0.251624
0.450;1.686181;0.255769
0.460;1.681208;0.258530
0.470;1.673512;0.259920
0.480;1.663155;0.260227
0.490;1.650823;0.259923
0.500;1.637654;0.259550
0.510;1.624935;0.259593
0.520;1.613757;0.260376
0.530;1.604727;0.261977
0.540;1.597839;0.264172
0.550;1.592523;0.266445
0.560;1.587846;0.268100
0.570;1.582778;0.268459
0.580;1.576411;0.267079
0.590;1.568105;0.263878
0.600;1.557519;0.259131
0.610;1.544584;0.253359
0.620;1.529426;0.247192
0.630;1.512288;0.241241
0.640;1.493490;0.236022
0.650;1.473396;0.231891
0.660;1.452376;0.228995
0.670;1.430754;0.227234
0.680;1.408734;0.226267
0.690;1.386343;0.225588
0.700;1.363406;0.224663
0.710;1.339586;0.223085
0.720;1.314471;0.220698
0.730;1.287692;0.217651
0.740;1.259050;0.214345
0.750;1.228631;0.211298
0.760;1.196885;0.208954
0.770;1.164620;0.207505
0.780;1.132913;0.206796
0.790;1.102932;0.206346
0.800;1.075736;0.205524
0.810;1.052123;0.203770
0.820;1.032567;0.200787
0.830;1.017249;0.196602
0.840;1.006127;0.191476
0.850;0.999009;0.185734
0.860;0.995575;0.179626
0.870;0.995369;0.173320
0.880;0.997776;0.167010
0.890;1.002057;0.161051
0.900;1.007457;0.156007
0.910;1.013350;0.152565
0.920;1.019348;0.151336
0.930;1.025318;0.152627
0.940;1.031330;0.156278
0.950;1.037567;0.161635
0.960;1.044261;0.167693
0.970;1.051658;0.173362
0.980;1.059998;0.177749
0.990;1.069494;0.180356
1.000;1.080321;0.181143
1.010;1.092620;0.180462
1.020;1.106495;0.178916
1.030;1.121957;0.177185
1.040;1.138816;0.175896
1.050;1.156575;0.175536
1.060;1.174402;0.176427
1.070;1.191237;0.178742
1.080;1.206022;0.182536
1.090;1.217956;0.187770
1.100;1.226696;0.194335
1.110;1.232434;0.202054
1.120;1.235878;0.210685
1.130;1.238177;0.219933
1.140;1.240800;0.229478
1.150;1.245338;0.239021
1.160;1.253193;0.248306
1.170;1.265184;0.257114
1.180;1.281205;0.265229
1.190;1.300105;0.272411
1.200;1.319911;0.278404
1.210;1.338346;0.282997
1.220;1.353474;0.286112
1.230;1.364222;0.287878
1.240;1.370628;0.288652
1.250;1.373705;0.288961
1.260;1.375028;0.289364
1.270;1.376169;0.290294
1.280;1.378196;0.291959
1.290;1.381398;0.294321
1.300;1.385318;0.297152
1.310;1.389072;0.300112
1.320;1.391825;0.302838
1.330;1.393203;0.305026
1.340;1.393482;0.306503
1.350;1.393462;0.307251
1.360;1.394094;0.307387
1.370;1.396009;0.307099
1.380;1.399176;0.306575
1.390;1.402846;0.305930
1.400;1.405790;0.305169
1.410;1.406738;0.304166
1.420;1.404793;0.302695
1.430;1.399652;0.300482
1.440;1.391556;0.297295
1.450;1.381051;0.293044
1.460;1.368727;0.287829
1.470;1.355057;0.281926
1.480;1.340373;0.275695
1.490;1.324896;0.269475
1.500;1.308785;0.263499
1.510;1.292149;0.257874
1.520;1.275048;0.252608
1.530;1.257481;0.247662
1.540;1.239377;0.243003
1.550;1.220633;0.238622
1.560;1.201204;0.234513
1.570;1.181225;0.230627
1.580;1.161084;0.226823
1.590;1.141382;0.222878
1.600;1.122741;0.218553
1.610;1.105537;0.213686
1.620;1.089673;0.208255
1.630;1.074553;0.202377
1.640;1.059284;0.196273
1.650;1.043056;0.190216
1.660;1.025509;0.184495
1.670;1.006930;0.179398
1.680;0.988194;0.175205
1.690;0.970499;0.172162
1.700;0.955027;0.170417
1.710;0.942658;0.169973
1.720;0.933845;0.170674
1.730;0.928646;0.172271
1.740;0.926870;0.174524
1.750;0.928251;0.177291
1.760;0.932553;0.180565
1.770;0.939594;0.184459
1.780;0.949207;0.189160
1.790;0.961195;0.194869
1.800;0.975337;0.201755
1.810;0.991437;0.209956
1.820;1.009410;0.219603
1.830;1.029358;0.230834
1.840;1.051566;0.243755
1.850;1.076378;0.258360
1.860;1.103962;0.274433
1.870;1.134065;0.291487
1.880;1.165894;0.308762
1.890;1.198194;0.325354
1.900;1.229512;0.340431
1.910;1.258568;0.353468
1.920;1.284595;0.364383
1.930;1.307525;0.373495
1.940;1.327905;0.381340
1.950;1.346579;0.388441
1.960;1.364230;0.395112
1.970;1.380994;0.401397
1.980;1.396295;0.407102
1.990;1.409016;0.411904
2.000;1.417925;0.415460
2.010;1.422207;0.417513
2.020;1.421882;0.417954
2.030;1.417937;0.416850
2.040;1.412104;0.414417
2.050;1.406353;0.410943
2.060;1.402283;0.406685
2.070;1.400678;0.401790
2.080;1.401376;0.396293
2.090;1.403462;0.390181
2.100;1.405655;0.383487
2.110;1.406691;0.376359
2.120;1.405606;0.369080
2.130;1.401857;0.362030
2.140;1.395326;0.355610
2.150;1.386228;0.350150
2.160;1.374984;0.345819
2.170;1.362105;0.342583
2.180;1.348122;0.340208
2.190;1.333570;0.338321
2.200;1.319011;0.336516
2.210;1.305035;0.334484
2.220;1.292225;0.332098
2.230;1.281073;0.329447
2.240;1.271891;0.326783
2.250;1.264763;0.324439
2.260;1.259548;0.322747
2.270;1.255919;0.321964
2.280;1.253399;0.322213
2.290;1.251412;0.323429
2.300;1.249367;0.325357
2.310;1.246792;0.327640
2.320;1.243474;0.329961
