f_time;copX;copY
0.010;-3.060150;3.188288
0.020;-3.057329;3.139804
0.030;-3.055736;3.090649
0.040;-3.056316;3.040180
0.050;-3.059519;2.988022
0.060;-3.065158;2.934137
0.070;-3.072451;2.878934
0.080;-3.080241;2.823385
0.090;-3.087327;2.769088
0.100;-3.092767;2.718135
0.110;-3.096056;2.672764
0.120;-3.097155;2.634876
0.130;-3.096372;2.605593
0.140;-3.094156;2.585034
0.150;-3.090884;2.572383
0.160;-3.086719;2.566210
0.170;-3.081638;2.564958
0.180;-3.075603;2.567405
0.190;-3.068784;2.572912
0.200;-3.061692;2.581307
0.210;-3.055162;2.592398
0.220;-3.050175;2.605354
0.230;-3.047599;2.618245
0.240;-3.047962;2.628040
0.250;-3.051325;2.631142
0.260;-3.057302;2.624293
0.270;-3.065182;2.605519
0.280;-3.074108;2.574728
0.290;-3.083219;2.533721
0.300;-3.091762;2.485607
0.310;-3.099162;2.433816
0.320;-3.105084;2.381061
0.330;-3.109431;2.328599
0.340;-3.112252;2.275983
0.350;-3.113566;2.221347
0.360;-3.113148;2.162036
0.370;-3.110347;2.095343
0.380;-3.104029;2.019126
0.390;-3.092721;1.932240
0.400;-3.074961;1.834737
0.410;-3.049708;1.727861
0.420;-3.016643;1.613801
0.430;-2.976210;1.495229
0.440;-2.929416;1.374738
0.450;-2.877497;1.254301
0.460;-2.821589;1.134888
0.470;-2.762525;1.016329
0.480;-2.700784;0.897441
0.490;-2.636567;0.776467
0.500;-2.569950;0.651743
0.510;-2.501075;0.522424
0.520;-2.430376;0.389011
0.530;-2.358737;0.253481
0.540;-2.287539;0.118954
0.550;-2.218517;-0.010964
0.560;-2.153492;-0.132955
0.570;-2.094059;-0.244624
0.580;-2.041347;-0.344847
0.590;-1.995886;-0.433776
0.600;-1.957630;-0.512564
0.610;-1.926077;-0.582859
0.620;-1.900443;-0.646185
0.630;-1.879763;-0.703317
0.640;-1.862842;-0.753831
0.650;-1.848072;-0.795940
0.660;-1.833237;-0.826676
0.670;-1.815480;-0.842370
0.680;-1.791551;-0.839311
0.690;-1.758273;-0.814401
0.700;-1.713039;-0.765664
0.710;-1.654155;-0.692527
0.720;-1.580936;-0.595942
0.730;-1.493622;-0.478445
0.740;-1.393220;-0.344173
0.750;-1.281349;-0.198672
0.760;-1.160067;-0.048331
0.770;-1.031648;0.100623
0.780;-0.898311;0.243332
0.790;-0.761979;0.377308
0.800;-0.624163;0.502862
0.810;-0.486052;0.622821
0.820;-0.348771;0.741654
0.830;-0.213665;0.864285
0.840;-0.082423;0.994862
0.850;0.043045;1.135712
0.860;0.160906;1.286597
0.870;0.269745;1.444418
0.880;0.368788;1.603470
0.890;0.457929;1.756317
0.900;0.537494;1.895153
0.910;0.607817;2.013349
0.920;0.668777;2.106771
0.930;0.719522;2.174485
0.940;0.758508;2.218690
0.950;0.783888;2.243954
0.960;0.794115;2.256103
0.970;0.788546;2.261124
0.980;0.767790;2.264369
0.990;0.733640;2.270132
1.000;0.688595;2.281516
1.010;0.635134;2.300446
1.020;0.575017;2.327717
1.030;0.508881;2.363054
1.040;0.436311;2.405232
1.050;0.356406;2.452303
1.060;0.268670;2.501888
1.070;0.173902;2.551427
