Time[s];COPx[cm];COPy[cm]
0.010;-1.559982;0.212875
0.020;-1.563615;0.219068
0.030;-1.566916;0.225144
0.040;-1.569603;0.230890
0.050;-1.571467;0.236041
0.060;-1.572401;0.240285
0.070;-1.572404;0.243331
0.080;-1.571586;0.245004
0.090;-1.570168;0.245349
0.100;-1.568472;0.244679
0.110;-1.566887;0.243526
0.120;-1.565813;0.242520
0.130;-1.565592;0.242202
0.140;-1.566438;0.242851
0.150;-1.568387;0.244386
0.160;-1.571303;0.246390
0.170;-1.574911;0.248270
0.180;-1.578859;0.249512
0.190;-1.582789;0.249932
0.200;-1.586412;0.249790
0.210;-1.589595;0.249665
0.220;-1.592430;0.250147
0.230;-1.595224;0.251513
0.240;-1.598397;0.253591
0.250;-1.602299;0.255855
0.260;-1.607045;0.257696
0.270;-1.612465;0.258690
0.280;-1.618184;0.258744
0.290;-1.623777;0.258057
0.300;-1.628946;0.256949
0.310;-1.633611;0.255670
0.320;-1.637917;0.254281
0.330;-1.642156;0.252668
0.340;-1.646631;0.250675
0.350;-1.651530;0.248241
0.360;-1.656868;0.245494
0.370;-1.662497;0.242721
0.380;-1.668182;0.240259
0.390;-1.673707;0.238366
0.400;-1.678976;0.237127
0.410;-1.684089;0.236430
0.420;-1.689358;0.236006
0.430;-1.695211;0.235517
0.440;-1.702020;0.234640
0.450;-1.709905;0.233138
0.460;-1.718647;0.230871
0.470;-1.727739;0.227786
0.480;-1.736567;0.223924
0.490;-1.744618;0.219465
0.500;-1.751628;0.214767
0.510;-1.757626;0.210346
0.520;-1.762873;0.206749
0.530;-1.767769;0.204371
0.540;-1.772736;0.203313
0.550;-1.778133;0.203355
0.560;-1.784173;0.204077
0.570;-1.790881;0.205048
0.580;-1.798085;0.205966
0.590;-1.805443;0.206691
0.600;-1.812506;0.207183
0.610;-1.818797;0.207436
0.620;-1.823912;0.207457
0.630;-1.827626;0.207275
0.640;-1.829960;0.206937
0.650;-1.831179;0.206480
0.660;-1.831703;0.205896
0.670;-1.831959;0.205143
0.680;-1.832237;0.204192
0.690;-1.832628;0.203080
0.700;-1.833065;0.201899
0.710;-1.833436;0.200720
0.720;-1.833695;0.199507
0.730;-1.833912;0.198113
0.740;-1.834247;0.196368
0.750;-1.834857;0.194200
0.760;-1.835814;0.191715
0.770;-1.837068;0.189188
0.780;-1.838453;0.186961
0.790;-1.839752;0.185304
0.800;-1.840786;0.184313
0.810;-1.841491;0.183887
0.820;-1.841974;0.183800
0.830;-1.842489;0.183781
0.840;-1.843353;0.183580
0.850;-1.844814;0.183024
0.860;-1.846941;0.182061
0.870;-1.849601;0.180798
0.880;-1.852510;0.179488
0.890;-1.855336;0.178449
0.900;-1.857810;0.177937
0.910;-1.859803;0.178049
0.920;-1.861355;0.178680
0.930;-1.862649;0.179568
0.940;-1.863938;0.180396
0.950;-1.865449;0.180900
0.960;-1.867295;0.180931
0.970;-1.869434;0.180445
0.980;-1.871701;0.179456
0.990;-1.873889;0.177996
1.000;-1.875850;0.176125
1.010;-1.877572;0.173959
1.020;-1.879196;0.171679
1.030;-1.880968;0.169502
1.040;-1.883128;0.167603
1.050;-1.885786;0.166064
1.060;-1.888858;0.164871
1.070;-1.892085;0.163967
1.080;-1.895116;0.163330
1.090;-1.897637;0.163012
1.100;-1.899498;0.163117
1.110;-1.900793;0.163699
1.120;-1.901863;0.164638
1.130;-1.903201;0.165583
1.140;-1.905262;0.166039
1.150;-1.908289;0.165561
1.160;-1.912222;0.163953
1.170;-1.916728;0.161375
1.180;-1.921336;0.158281
1.190;-1.925596;0.155205
1.200;-1.929212;0.152522
1.210;-1.932116;0.150311
1.220;-1.934455;0.148397
1.230;-1.936531;0.146535
1.240;-1.938693;0.144600
1.250;-1.941247;0.142681
1.260;-1.944384;0.141029
1.270;-1.948146;0.139913
1.280;-1.952402;0.139454
1.290;-1.956883;0.139548
1.300;-1.961243;0.139912
1.310;-1.965183;0.140233
1.320;-1.968564;0.140322
1.330;-1.971492;0.140207
1.340;-1.974325;0.140093
1.350;-1.977580;0.140239
1.360;-1.981762;0.140816
1.370;-1.987160;0.141800
1.380;-1.993701;0.142949
1.390;-2.000914;0.143867
1.400;-2.008042;0.144124
1.410;-2.014284;0.143425
1.420;-2.019063;0.141728
1.430;-2.022238;0.139279
1.440;-2.024146;0.136552
1.450;-2.025505;0.134121
1.460;-2.027190;0.132517
1.470;-2.029988;0.132113
1.480;-2.034380;0.133020
1.490;-2.040421;0.135041
1.500;-2.047748;0.137710
1.510;-2.055701;0.140456
1.520;-2.063500;0.142855
1.530;-2.070392;0.144821
1.540;-2.075752;0.146638
1.550;-2.079129;0.148790
1.560;-2.080294;0.151698
1.570;-2.079289;0.155535
1.580;-2.076460;0.160193
1.590;-2.072437;0.165374
1.600;-2.068011;0.170712
1.610;-2.063963;0.175842
1.620;-2.060878;0.180436
1.630;-2.059030;0.184237
1.640;-2.058368;0.187125
1.650;-2.058576;0.189188
1.660;-2.059178;0.190744
1.670;-2.059649;0.192287
1.680;-2.059516;0.194365
1.690;-2.058444;0.197430
1.700;-2.056270;0.201732
1.710;-2.052990;0.207265
1.720;-2.048690;0.213795
