f_time;copX;copY
0.010;-0.731859;-3.290093
0.020;-0.716924;-3.298342
0.030;-0.700322;-3.306748
0.040;-0.680497;-3.315523
0.050;-0.656222;-3.324944
0.060;-0.626704;-3.335365
0.070;-0.591621;-3.347197
0.080;-0.551124;-3.360829
0.090;-0.505804;-3.376496
0.100;-0.456647;-3.394137
0.110;-0.404954;-3.413315
0.120;-0.352196;-3.433281
0.130;-0.299772;-3.453170
0.140;-0.248706;-3.472241
0.150;-0.199375;-3.490052
0.160;-0.151446;-3.506469
0.170;-0.104091;-3.521542
0.180;-0.056434;-3.535332
0.190;-0.008003;-3.547799
0.200;0.041011;-3.558814
0.210;0.089766;-3.568273
0.220;0.137000;-3.576238
0.230;0.181339;-3.583025
0.240;0.221554;-3.589210
0.250;0.256702;-3.595520
0.260;0.286158;-3.602604
0.270;0.309582;-3.610783
0.280;0.326857;-3.619868
0.290;0.338008;-3.629152
0.300;0.343118;-3.637588
0.310;0.342232;-3.644099
0.320;0.335300;-3.647923
0.330;0.322165;-3.648871
0.340;0.302640;-3.647420
0.350;0.276675;-3.644591
0.360;0.244606;-3.641675
0.370;0.207413;-3.639904
0.380;0.166875;-3.640170
0.390;0.125510;-3.642850
0.400;0.086228;-3.647771
0.410;0.051727;-3.654310
0.420;0.023805;-3.661611
0.430;0.002858;-3.668854
0.440;-0.012204;-3.675485
0.450;-0.023551;-3.681309
0.460;-0.033682;-3.686449
0.470;-0.044613;-3.691204
0.480;-0.057333;-3.695882
0.490;-0.071724;-3.700651
0.500;-0.086972;-3.705485
0.510;-0.102251;-3.710207
0.520;-0.117361;-3.714648
0.530;-0.133019;-3.718810
0.540;-0.150716;-3.722957
0.550;-0.172230;-3.727525
0.560;-0.199073;-3.732861
0.570;-0.232102;-3.738924
0.580;-0.271370;-3.745134
0.590;-0.316166;-3.750507
0.600;-0.365088;-3.754024
0.610;-0.416074;-3.755065
0.620;-0.466430;-3.753719
0.630;-0.513019;-3.750825
0.640;-0.552683;-3.747753
0.650;-0.582812;-3.746020
0.660;-0.601841;-3.746945
0.670;-0.609439;-3.751424
0.680;-0.606327;-3.759834
0.690;-0.593836;-3.771997
0.700;-0.573420;-3.787173
0.710;-0.546321;-3.804140
0.720;-0.513465;-3.821398
0.730;-0.475534;-3.837510
0.740;-0.433115;-3.851495
0.750;-0.386797;-3.863130
0.760;-0.337154;-3.873005
0.770;-0.284639;-3.882292
0.780;-0.229502;-3.892295
0.790;-0.171848;-3.903987
0.800;-0.111842;-3.917663
