Time[s];COPx[cm];COPy[cm]
0.010;-0.612065;-1.351695
0.020;-0.624384;-1.348279
0.030;-0.635296;-1.344768
0.040;-0.643729;-1.341300
0.050;-0.649136;-1.338300
0.060;-0.651548;-1.336359
0.070;-0.651469;-1.336003
0.080;-0.649670;-1.337518
0.090;-0.646948;-1.340891
0.100;-0.643912;-1.345867
0.110;-0.640872;-1.352066
0.120;-0.637842;-1.359109
0.130;-0.634653;-1.366724
0.140;-0.631099;-1.374827
0.150;-0.627043;-1.383555
0.160;-0.622432;-1.393215
0.170;-0.617235;-1.404152
0.180;-0.611388;-1.416551
0.190;-0.604773;-1.430291
0.200;-0.597237;-1.444929
0.210;-0.588625;-1.459827
0.220;-0.578800;-1.474358
0.230;-0.567626;-1.488078
0.240;-0.554896;-1.500794
0.250;-0.540250;-1.512529
0.260;-0.523147;-1.523437
0.270;-0.502957;-1.533740
0.280;-0.479175;-1.543712
0.290;-0.451659;-1.553673
0.300;-0.420774;-1.563965
0.310;-0.387364;-1.574892
0.320;-0.352572;-1.586637
0.330;-0.317587;-1.599196
0.340;-0.283409;-1.612372
0.350;-0.250691;-1.625837
0.360;-0.219683;-1.639234
0.370;-0.190289;-1.652275
0.380;-0.162217;-1.664808
0.390;-0.135163;-1.676817
0.400;-0.108946;-1.688363
0.410;-0.083546;-1.699495
0.420;-0.059073;-1.710161
0.430;-0.035710;-1.720190
0.440;-0.013676;-1.729334
0.450;0.006775;-1.737349
0.460;0.025364;-1.744079
0.470;0.041800;-1.749512
0.480;0.055810;-1.753766
0.490;0.067183;-1.757036
0.500;0.075828;-1.759520
0.510;0.081822;-1.761376
0.520;0.085445;-1.762737
0.530;0.087162;-1.763742
0.540;0.087568;-1.764569
0.550;0.087305;-1.765420
0.560;0.086968;-1.766457
0.570;0.087050;-1.767721
0.580;0.087907;-1.769092
0.590;0.089771;-1.770343
0.600;0.092765;-1.771279
0.610;0.096886;-1.771890
0.620;0.101968;-1.772431
0.630;0.107649;-1.773372
0.640;0.113409;-1.775218
0.650;0.118676;-1.778266
0.660;0.122945;-1.782385
0.670;0.125873;-1.786950
0.680;0.127329;-1.790961
0.690;0.127410;-1.793315
0.700;0.126426;-1.793123
0.710;0.124824;-1.789984
0.720;0.123043;-1.784104
0.730;0.121342;-1.776233
0.740;0.119704;-1.767429
0.750;0.117866;-1.758751
0.760;0.115472;-1.751032
0.770;0.112277;-1.744798
0.780;0.108277;-1.740297
0.790;0.103736;-1.737561
0.800;0.099098;-1.736445
0.810;0.094854;-1.736665
0.820;0.091420;-1.737886
0.830;0.089079;-1.739837
0.840;0.088014;-1.742381
0.850;0.088400;-1.745507
0.860;0.090482;-1.749208
0.870;0.094602;-1.753336
0.880;0.101147;-1.757508
0.890;0.110449;-1.761155
0.900;0.122716;-1.763706
0.910;0.138005;-1.764849
0.920;0.156240;-1.764725
0.930;0.177247;-1.763929
0.940;0.200778;-1.763318
0.950;0.226513;-1.763692
0.960;0.254041;-1.765541
0.970;0.282855;-1.768935
0.980;0.312379;-1.773586
0.990;0.342040;-1.778993
1.000;0.371368;-1.784573
1.010;0.400084;-1.789729
1.020;0.428133;-1.793884
1.030;0.455629;-1.796525
1.040;0.482727;-1.797272
1.050;0.509462;-1.795962
1.060;0.535615;-1.792711
1.070;0.560675;-1.787949
1.080;0.583929;-1.782412
1.090;0.604678;-1.777053
1.100;0.622501;-1.772862
1.110;0.637485;-1.770640
1.120;0.650321;-1.770795
1.130;0.662217;-1.773261
1.140;0.674635;-1.777544
1.150;0.688954;-1.782885
1.160;0.706167;-1.788471
1.170;0.726739;-1.793623
1.180;0.750632;-1.797899
1.190;0.777474;-1.801127
1.200;0.806774;-1.803400
1.210;0.838104;-1.805081
1.220;0.871193;-1.806813
1.230;0.905890;-1.809475
1.240;0.942059;-1.814052
1.250;0.979461;-1.821411
1.260;1.017690;-1.832059
1.270;1.056192;-1.845974
1.280;1.094338;-1.862595
1.290;1.131500;-1.880986
1.300;1.167111;-1.900095
1.310;1.200723;-1.918999
1.320;1.232045;-1.937023
1.330;1.260995;-1.953708
1.340;1.287705;-1.968674
1.350;1.312473;-1.981501
1.360;1.335657;-1.991700
1.370;1.357537;-1.998787
1.380;1.378225;-2.002402
1.390;1.397626;-2.002440
1.400;1.415469;-1.999146
1.410;1.431397;-1.993162
1.420;1.445086;-1.985474
1.430;1.456389;-1.977237
1.440;1.465445;-1.969514
1.450;1.472702;-1.963011
1.460;1.478843;-1.957912
1.470;1.484619;-1.953877
1.480;1.490654;-1.950211
1.490;1.497291;-1.946168
1.500;1.504543;-1.941280
1.510;1.512183;-1.935597
1.520;1.519925;-1.929683
1.530;1.527661;-1.924389
1.540;1.535619;-1.920471
1.550;1.544372;-1.918237
1.560;1.554658;-1.917344
1.570;1.567087;-1.916818
1.580;1.581880;-1.915299
1.590;1.598721;-1.911465
1.600;1.616817;-1.904492
1.610;1.635090;-1.894381
1.620;1.652447;-1.882001
1.630;1.667994;-1.868837
1.640;1.681149;-1.856548
1.650;1.691628;-1.846529
1.660;1.699335;-1.839623
1.670;1.704220;-1.836022
1.680;1.706165;-1.835336
1.690;1.704979;-1.836754
1.700;1.700492;-1.839272
1.710;1.692674;-1.841931
1.720;1.681676;-1.844033
1.730;1.667744;-1.845291
1.740;1.651077;-1.845854
1.750;1.631750;-1.846210
1.760;1.609746;-1.847002
1.770;1.585087;-1.848826
1.780;1.557972;-1.852088
1.790;1.528829;-1.856940
1.800;1.498286;-1.863291
1.810;1.467056;-1.870844
1.820;1.435811;-1.879178
1.830;1.405100;-1.887871
1.840;1.375340;-1.896621
1.850;1.346835;-1.905293
1.860;1.319792;-1.913870
1.870;1.294281;-1.922315
1.880;1.270191;-1.930446
1.890;1.247204;-1.937891
1.900;1.224849;-1.944155
1.910;1.202605;-1.948791
1.920;1.179995;-1.951561
1.930;1.156645;-1.952527
1.940;1.132277;-1.951968
1.950;1.106679;-1.950222
1.960;1.079702;-1.947546
1.970;1.051295;-1.944121
1.980;1.021570;-1.940182
1.990;0.990836;-1.936161
2.000;0.959572;-1.932697
2.010;0.928343;-1.930481
2.020;0.897698;-1.929996
2.030;0.868096;-1.931284
2.040;0.839885;-1.933848
2.050;0.813340;-1.936767
2.060;0.788709;-1.938981
2.070;0.766236;-1.939654
2.080;0.746145;-1.938470
2.090;0.728631;-1.935738
2.100;0.713861;-1.932249
2.110;0.701970;-1.928993
2.120;0.693039;-1.926836
2.130;0.687056;-1.926291
2.140;0.683875;-1.927426
2.150;0.683219;-1.929938
2.160;0.684723;-1.933344
2.170;0.688007;-1.937232
2.180;0.692752;-1.941439
2.190;0.698710;-1.946081
2.200;0.705650;-1.951437
2.210;0.713266;-1.957726
2.220;0.721126;-1.964897
2.230;0.728674;-1.972515
2.240;0.735292;-1.979809
2.250;0.740405;-1.985895
2.260;0.743586;-1.990118
2.270;0.744657;-1.992384
2.280;0.743771;-1.993287
2.290;0.741459;-1.993959
2.300;0.738620;-1.995680
2.310;0.736405;-1.999460
2.320;0.735985;-2.005797
2.330;0.738268;-2.014636
2.340;0.743659;-2.025474
2.350;0.751981;-2.037480
2.360;0.762581;-2.049587
2.370;0.774573;-2.060571
2.380;0.787105;-2.069184
2.390;0.799567;-2.074364
2.400;0.811696;-2.075498
2.410;0.823571;-2.072600
2.420;0.835524;-2.066308
2.430;0.848019;-2.057675
2.440;0.861544;-2.047829
2.450;0.876536;-2.037617
2.460;0.893333;-2.027376
2.470;0.912150;-2.016882
2.480;0.933041;-2.005481
2.490;0.955862;-1.992296
2.500;0.980236;-1.976467
2.510;1.005564;-1.957412
2.520;1.031116;-1.935103
2.530;1.056178;-1.910253
2.540;1.080202;-1.884294
2.550;1.102889;-1.859031
2.560;1.124183;-1.836088
2.570;1.144212;-1.816359
2.580;1.163221;-1.799740
2.590;1.181508;-1.785242
2.600;1.199358;-1.771431
2.610;1.216964;-1.756955
2.620;1.234358;-1.740955
2.630;1.251406;-1.723234
2.640;1.267848;-1.704191
2.650;1.283378;-1.684578
2.660;1.297670;-1.665211
2.670;1.310375;-1.646727
2.680;1.321153;-1.629493
2.690;1.329773;-1.613645
2.700;1.336272;-1.599189
2.710;1.341041;-1.586038
2.720;1.344743;-1.573985
2.730;1.348105;-1.562645
2.740;1.351698;-1.551479
2.750;1.355855;-1.539904
2.760;1.360709;-1.527481
2.770;1.366304;-1.514094
2.780;1.372684;-1.500046
2.790;1.379888;-1.486000
2.800;1.387899;-1.472770
2.810;1.396587;-1.461063
2.820;1.405691;-1.451288
2.830;1.414831;-1.443519
2.840;1.423539;-1.437617
2.850;1.431310;-1.433412
2.860;1.437670;-1.430856
2.870;1.442267;-1.430071
2.880;1.444922;-1.431256
2.890;1.445608;-1.434532
2.900;1.444354;-1.439809
2.910;1.441129;-1.446784
2.920;1.435784;-1.455053
2.930;1.428079;-1.464264
2.940;1.417801;-1.474214
2.950;1.404878;-1.484843
2.960;1.389437;-1.496158
2.970;1.371777;-1.508146
2.980;1.352281;-1.520766
2.990;1.331337;-1.533994
3.000;1.309293;-1.547869
3.010;1.286468;-1.562466
3.020;1.263210;-1.577822
3.030;1.239960;-1.593858
3.040;1.217275;-1.610379
3.050;1.195764;-1.627136
3.060;1.175948;-1.643945
3.070;1.158119;-1.660777
3.080;1.142277;-1.677754
3.090;1.128171;-1.695029
3.100;1.115416;-1.712613
3.110;1.103641;-1.730238
3.120;1.092585;-1.747336
3.130;1.082130;-1.763182
3.140;1.072260;-1.777134
3.150;1.062990;-1.788865
3.160;1.054275;-1.798442
3.170;1.045928;-1.806201
3.180;1.037564;-1.812519
3.190;1.028592;-1.817627
3.200;1.018295;-1.821573
3.210;1.005985;-1.824332
3.220;0.991204;-1.825936
3.230;0.973857;-1.826559
3.240;0.954238;-1.826515
3.250;0.932924;-1.826195
3.260;0.910593;-1.825969
3.270;0.887828;-1.826102
3.280;0.864990;-1.826728
3.290;0.842187;-1.827891
3.300;0.819360;-1.829628
3.310;0.796413;-1.832061
3.320;0.773326;-1.835477
3.330;0.750184;-1.840374
3.340;0.727110;-1.847439
3.350;0.704123;-1.857455
3.360;0.681000;-1.871159
3.370;0.657197;-1.889107
