Time[s];COPx[cm];COPy[cm]
0.010;-3.522100;1.360448
0.020;-3.506339;1.349614
0.030;-3.488516;1.340584
0.040;-3.467314;1.335080
0.050;-3.442493;1.334780
0.060;-3.414768;1.340999
0.070;-3.385247;1.354332
0.080;-3.354721;1.374483
0.090;-3.323120;1.400361
0.100;-3.289305;1.430410
0.110;-3.251240;1.463043
0.120;-3.206459;1.496979
0.130;-3.152688;1.531345
0.140;-3.088497;1.565523
0.150;-3.013805;1.598889
0.160;-2.930104;1.630695
0.170;-2.840292;1.660193
0.180;-2.748147;1.686948
0.190;-2.657558;1.711111
0.200;-2.571749;1.733449
0.210;-2.492724;1.755034
0.220;-2.421096;1.776708
0.230;-2.356350;1.798589
0.240;-2.297425;1.819913
0.250;-2.243381;1.839319
0.260;-2.193907;1.855414
0.270;-2.149507;1.867327
0.280;-2.111359;1.874975
0.290;-2.080923;1.878927
0.300;-2.059448;1.879972
0.310;-2.047537;1.878609
0.320;-2.044917;1.874683
0.330;-2.050484;1.867321
0.340;-2.062633;1.855166
0.350;-2.079782;1.836773
0.360;-2.100870;1.811024
0.370;-2.125604;1.777409
0.380;-2.154295;1.736126
0.390;-2.187353;1.687987
0.400;-2.224684;1.634182
0.410;-2.265272;1.575991
0.420;-2.307195;1.514559
0.430;-2.348088;1.450850
0.440;-2.385927;1.385820
0.450;-2.419802;1.320715
0.460;-2.450324;1.257364
0.470;-2.479438;1.198265
0.480;-2.509694;1.146362
0.490;-2.543247;1.104484
0.500;-2.580988;1.074643
0.510;-2.622131;1.057447
0.520;-2.664394;1.051934
0.530;-2.704747;1.055923
0.540;-2.740445;1.066767
0.550;-2.770025;1.082201
0.560;-2.793910;1.100975
0.570;-2.814452;1.123073
0.580;-2.835352;1.149479
0.590;-2.860624;1.181576
0.600;-2.893384;1.220391
0.610;-2.934864;1.265941
0.620;-2.984027;1.316897
0.630;-3.038007;1.370707
0.640;-3.093237;1.424144
0.650;-3.146856;1.474110
0.660;-3.197789;1.518410
0.670;-3.247080;1.556187
0.680;-3.297380;1.587863
0.690;-3.351863;1.614650
0.700;-3.413043;1.637884
0.710;-3.481954;1.658485
0.720;-3.557979;1.676732
0.730;-3.639326;1.692400
0.740;-3.723861;1.705154
0.750;-3.809858;1.715025
0.760;-3.896274;1.722770
0.770;-3.982486;1.729929
0.780;-4.067683;1.738493
0.790;-4.150301;1.750320
0.800;-4.227889;1.766526
0.810;-4.297597;1.787138
0.820;-4.357153;1.811133
0.830;-4.405942;1.836844
0.840;-4.445660;1.862578
0.850;-4.480238;1.887246
0.860;-4.514995;1.910759
0.870;-4.555293;1.934025
0.880;-4.605083;1.958507
0.890;-4.665820;1.985515
0.900;-4.736084;2.015542
0.910;-4.812033;2.047973
0.920;-4.888510;2.081336
0.930;-4.960337;2.113975
0.940;-5.023298;2.144820
0.950;-5.074493;2.173844
0.960;-5.112151;2.202028
0.970;-5.135277;2.230898
0.980;-5.143499;2.261901
0.990;-5.137215;2.295931
1.000;-5.117863;2.333137
1.010;-5.088011;2.373047
1.020;-5.051093;2.414824
1.030;-5.010831;2.457503
1.040;-4.970537;2.500107
1.050;-4.932539;2.541689
1.060;-4.897965;2.581386
1.070;-4.866907;2.618486
1.080;-4.838883;2.652480
1.090;-4.813359;2.683036
1.100;-4.790092;2.709928
1.110;-4.769197;2.732977
1.120;-4.750987;2.752045
1.130;-4.735750;2.767093
1.140;-4.723596;2.778236
1.150;-4.714448;2.785750
1.160;-4.708191;2.790015
