Time[s];COPx[cm];COPy[cm]
0.010;-1.463945;0.992497
0.020;-1.472952;0.989509
0.030;-1.482574;0.987181
0.040;-1.493301;0.985899
0.050;-1.505429;0.985589
0.060;-1.519028;0.985855
0.070;-1.533944;0.986314
0.080;-1.549823;0.986905
0.090;-1.566166;0.987987
0.100;-1.582433;0.990177
0.110;-1.598160;0.994011
0.120;-1.613060;0.999652
0.130;-1.627043;1.006747
0.140;-1.640186;1.014516
0.150;-1.652643;1.022026
0.160;-1.664582;1.028536
0.170;-1.676138;1.033773
0.180;-1.687405;1.038019
0.190;-1.698455;1.041966
0.200;-1.709357;1.046435
0.210;-1.720208;1.052101
0.220;-1.731152;1.059345
0.230;-1.742379;1.068247
0.240;-1.754067;1.078659
0.250;-1.766316;1.090261
0.260;-1.779094;1.102595
0.270;-1.792246;1.115099
0.280;-1.805547;1.127208
0.290;-1.818793;1.138518
0.300;-1.831888;1.148924
0.310;-1.844893;1.158638
0.320;-1.857997;1.168049
0.330;-1.871393;1.177498
0.340;-1.885134;1.187116
0.350;-1.899065;1.196795
0.360;-1.912864;1.206285
0.370;-1.926193;1.215312
0.380;-1.938847;1.223645
0.390;-1.950838;1.231084
0.400;-1.962340;1.237399
0.410;-1.973526;1.242283
0.420;-1.984384;1.245374
0.430;-1.994611;1.246327
0.440;-2.003652;1.244913
0.450;-2.010856;1.241094
0.460;-2.015692;1.235050
0.470;-2.017924;1.227144
0.480;-2.017714;1.217849
0.490;-2.015612;1.207676
0.500;-2.012446;1.197122
0.510;-2.009102;1.186624
0.520;-2.006304;1.176518
0.530;-2.004469;1.166968
0.540;-2.003697;1.157887
0.550;-2.003863;1.148898
0.560;-2.004726;1.139374
0.570;-2.006003;1.128606
0.580;-2.007402;1.116053
0.590;-2.008653;1.101563
0.600;-2.009571;1.085449
0.610;-2.010114;1.068379
0.620;-2.010435;1.051139
0.630;-2.010856;1.034395
0.640;-2.011794;1.018544
0.650;-2.013638;1.003659
0.660;-2.016600;0.989517
0.670;-2.020602;0.975666
0.680;-2.025241;0.961535
0.690;-2.029882;0.946591
0.700;-2.033837;0.930517
0.710;-2.036550;0.913343
0.720;-2.037691;0.895480
0.730;-2.037149;0.877604
0.740;-2.034961;0.860448
0.750;-2.031252;0.844606
0.760;-2.026204;0.830407
0.770;-2.020072;0.817916
0.780;-2.013196;0.807020
0.790;-2.006001;0.797553
0.800;-1.998940;0.789408
0.810;-1.992396;0.782565
0.820;-1.986595;0.777048
0.830;-1.981586;0.772858
0.840;-1.977328;0.769929
0.850;-1.973799;0.768102
0.860;-1.971064;0.767122
0.870;-1.969258;0.766655
0.880;-1.968512;0.766354
0.890;-1.968860;0.765976
0.900;-1.970159;0.765485
0.910;-1.972058;0.765087
0.920;-1.974026;0.765143
0.930;-1.975472;0.765974
0.940;-1.975913;0.767685
0.950;-1.975138;0.770092
0.960;-1.973251;0.772843
0.970;-1.970603;0.775633
0.980;-1.967642;0.778376
0.990;-1.964751;0.781224
1.000;-1.962145;0.784463
1.010;-1.959828;0.788393
1.020;-1.957637;0.793252
1.030;-1.955342;0.799190
1.040;-1.952731;0.806273
1.050;-1.949668;0.814462
1.060;-1.946074;0.823595
1.070;-1.941896;0.833384
1.080;-1.937068;0.843468
1.090;-1.931513;0.853529
1.100;-1.925138;0.863426
1.110;-1.917848;0.873257
1.120;-1.909544;0.883323
1.130;-1.900161;0.893988
1.140;-1.889715;0.905517
1.150;-1.878331;0.917954
1.160;-1.866214;0.931100
1.170;-1.853575;0.944559
1.180;-1.840544;0.957827
1.190;-1.827151;0.970363
1.200;-1.813375;0.981631
1.210;-1.799250;0.991140
1.220;-1.784935;0.998502
1.230;-1.770717;1.003508
1.240;-1.756929;1.006207
1.250;-1.743878;1.006941
1.260;-1.731800;1.006284
1.270;-1.720869;1.004878
1.280;-1.711216;1.003247
1.290;-1.702945;1.001701
1.300;-1.696125;1.000352
1.310;-1.690780;0.999217
1.320;-1.686870;0.998283
1.330;-1.684285;0.997525
1.340;-1.682868;0.996844
1.350;-1.682451;0.996034
1.360;-1.682891;0.994790
1.370;-1.684096;0.992795
1.380;-1.686041;0.989820
1.390;-1.688753;0.985766
1.400;-1.692261;0.980609
1.410;-1.696544;0.974292
1.420;-1.701495;0.966666
1.430;-1.706941;0.957554
1.440;-1.712690;0.946902
1.450;-1.718582;0.934932
1.460;-1.724511;0.922188
1.470;-1.730428;0.909433
1.480;-1.736342;0.897439
1.490;-1.742363;0.886791
1.500;-1.748736;0.877776
1.510;-1.755832;0.870372
1.520;-1.764049;0.864320
1.530;-1.773650;0.859217
1.540;-1.784653;0.854642
1.550;-1.796802;0.850281
1.560;-1.809642;0.846049
1.570;-1.822639;0.842139
1.580;-1.835256;0.838958
1.590;-1.846988;0.836959
1.600;-1.857370;0.836443
1.610;-1.866018;0.837425
1.620;-1.872746;0.839607
1.630;-1.877676;0.842461
1.640;-1.881301;0.845343
1.650;-1.884413;0.847627
1.660;-1.887934;0.848833
1.670;-1.892673;0.848735
1.680;-1.899109;0.847406
1.690;-1.907263;0.845140
1.700;-1.916712;0.842280
1.710;-1.926718;0.839050
1.720;-1.936438;0.835515
1.730;-1.945138;0.831711
1.740;-1.952353;0.827851
1.750;-1.957961;0.824441
1.760;-1.962170;0.822205
1.770;-1.965422;0.821846
1.780;-1.968246;0.823790
1.790;-1.971101;0.828031
1.800;-1.974241;0.834148
1.810;-1.977641;0.841470
1.820;-1.981002;0.849302
1.830;-1.983836;0.857113
1.840;-1.985609;0.864609
1.850;-1.985885;0.871685
1.860;-1.984436;0.878310
1.870;-1.981272;0.884439
1.880;-1.976623;0.890004
1.890;-1.970854;0.894995
1.900;-1.964364;0.899534
1.910;-1.957473;0.903849
1.920;-1.950340;0.908136
1.930;-1.942926;0.912371
1.940;-1.935027;0.916223
1.950;-1.926373;0.919155
1.960;-1.916767;0.920701
1.970;-1.906211;0.920778
1.980;-1.894972;0.919872
1.990;-1.883537;0.918962
2.000;-1.872462;0.919197
2.010;-1.862179;0.921496
2.020;-1.852814;0.926223
2.030;-1.844121;0.933112
2.040;-1.835572;0.941427
2.050;-1.826559;0.950295
2.060;-1.816634;0.959037
2.070;-1.805668;0.967358
2.080;-1.793851;0.975326
2.090;-1.781562;0.983199
2.100;-1.769165;0.991212
2.110;-1.756861;0.999440
2.120;-1.744655;1.007765
2.130;-1.732437;1.015919
2.140;-1.720096;1.023598
2.150;-1.707581;1.030600
2.160;-1.694872;1.036952
2.170;-1.681893;1.042942
2.180;-1.668456;1.049029
2.190;-1.654306;1.055632
2.200;-1.639240;1.062930
2.210;-1.623242;1.070761
2.220;-1.606542;1.078714
2.230;-1.589558;1.086354
2.240;-1.572741;1.093467
2.250;-1.556390;1.100192
2.260;-1.540536;1.106985
2.270;-1.524965;1.114447
2.280;-1.509354;1.123088
2.290;-1.493451;1.133111
2.300;-1.477183;1.144287
2.310;-1.460681;1.155960
2.320;-1.444221;1.167206
2.330;-1.428143;1.177070
2.340;-1.412784;1.184816
2.350;-1.398423;1.190110
2.360;-1.385249;1.193090
2.370;-1.373359;1.194329
2.380;-1.362761;1.194688
2.390;-1.353393;1.195104
2.400;-1.345126;1.196390
2.410;-1.337771;1.199098
2.420;-1.331095;1.203460
2.430;-1.324854;1.209376
2.440;-1.318840;1.216457
2.450;-1.312914;1.224113
2.460;-1.307020;1.231714
2.470;-1.301163;1.238792
2.480;-1.295395;1.245191
2.490;-1.289809;1.251084
2.500;-1.284559;1.256809
2.510;-1.279872;1.262604
2.520;-1.276050;1.268389
2.530;-1.273433;1.273724
2.540;-1.272311;1.277971
2.550;-1.272826;1.280562
2.560;-1.274885;1.281254
2.570;-1.278149;1.280253
2.580;-1.282107;1.278179
2.590;-1.286212;1.275899
2.600;-1.290053;1.274291
2.610;-1.293486;1.274006
2.620;-1.296659;1.275308
2.630;-1.299895;1.278055
2.640;-1.303505;1.281807
2.650;-1.307606;1.286015
2.660;-1.312063;1.290182
2.670;-1.316536;1.293941
2.680;-1.320617;1.297053
2.690;-1.323979;1.299382
2.700;-1.326486;1.300900
2.710;-1.328250;1.301724
2.720;-1.329607;1.302132
2.730;-1.331013;1.302490
2.740;-1.332889;1.303112
2.750;-1.335471;1.304112
2.760;-1.338726;1.305363
2.770;-1.342381;1.306600
2.780;-1.346044;1.307630
2.790;-1.349374;1.308543
2.800;-1.352213;1.309774
2.810;-1.354645;1.311975
2.820;-1.356942;1.315736
2.830;-1.359452;1.321285
2.840;-1.362448;1.328301
2.850;-1.366046;1.335952
2.860;-1.370202;1.343130
2.870;-1.374775;1.348774
2.880;-1.379596;1.352119
2.890;-1.384499;1.352820
2.900;-1.389318;1.350960
2.910;-1.393907;1.347001
2.920;-1.398168;1.341672
2.930;-1.402087;1.335808
2.940;-1.405748;1.330127
2.950;-1.409330;1.325031
2.960;-1.413064;1.320513
2.970;-1.417155;1.316232
2.980;-1.421694;1.311706
2.990;-1.426609;1.306525
3.000;-1.431702;1.300479
3.010;-1.436764;1.293568
3.020;-1.441725;1.285924
3.030;-1.446731;1.277718
3.040;-1.452105;1.269120
3.050;-1.458182;1.260336
3.060;-1.465106;1.251694
3.070;-1.472694;1.243673
3.080;-1.480421;1.236828
3.090;-1.487550;1.231595
3.100;-1.493349;1.228096
3.110;-1.497304;1.226038
3.120;-1.499229;1.224810
3.130;-1.499224;1.223739
3.140;-1.497533;1.222375
3.150;-1.494399;1.220674
3.160;-1.490021;1.218976
3.170;-1.484621;1.217801
3.180;-1.478530;1.217585
3.190;-1.472197;1.218472
3.200;-1.466062;1.220262
3.210;-1.460357;1.222531
3.220;-1.454965;1.224858
3.230;-1.449407;1.227018
3.240;-1.442980;1.229031
3.250;-1.434978;1.231034
3.260;-1.424925;1.233088
3.270;-1.412711;1.235068
3.280;-1.398626;1.236691
3.290;-1.383293;1.237650
3.300;-1.367530;1.237728
3.310;-1.352170;1.236850
3.320;-1.337855;1.235068
3.330;-1.324877;1.232543
3.340;-1.313145;1.229542
3.350;-1.302287;1.226416
3.360;-1.291853;1.223505
3.370;-1.281485;1.220966
3.380;-1.271014;1.218629
