Time[s];COPx[cm];COPy[cm]
0.010;-2.584102;0.492520
0.020;-2.578226;0.488601
0.030;-2.571992;0.485340
0.040;-2.565152;0.483212
0.050;-2.557620;0.482425
0.060;-2.549482;0.482909
0.070;-2.540955;0.484356
0.080;-2.532353;0.486305
0.090;-2.524071;0.488244
0.100;-2.516559;0.489743
0.110;-2.510231;0.490562
0.120;-2.505321;0.490718
0.130;-2.501770;0.490459
0.140;-2.499227;0.490166
0.150;-2.497185;0.490191
0.160;-2.495183;0.490702
0.170;-2.492965;0.491622
0.180;-2.490557;0.492685
0.190;-2.488218;0.493583
0.200;-2.486330;0.494105
0.210;-2.485255;0.494210
0.220;-2.485217;0.494007
0.230;-2.486248;0.493668
0.240;-2.488195;0.493307
0.250;-2.490792;0.492892
0.260;-2.493756;0.492241
0.270;-2.496903;0.491112
0.280;-2.500243;0.489344
0.290;-2.504012;0.486977
0.300;-2.508609;0.484270
0.310;-2.514429;0.481610
0.320;-2.521666;0.479356
0.330;-2.530211;0.477700
0.340;-2.539697;0.476597
0.350;-2.549667;0.475757
0.360;-2.559780;0.474708
0.370;-2.569945;0.472914
0.380;-2.580319;0.469926
0.390;-2.591200;0.465523
0.400;-2.602861;0.459793
0.410;-2.615415;0.453127
0.420;-2.628752;0.446123
0.430;-2.642577;0.439435
0.440;-2.656502;0.433587
0.450;-2.670162;0.428834
0.460;-2.683321;0.425082
0.470;-2.695922;0.421915
0.480;-2.708086;0.418722
0.490;-2.720054;0.414885
0.500;-2.732083;0.409957
0.510;-2.744308;0.403744
0.520;-2.756630;0.396268
0.530;-2.768685;0.387676
0.540;-2.779917;0.378179
0.550;-2.789746;0.368055
0.560;-2.797752;0.357656
0.570;-2.803800;0.347356
0.580;-2.808047;0.337459
0.590;-2.810847;0.328104
0.600;-2.812618;0.319254
0.610;-2.813739;0.310753
0.620;-2.814504;0.302436
0.630;-2.815134;0.294202
0.640;-2.815807;0.286019
0.650;-2.816688;0.277870
0.660;-2.817913;0.269698
0.670;-2.819528;0.261392
0.680;-2.821417;0.252833
0.690;-2.823290;0.243952
